area_id,area_name,b16005001,b16005001_moe,b16005002,b16005002_moe,b16005003,b16005003_moe,b16005004,b16005004_moe,b16005005,b16005005_moe,b16005006,b16005006_moe,b16005007,b16005007_moe,b16005008,b16005008_moe,b16005009,b16005009_moe,b16005010,b16005010_moe,b16005011,b16005011_moe,b16005012,b16005012_moe,b16005013,b16005013_moe,b16005014,b16005014_moe,b16005015,b16005015_moe,b16005016,b16005016_moe,b16005017,b16005017_moe,b16005018,b16005018_moe,b16005019,b16005019_moe,b16005020,b16005020_moe,b16005021,b16005021_moe,b16005022,b16005022_moe,b16005023,b16005023_moe,b16005024,b16005024_moe,b16005025,b16005025_moe,b16005026,b16005026_moe,b16005027,b16005027_moe,b16005028,b16005028_moe,b16005029,b16005029_moe,b16005030,b16005030_moe,b16005031,b16005031_moe,b16005032,b16005032_moe,b16005033,b16005033_moe,b16005034,b16005034_moe,b16005035,b16005035_moe,b16005036,b16005036_moe,b16005037,b16005037_moe,b16005038,b16005038_moe,b16005039,b16005039_moe,b16005040,b16005040_moe,b16005041,b16005041_moe,b16005042,b16005042_moe,b16005043,b16005043_moe,b16005044,b16005044_moe,b16005045,b16005045_moe
1,Southwest,46363,1013,42445,1028,39772,1100,1094,328,870,308,150,96,74,64,0,48,1043,269,915,253,60,63,0,48,68,86,465,233,358,200,72,76,35,58,0,48,71,71,71,71,0,48,0,48,0,48,3918,471,1447,267,229,123,171,114,27,60,13,49,18,54,1027,313,644,205,346,212,37,49,0,48,1034,232,665,187,262,115,72,81,35,44,181,115,169,112,0,48,5,46,7,47
2,Delridge Neighborhoods,31919,968,24219,981,20986,952,1427,447,1114,360,253,144,60,52,0,38,334,133,299,127,25,52,10,39,0,38,1159,278,931,272,171,112,57,60,0,38,313,147,202,141,103,121,8,39,0,38,7700,750,1057,259,1582,438,324,143,434,142,469,256,355,234,394,228,169,118,183,104,42,58,0,38,3319,485,1374,339,1046,237,654,206,245,128,1348,381,826,299,243,158,245,149,34,50
3,Greater Duwamish,43591,1593,23368,1098,17001,1049,1380,341,1178,319,92,87,110,101,0,45,311,140,280,128,31,50,0,45,0,45,3282,494,2674,462,405,164,203,88,0,45,1394,395,592,281,615,287,143,110,44,58,20223,1397,1287,303,2079,632,518,220,498,204,727,337,336,175,277,144,196,103,64,81,17,47,0,45,13848,1140,3615,562,3461,459,5207,690,1565,366,2732,673,699,268,1206,394,672,254,155,105
4,Southeast,42970,1435,30149,1306,25580,1269,1372,380,1233,356,121,87,18,51,0,45,453,173,382,167,28,48,43,55,0,45,2149,563,1674,493,288,131,187,117,0,45,595,295,507,266,51,71,37,68,0,45,12821,1003,1188,266,1439,496,404,210,219,122,674,339,142,130,469,194,205,94,187,125,44,57,33,54,7117,709,2486,414,1857,361,2134,374,640,187,2608,644,573,219,1221,403,668,299,146,132
5,Central,27970,929,23465,925,21731,977,592,207,485,182,89,62,18,38,0,34,545,172,503,166,26,42,16,42,0,34,456,173,356,152,49,46,46,52,5,33,141,97,125,93,16,42,0,34,0,34,4505,594,1267,286,593,252,279,126,169,132,132,141,13,33,460,163,355,137,88,83,0,34,17,42,1546,314,785,245,227,116,322,102,212,97,639,377,164,106,330,276,134,105,11,36
6,East,49787,1164,42285,1183,39042,1219,1160,259,997,242,139,97,24,49,0,47,1369,316,1185,300,95,70,89,76,0,47,632,169,523,157,73,66,36,56,0,47,82,86,82,86,0,47,0,47,0,47,7502,736,2104,356,848,382,373,213,310,288,97,76,68,87,1558,358,1232,318,211,149,108,72,7,46,2276,459,964,259,821,274,366,159,125,86,716,272,292,167,218,131,186,132,20,53
7,Northeast,75669,1815,64658,1756,58600,1734,1620,344,1478,335,81,67,60,69,1,56,1699,307,1562,295,94,83,43,66,0,59,2559,431,2120,379,384,157,55,68,0,59,180,101,176,101,0,59,4,57,0,59,11011,904,2863,429,565,225,449,184,96,93,20,61,0,59,1914,347,1434,271,327,153,135,125,18,64,5305,740,2732,465,1810,334,662,249,101,81,364,187,231,158,45,67,61,72,27,65
8,North,37939,1028,29695,989,27016,980,1179,339,873,253,134,88,172,111,0,43,451,166,373,144,17,44,61,88,0,43,887,250,782,222,62,54,38,54,5,45,162,113,99,79,63,81,0,43,0,43,8244,830,1657,310,1082,443,177,93,295,152,229,138,381,221,1075,304,660,199,201,119,114,79,100,91,3265,528,1269,350,1292,364,670,221,34,50,1165,394,432,216,569,241,148,117,16,49
9,Northwest,65998,1333,56236,1294,52053,1348,1425,335,1142,314,193,126,71,68,19,56,1298,278,1158,265,112,84,28,59,0,54,1194,242,974,228,188,125,31,59,1,52,266,205,266,205,0,54,0,54,0,54,9762,826,2348,357,1311,410,609,242,423,185,238,144,41,68,1771,410,1180,310,339,168,252,173,0,54,3409,454,1572,328,1150,247,599,181,88,78,923,324,523,235,343,187,57,71,0,54
10,Ballard,41770,983,37605,959,35371,960,942,287,796,253,62,62,51,71,33,66,641,190,529,185,83,60,29,48,0,43,577,179,465,163,51,49,61,62,0,43,74,83,15,48,20,52,39,57,0,43,4165,632,1425,259,493,313,255,157,115,151,108,111,15,47,1218,379,958,347,244,121,16,49,0,43,893,289,535,228,175,109,146,88,37,73,136,99,111,96,25,49,0,43,0,43
11,Lake Union,42697,1291,37332,1300,34857,1236,858,218,732,206,109,73,17,48,0,42,864,224,829,220,17,48,18,49,0,42,707,202,516,171,142,84,49,53,0,42,46,73,46,73,0,42,0,42,0,42,5365,680,1869,506,393,151,320,138,43,56,13,45,17,48,1100,268,947,241,96,97,37,54,20,49,1725,356,951,246,463,194,228,134,83,84,278,158,216,140,30,51,9,43,23,49
12,Magnolia/Queen Anne,56755,1346,50206,1342,47099,1348,1064,292,996,287,42,55,26,50,0,51,1276,267,1162,258,72,69,31,58,11,54,704,212,581,185,39,56,84,91,0,51,63,74,44,69,19,57,0,51,0,51,6549,666,2451,362,545,222,248,140,246,149,14,53,37,98,1652,323,1368,272,218,141,34,56,32,60,1496,354,953,286,300,129,243,138,0,51,405,264,232,137,82,95,48,72,43,77
13,Downtown,16872,820,12150,682,11114,655,255,126,229,122,26,37,0,29,0,29,366,156,344,152,0,29,22,43,0,29,366,193,228,106,112,121,17,33,9,30,49,54,20,33,0,29,29,52,0,29,4722,559,925,225,216,139,103,96,49,71,64,79,0,29,654,191,532,168,88,63,24,37,10,31,2390,384,495,173,550,270,608,139,737,163,537,350,284,253,184,155,69,68,0,29
