area_id,area_name,b25014g001,b25014g001_moe,b25014g002,b25014g002_moe,b25014g003,b25014g003_moe
1,Southwest,582,163,582,163,0,48
2,Delridge Neighborhoods,663,182,663,182,0,38
3,Greater Duwamish,733,191,688,191,45,61
4,Southeast,801,208,778,206,23,51
5,Central,604,199,604,199,0,34
6,East,893,228,875,226,18,53
7,Northeast,1128,234,1128,234,0,59
8,North,585,169,585,169,0,43
9,Northwest,980,236,965,235,15,59
10,Ballard,616,212,606,211,10,46
11,Lake Union,1002,248,1002,248,0,42
12,Magnolia/Queen Anne,1002,264,961,260,41,65
13,Downtown,449,153,436,152,13,33
