area_id,area_name,b19013a001,b19013a001_moe
1,Southwest,739000,35379
2,Delridge Neighborhoods,528237,40941
3,Greater Duwamish,696465,79413
4,Southeast,681850,63011
5,Central,611613,42685
6,East,737755,40635
7,Northeast,1316467,80065
8,North,649451,43699
9,Northwest,1211432,52460
10,Ballard,654925,33634
11,Lake Union,690841,46033
12,Magnolia/Queen Anne,915809,41367
13,Downtown,255234,36216
