area_id,area_name,b12002i001,b12002i001_moe,b12002i002,b12002i002_moe,b12002i003,b12002i003_moe,b12002i004,b12002i004_moe,b12002i005,b12002i005_moe,b12002i006,b12002i006_moe,b12002i007,b12002i007_moe,b12002i008,b12002i008_moe,b12002i009,b12002i009_moe,b12002i010,b12002i010_moe,b12002i011,b12002i011_moe,b12002i012,b12002i012_moe,b12002i013,b12002i013_moe
1,Southwest,1599,384,760,226,327,125,358,158,0,48,0,48,75,81,839,241,434,196,309,134,16,52,13,49,67,64
2,Delridge Neighborhoods,3415,623,2016,403,921,277,760,245,68,73,0,38,267,137,1399,362,584,258,654,200,28,46,20,40,113,78
3,Greater Duwamish,3154,675,1803,515,1102,371,556,238,39,59,28,54,78,65,1351,303,567,191,490,159,43,64,55,66,196,142
4,Southeast,2749,653,1444,461,826,399,416,155,0,45,35,69,167,139,1305,398,543,250,440,168,15,48,58,77,249,141
5,Central,1280,303,684,245,405,208,181,94,0,34,0,34,98,75,596,161,232,100,225,96,16,41,36,56,87,69
6,East,3008,491,1775,371,1055,254,500,211,60,84,14,52,146,95,1233,267,752,202,431,195,7,46,12,51,31,55
7,Northeast,2303,411,1116,245,697,198,305,108,5,58,12,60,97,105,1187,310,722,262,343,127,0,59,1,56,121,101
8,North,2407,497,1289,370,499,201,684,210,73,78,0,43,33,47,1118,315,370,181,574,162,13,47,108,123,53,79
9,Northwest,3379,577,1834,390,832,233,704,234,59,77,34,61,205,117,1545,334,616,191,584,188,62,66,77,76,206,119
10,Ballard,1821,413,854,254,440,176,342,130,0,43,0,43,72,84,967,267,520,213,384,165,0,43,9,42,54,71
11,Lake Union,1899,328,1035,250,713,213,288,121,0,42,0,42,34,54,864,209,584,181,214,89,0,42,0,42,66,72
12,Magnolia/Queen Anne,2269,451,1120,300,765,232,308,152,14,53,0,51,33,59,1149,264,645,202,396,142,18,63,0,51,90,90
13,Downtown,735,243,400,174,243,146,78,75,0,29,19,42,60,64,335,170,205,122,119,113,0,29,0,29,11,33
