area_id,area_name,b18101h001,b18101h001_moe,b18101h002,b18101h002_moe,b18101h003,b18101h003_moe,b18101h004,b18101h004_moe,b18101h005,b18101h005_moe,b18101h006,b18101h006_moe,b18101h007,b18101h007_moe,b18101h008,b18101h008_moe,b18101h009,b18101h009_moe,b18101h010,b18101h010_moe
1,Southwest,40827,1063,6690,536,116,79,6574,539,28135,815,1557,304,26578,804,6002,365,1851,268,4151,357
2,Delridge Neighborhoods,17625,883,2167,357,35,45,2132,355,13429,710,886,187,12543,700,2029,269,892,199,1137,182
3,Greater Duwamish,10694,782,1083,294,28,59,1055,292,8598,637,832,212,7766,594,1013,229,416,132,597,176
4,Southeast,16232,871,2875,348,27,50,2848,348,11574,698,819,212,10755,648,1783,294,712,200,1071,209
5,Central,16530,809,1990,305,38,61,1952,301,13055,660,742,195,12313,645,1485,227,364,142,1121,200
6,East,36416,1232,2302,317,11,45,2291,317,29960,1129,1697,333,28263,1118,4154,349,1271,205,2883,320
7,Northeast,59541,1687,8424,497,173,98,8251,488,44647,1551,1848,314,42799,1516,6470,385,1644,325,4826,303
8,North,26782,971,3742,402,71,71,3671,396,19080,751,1565,277,17515,751,3960,329,1799,265,2161,280
9,Northwest,51488,1355,6740,515,129,89,6611,509,38024,1098,2001,313,36023,1073,6724,457,2669,326,4055,359
10,Ballard,37616,968,5557,455,64,61,5493,453,27917,804,1112,237,26805,823,4142,285,1248,222,2894,270
11,Lake Union,33662,1207,2710,256,62,83,2648,258,28454,1114,1799,328,26655,1088,2498,266,923,204,1575,205
12,Magnolia/Queen Anne,47949,1370,6300,518,128,91,6172,523,35784,1163,1684,319,34100,1176,5865,370,1627,269,4238,354
13,Downtown,10085,628,221,74,0,29,221,74,8498,594,1520,290,6978,532,1366,248,413,168,953,198
