area_id,area_name,b19301e001,b19301e001_moe
1,Southwest,44232,18395
2,Delridge Neighborhoods,78855,32421
3,Greater Duwamish,62287,7567
4,Southeast,35409,15734
6,East,6791,6071
8,North,2981,902
9,Northwest,36373,18886
10,Ballard,3357,531
13,Downtown,5982,6396
