area_id,area_name,b14007b001,b14007b001_moe,b14007b002,b14007b002_moe,b14007b003,b14007b003_moe,b14007b004,b14007b004_moe,b14007b005,b14007b005_moe,b14007b006,b14007b006_moe,b14007b007,b14007b007_moe,b14007b008,b14007b008_moe,b14007b009,b14007b009_moe,b14007b010,b14007b010_moe,b14007b011,b14007b011_moe,b14007b012,b14007b012_moe,b14007b013,b14007b013_moe,b14007b014,b14007b014_moe,b14007b015,b14007b015_moe,b14007b016,b14007b016_moe,b14007b017,b14007b017_moe,b14007b018,b14007b018_moe,b14007b019,b14007b019_moe
1,Southwest,898,273,110,100,0,48,0,48,38,60,0,48,0,48,0,48,0,48,0,48,14,50,0,48,0,48,13,49,0,48,0,48,40,61,5,46,788,244
2,Delridge Neighborhoods,4268,582,1568,347,81,73,49,65,47,68,102,113,96,87,104,78,132,96,26,55,132,103,109,73,70,59,37,50,54,61,79,71,412,176,38,60,2700,441
3,Greater Duwamish,8187,1177,3302,677,274,150,211,128,223,133,60,60,229,121,292,182,258,181,209,149,84,87,176,103,94,88,57,70,166,114,239,109,637,228,93,95,4885,670
4,Southeast,11156,1115,3087,620,159,98,154,116,146,118,65,66,149,129,203,137,185,125,266,162,141,92,200,126,156,112,107,78,231,129,217,131,684,230,24,50,8069,782
5,Central,6346,838,1398,384,28,55,136,93,65,68,13,39,181,125,87,92,68,62,60,64,72,64,99,73,8,34,32,58,47,54,170,91,285,138,47,51,4948,631
6,East,3690,571,996,355,155,112,0,47,28,54,52,65,21,48,0,47,47,61,31,57,30,57,92,87,2,45,5,46,73,74,43,66,370,179,47,55,2694,418
7,Northeast,1666,393,717,219,32,80,0,59,7,59,41,80,0,59,0,59,8,58,53,87,0,59,17,61,16,60,25,70,9,56,59,86,396,168,54,68,949,265
8,North,1890,470,613,255,25,49,0,43,12,47,11,46,31,52,35,52,35,55,11,45,7,44,20,46,34,50,30,50,40,47,0,43,272,142,50,69,1277,346
9,Northwest,2631,604,939,338,27,59,0,54,66,89,56,105,57,95,0,54,0,54,87,104,0,54,0,54,0,54,1,52,0,54,75,82,436,204,134,118,1692,379
10,Ballard,345,195,162,126,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,62,79,0,43,0,43,3,42,36,52,3,42,36,57,22,53,183,114
11,Lake Union,1291,379,429,228,60,79,0,42,0,42,0,42,0,42,62,82,0,42,14,43,0,42,0,42,65,83,7,42,0,42,8,42,104,111,109,96,862,230
12,Magnolia/Queen Anne,1551,543,297,201,98,156,0,51,0,51,0,51,0,51,15,53,15,54,33,69,0,51,19,53,0,51,33,68,0,51,0,51,72,78,12,53,1254,404
13,Downtown,1801,509,396,276,30,54,36,54,35,59,8,30,33,59,3,29,37,54,3,29,9,31,3,29,19,38,11,32,2,28,2,27,120,76,45,58,1405,358
