area_id,area_name,b14007e001,b14007e001_moe,b14007e002,b14007e002_moe,b14007e003,b14007e003_moe,b14007e004,b14007e004_moe,b14007e005,b14007e005_moe,b14007e006,b14007e006_moe,b14007e007,b14007e007_moe,b14007e008,b14007e008_moe,b14007e009,b14007e009_moe,b14007e010,b14007e010_moe,b14007e011,b14007e011_moe,b14007e012,b14007e012_moe,b14007e013,b14007e013_moe,b14007e014,b14007e014_moe,b14007e015,b14007e015_moe,b14007e016,b14007e016_moe,b14007e017,b14007e017_moe,b14007e018,b14007e018_moe,b14007e019,b14007e019_moe
1,Southwest,131,126,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,131,126
2,Delridge Neighborhoods,275,182,70,65,0,38,0,38,0,38,11,40,0,38,19,43,0,38,0,38,0,38,0,38,27,58,0,38,0,38,13,41,0,38,0,38,205,153
3,Greater Duwamish,497,307,120,136,0,45,0,45,0,45,16,51,16,51,0,45,0,45,24,54,6,45,7,45,0,45,10,47,0,45,19,56,22,53,0,45,377,227
4,Southeast,319,303,67,90,0,45,12,51,0,45,0,45,0,45,12,51,0,45,0,45,0,45,0,45,0,45,0,45,0,45,43,70,0,45,0,45,252,235
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36
6,East,64,67,12,50,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,12,50,0,47,52,64
7,Northeast,105,80,58,69,0,59,0,59,8,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,50,68,0,59,47,72
8,North,247,191,57,78,0,43,0,43,0,43,0,43,21,51,0,43,0,43,0,43,0,43,0,43,0,43,0,43,25,53,0,43,0,43,11,44,190,147
9,Northwest,290,163,37,64,0,54,0,54,0,54,14,54,0,54,0,54,0,54,4,52,19,60,0,54,0,54,0,54,0,54,0,54,0,54,0,54,253,157
10,Ballard,121,137,52,105,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,10,46,23,57,0,43,19,56,0,43,69,62
11,Lake Union,70,92,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,70,92
12,Magnolia/Queen Anne,32,60,14,53,0,51,0,51,14,53,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,18,49
13,Downtown,18,37,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,18,37
