area_id,area_name,b17010d001,b17010d001_moe,b17010d002,b17010d002_moe,b17010d003,b17010d003_moe,b17010d004,b17010d004_moe,b17010d005,b17010d005_moe,b17010d006,b17010d006_moe,b17010d007,b17010d007_moe,b17010d008,b17010d008_moe,b17010d009,b17010d009_moe,b17010d010,b17010d010_moe,b17010d011,b17010d011_moe,b17010d012,b17010d012_moe,b17010d013,b17010d013_moe,b17010d014,b17010d014_moe,b17010d015,b17010d015_moe,b17010d016,b17010d016_moe,b17010d017,b17010d017_moe,b17010d018,b17010d018_moe,b17010d019,b17010d019_moe,b17010d020,b17010d020_moe,b17010d021,b17010d021_moe,b17010d022,b17010d022_moe,b17010d023,b17010d023_moe,b17010d024,b17010d024_moe,b17010d025,b17010d025_moe,b17010d026,b17010d026_moe,b17010d027,b17010d027_moe,b17010d028,b17010d028_moe,b17010d029,b17010d029_moe,b17010d030,b17010d030_moe,b17010d031,b17010d031_moe,b17010d032,b17010d032_moe,b17010d033,b17010d033_moe,b17010d034,b17010d034_moe,b17010d035,b17010d035_moe,b17010d036,b17010d036_moe,b17010d037,b17010d037_moe,b17010d038,b17010d038_moe,b17010d039,b17010d039_moe,b17010d040,b17010d040_moe,b17010d041,b17010d041_moe
1,Southwest,361,118,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,361,118,263,98,134,70,73,64,2,46,59,53,129,74,98,86,8,48,0,48,0,48,0,48,0,48,8,48,90,88,76,86,29,64,0,48,47,76,14,50
2,Delridge Neighborhoods,1326,208,207,115,79,75,37,56,0,38,0,38,37,56,42,62,128,95,0,38,0,38,0,38,0,38,0,38,0,38,128,95,76,68,0,38,0,38,76,68,52,88,1119,190,833,169,394,122,64,52,138,86,192,90,439,125,286,122,132,98,42,53,3,37,0,38,39,54,90,90,154,79,114,71,17,47,29,47,68,58,40,48
3,Greater Duwamish,4558,329,370,143,184,92,64,64,0,45,4,44,60,63,120,76,186,110,43,52,19,47,10,45,0,45,9,44,24,50,143,105,137,105,30,53,17,47,90,100,6,44,4188,316,2989,295,1579,217,328,131,420,154,831,185,1410,243,1199,235,463,156,120,80,12,46,39,69,69,57,343,142,736,193,306,130,89,85,35,51,182,101,430,145
4,Southeast,2520,236,412,140,168,98,115,89,11,47,48,72,56,61,53,57,244,110,128,74,117,76,13,46,14,48,90,74,11,47,116,91,46,58,0,45,0,45,46,58,70,79,2108,244,1606,228,802,180,168,96,168,84,466,156,804,168,502,150,105,65,27,49,12,47,0,45,15,47,78,59,397,139,154,102,48,68,0,45,106,89,243,106
5,Central,418,119,52,48,52,48,20,41,0,34,0,34,20,41,32,40,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,366,111,297,90,146,68,11,36,18,37,117,64,151,65,69,70,39,64,0,34,0,34,0,34,0,34,39,64,30,44,11,37,0,34,11,37,0,34,19,40
6,East,688,178,148,75,93,64,43,58,0,47,21,52,22,55,50,52,55,57,11,48,11,48,0,47,0,47,11,48,0,47,44,53,23,52,0,47,0,47,23,52,21,48,540,165,450,148,90,77,11,48,28,62,51,64,360,132,90,68,77,69,0,47,0,47,0,47,0,47,77,69,13,45,7,47,0,47,0,47,7,47,6,44
7,Northeast,1529,218,130,82,29,64,15,62,15,62,0,59,0,59,14,60,101,78,78,77,0,59,0,59,0,59,0,59,78,77,23,59,8,59,0,59,0,59,8,59,15,59,1399,211,1109,192,440,111,139,78,108,70,193,82,669,171,290,111,49,72,0,59,0,59,0,59,0,59,49,72,241,100,122,76,50,65,0,59,72,69,119,85
8,North,1278,209,137,68,90,59,31,45,8,44,6,43,17,45,59,56,47,53,9,43,9,43,0,43,0,43,9,43,0,43,38,50,22,46,0,43,22,46,0,43,16,47,1141,205,784,176,290,118,79,82,67,71,144,74,494,137,357,141,122,89,12,42,0,43,3,42,9,43,110,88,235,115,103,95,0,43,0,43,103,95,132,74
9,Northwest,1478,220,198,111,72,80,46,76,0,54,0,54,46,76,26,57,126,93,0,54,0,54,0,54,0,54,0,54,0,54,126,93,61,82,61,82,0,54,0,54,65,69,1280,216,1077,201,447,130,84,67,64,79,299,104,630,176,203,90,27,60,13,56,13,56,0,54,0,54,14,56,176,85,14,56,0,54,0,54,14,56,162,83
10,Ballard,467,127,69,63,69,63,53,60,17,48,0,43,36,54,16,47,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,398,116,349,111,93,63,50,54,15,47,28,48,256,100,49,54,26,47,7,43,7,43,0,43,0,43,19,48,23,46,23,46,11,45,0,43,12,45,0,43
11,Lake Union,548,190,129,137,48,58,0,42,0,42,0,42,0,42,48,58,81,132,81,132,0,42,0,42,0,42,0,42,81,132,0,42,0,42,0,42,0,42,0,42,0,42,419,134,301,116,108,63,50,52,25,47,33,47,193,105,118,74,31,64,0,42,0,42,0,42,0,42,31,64,87,56,6,43,0,42,0,42,6,43,81,55
12,Magnolia/Queen Anne,711,182,33,59,33,59,0,51,0,51,0,51,0,51,33,59,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,678,179,588,178,185,109,76,93,41,57,68,68,403,146,90,97,0,51,0,51,0,51,0,51,0,51,0,51,90,97,64,94,64,94,0,51,0,51,26,57
13,Downtown,775,171,320,130,229,107,32,41,8,30,17,37,7,30,197,102,91,81,32,60,0,29,0,29,0,29,0,29,32,60,59,62,28,53,0,29,28,53,0,29,31,41,455,121,382,121,89,74,58,69,7,30,24,36,293,97,73,54,30,39,16,34,0,29,0,29,16,34,14,33,43,44,20,33,0,29,0,29,20,33,23,40
