area_id,area_name,b08302001,b08302001_moe,b08302002,b08302002_moe,b08302003,b08302003_moe,b08302004,b08302004_moe,b08302005,b08302005_moe,b08302006,b08302006_moe,b08302007,b08302007_moe,b08302008,b08302008_moe,b08302009,b08302009_moe,b08302010,b08302010_moe,b08302011,b08302011_moe,b08302012,b08302012_moe,b08302013,b08302013_moe,b08302014,b08302014_moe,b08302015,b08302015_moe
1,Southwest,25806,853,805,207,584,175,1224,245,2089,324,3051,391,3948,420,3496,420,3650,424,1529,272,2321,322,779,199,325,123,1068,240,937,220
2,Delridge Neighborhoods,17487,719,794,221,574,182,775,189,1407,294,1592,300,2724,361,1685,268,2090,330,1004,241,1312,298,422,146,357,146,1269,272,1482,342
3,Greater Duwamish,22594,1106,971,244,540,181,1247,306,1662,327,2134,356,2501,368,2195,333,2304,344,1380,277,2513,432,993,246,449,167,2082,336,1623,290
4,Southeast,20897,918,973,240,613,210,1048,246,1458,315,1797,351,3019,454,2750,382,2606,363,1468,305,1562,297,624,223,311,131,1430,289,1238,286
5,Central,16123,739,389,180,248,109,363,140,686,193,844,210,2129,310,2622,382,2673,322,1852,300,1778,328,573,177,263,157,965,228,738,221
6,East,30699,996,784,234,382,146,694,170,1058,246,1953,341,3112,439,4238,510,4974,638,3378,447,3929,525,1633,317,621,203,2257,383,1686,327
7,Northeast,39308,1234,774,207,395,153,827,203,2043,346,3060,371,4786,456,5506,497,5964,547,3435,407,4414,482,1747,303,960,230,3141,434,2256,380
8,North,21391,879,348,123,308,115,808,219,1387,271,1911,367,3042,369,2883,368,3452,451,1927,292,1751,256,882,238,231,117,1393,299,1068,296
9,Northwest,37768,1066,993,253,454,163,1077,250,2255,331,3094,423,5759,546,5546,547,5835,536,3027,389,3562,435,1357,270,728,194,2549,385,1532,335
10,Ballard,25374,932,300,104,414,140,518,156,1579,275,2518,405,3886,520,3799,407,4281,539,2313,330,2574,395,794,227,385,143,1079,244,934,212
11,Lake Union,28149,1179,261,135,400,158,647,210,932,228,1952,385,3269,439,4136,488,4565,525,3158,413,3905,574,1213,236,570,235,1999,377,1142,265
12,Magnolia/Queen Anne,33935,1177,351,172,519,216,820,217,1842,309,2487,384,4712,485,5678,606,5092,519,3379,428,3700,488,1388,304,476,150,2168,470,1323,347
13,Downtown,8877,590,173,110,140,108,275,117,512,177,615,180,824,219,1326,305,1289,243,1131,297,840,215,419,131,117,71,719,277,497,164
