area_id,area_name,b11002c001,b11002c001_moe,b11002c002,b11002c002_moe,b11002c003,b11002c003_moe,b11002c004,b11002c004_moe,b11002c005,b11002c005_moe,b11002c006,b11002c006_moe,b11002c007,b11002c007_moe,b11002c008,b11002c008_moe,b11002c009,b11002c009_moe,b11002c010,b11002c010_moe,b11002c011,b11002c011_moe,b11002c012,b11002c012_moe
1,Southwest,357,252,309,247,222,224,222,224,0,48,0,48,0,48,0,48,87,113,71,92,16,52,48,72
2,Delridge Neighborhoods,268,184,180,170,100,117,100,117,0,38,0,38,0,38,0,38,80,129,80,129,0,38,88,78
3,Greater Duwamish,415,252,349,245,273,207,234,187,39,72,0,45,0,45,0,45,76,139,76,139,0,45,66,70
4,Southeast,218,155,117,137,50,89,50,89,0,45,67,113,67,113,0,45,0,45,0,45,0,45,101,83
5,Central,166,121,76,97,21,45,21,45,0,34,0,34,0,34,0,34,55,92,55,92,0,34,90,81
6,East,828,317,483,260,82,99,82,99,0,47,157,131,102,92,55,62,244,207,200,168,44,68,345,187
7,Northeast,333,201,245,181,213,174,190,156,23,67,0,59,0,59,0,59,32,76,32,76,0,59,88,104
8,North,398,244,283,227,170,179,170,179,0,43,0,43,0,43,0,43,113,136,113,136,0,43,115,81
9,Northwest,536,255,356,229,181,183,164,160,17,58,12,56,12,56,0,54,163,145,144,127,19,60,180,122
10,Ballard,133,115,86,104,0,43,0,43,0,43,55,94,38,71,17,48,31,62,31,62,0,43,47,65
11,Lake Union,457,224,72,90,40,75,40,75,0,42,0,42,0,42,0,42,32,64,32,64,0,42,385,209
12,Magnolia/Queen Anne,394,215,223,173,142,148,142,148,0,51,48,88,48,88,0,51,33,72,33,72,0,51,171,126
13,Downtown,166,121,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,166,121
