area_id,area_name,b19037b001,b19037b001_moe,b19037b002,b19037b002_moe,b19037b003,b19037b003_moe,b19037b004,b19037b004_moe,b19037b005,b19037b005_moe,b19037b006,b19037b006_moe,b19037b007,b19037b007_moe,b19037b008,b19037b008_moe,b19037b009,b19037b009_moe,b19037b010,b19037b010_moe,b19037b011,b19037b011_moe,b19037b012,b19037b012_moe,b19037b013,b19037b013_moe,b19037b014,b19037b014_moe,b19037b015,b19037b015_moe,b19037b016,b19037b016_moe,b19037b017,b19037b017_moe,b19037b018,b19037b018_moe,b19037b019,b19037b019_moe,b19037b020,b19037b020_moe,b19037b021,b19037b021_moe,b19037b022,b19037b022_moe,b19037b023,b19037b023_moe,b19037b024,b19037b024_moe,b19037b025,b19037b025_moe,b19037b026,b19037b026_moe,b19037b027,b19037b027_moe,b19037b028,b19037b028_moe,b19037b029,b19037b029_moe,b19037b030,b19037b030_moe,b19037b031,b19037b031_moe,b19037b032,b19037b032_moe,b19037b033,b19037b033_moe,b19037b034,b19037b034_moe,b19037b035,b19037b035_moe,b19037b036,b19037b036_moe,b19037b037,b19037b037_moe,b19037b038,b19037b038_moe,b19037b039,b19037b039_moe,b19037b040,b19037b040_moe,b19037b041,b19037b041_moe,b19037b042,b19037b042_moe,b19037b043,b19037b043_moe,b19037b044,b19037b044_moe,b19037b045,b19037b045_moe,b19037b046,b19037b046_moe,b19037b047,b19037b047_moe,b19037b048,b19037b048_moe,b19037b049,b19037b049_moe,b19037b050,b19037b050_moe,b19037b051,b19037b051_moe,b19037b052,b19037b052_moe,b19037b053,b19037b053_moe,b19037b054,b19037b054_moe,b19037b055,b19037b055_moe,b19037b056,b19037b056_moe,b19037b057,b19037b057_moe,b19037b058,b19037b058_moe,b19037b059,b19037b059_moe,b19037b060,b19037b060_moe,b19037b061,b19037b061_moe,b19037b062,b19037b062_moe,b19037b063,b19037b063_moe,b19037b064,b19037b064_moe,b19037b065,b19037b065_moe,b19037b066,b19037b066_moe,b19037b067,b19037b067_moe,b19037b068,b19037b068_moe,b19037b069,b19037b069_moe
1,Southwest,481,200,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,255,130,33,59,0,48,41,62,42,67,0,48,0,48,43,81,0,48,0,48,0,48,59,69,0,48,25,62,12,51,0,48,0,48,226,156,42,82,79,107,54,96,0,48,0,48,0,48,0,48,0,48,0,48,14,51,0,48,13,50,24,59,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,1645,271,92,89,77,87,0,38,0,38,15,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,906,254,100,109,43,63,146,133,150,98,23,45,44,61,0,38,54,70,29,59,20,48,95,99,158,124,0,38,44,53,0,38,0,38,466,147,38,45,37,52,17,41,58,61,0,38,0,38,7,39,40,60,0,38,53,63,59,62,67,78,13,41,68,82,0,38,9,39,181,109,90,97,16,40,13,42,0,38,0,38,0,38,13,42,0,38,13,41,0,38,8,39,14,41,0,38,0,38,14,42,0,38
3,Greater Duwamish,2729,331,17,50,0,45,0,45,17,50,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,1186,266,194,121,43,56,63,74,238,168,153,124,133,109,56,78,187,142,21,55,46,56,30,50,22,54,0,45,0,45,0,45,0,45,999,218,150,98,65,62,41,61,104,101,0,45,0,45,132,97,56,56,112,90,74,63,9,45,64,59,57,64,37,55,69,84,29,60,527,163,118,90,84,80,25,49,75,85,0,45,38,56,30,61,44,59,0,45,41,54,0,45,22,48,0,45,0,45,36,58,14,49
4,Southeast,4835,425,306,152,47,59,0,45,19,52,72,97,42,81,0,45,40,76,17,50,0,45,11,46,58,88,0,45,0,45,0,45,0,45,0,45,1557,347,196,133,73,110,26,49,67,94,242,161,236,140,92,101,107,119,16,50,219,145,98,119,152,121,14,46,0,45,19,49,0,45,1868,301,263,131,69,59,99,69,60,64,57,62,108,91,28,50,68,63,123,103,180,106,224,140,316,126,206,120,41,64,16,50,10,47,1104,195,128,79,88,60,133,104,74,59,124,85,58,55,80,58,50,50,46,59,120,96,36,55,12,45,29,54,23,48,50,63,53,64
5,Central,2944,324,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,669,210,63,69,20,44,74,108,76,80,22,41,39,69,93,95,47,64,0,34,56,62,0,34,73,72,14,40,37,64,0,34,55,60,1334,248,78,58,143,105,41,43,94,71,29,46,92,77,0,34,56,53,122,98,135,73,94,76,251,160,130,84,15,41,40,51,14,39,941,177,244,115,115,72,48,43,61,60,106,68,38,50,43,42,22,40,52,52,45,45,53,50,45,46,20,40,20,45,8,34,21,42
6,East,1758,326,48,63,0,47,0,47,0,47,0,47,0,47,0,47,0,47,15,50,0,47,14,50,0,47,19,55,0,47,0,47,0,47,0,47,637,230,58,70,31,68,69,100,91,108,125,116,59,77,0,47,28,55,29,54,12,48,90,86,13,50,32,57,0,47,0,47,0,47,702,198,219,110,89,87,90,96,30,58,44,63,16,51,33,59,45,64,31,58,50,64,10,46,0,47,23,56,0,47,0,47,22,48,371,146,47,63,99,91,10,47,37,72,14,50,28,51,14,50,23,58,0,47,33,56,39,78,0,47,10,48,9,47,0,47,8,47
7,Northeast,638,196,58,89,41,86,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,17,63,0,59,0,59,0,59,0,59,183,101,0,59,24,62,20,64,21,66,11,60,0,59,0,59,0,59,15,62,34,78,0,59,10,60,6,59,0,59,0,59,42,69,250,122,56,91,0,59,0,59,0,59,18,65,34,66,0,59,14,61,0,59,9,59,13,61,8,59,32,67,16,61,50,77,0,59,147,100,0,59,29,70,24,63,0,59,0,59,0,59,0,59,0,59,16,62,0,59,0,59,24,62,15,61,0,59,0,59,39,84
8,North,938,266,133,104,0,43,0,43,0,43,48,67,30,63,40,75,0,43,0,43,0,43,0,43,0,43,15,49,0,43,0,43,0,43,0,43,524,206,92,101,11,46,0,43,59,84,57,100,0,43,71,86,0,43,12,46,37,56,56,65,63,72,40,70,14,46,12,46,0,43,194,123,35,68,48,85,13,45,0,43,28,50,16,47,12,48,0,43,0,43,12,45,0,43,0,43,6,43,24,47,0,43,0,43,87,80,0,43,21,52,0,43,15,46,0,43,29,62,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,22,53
9,Northwest,1199,290,83,107,83,107,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,695,231,101,105,36,74,64,78,61,97,114,118,54,80,0,54,15,58,33,62,0,54,105,113,34,60,23,62,0,54,55,80,0,54,357,148,102,90,100,103,0,54,10,53,22,63,12,55,0,54,16,57,33,59,37,65,7,53,0,54,18,60,0,54,0,54,0,54,64,88,0,54,0,54,64,88,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
10,Ballard,193,112,18,49,0,43,0,43,0,43,0,43,0,43,0,43,18,49,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,119,102,0,43,17,49,0,43,0,43,0,43,47,80,0,43,0,43,16,48,0,43,0,43,0,43,39,71,0,43,0,43,0,43,42,62,0,43,0,43,0,43,22,53,0,43,0,43,0,43,0,43,0,43,3,42,0,43,17,48,0,43,0,43,0,43,0,43,14,46,14,46,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
