area_id,area_name,b06012001,b06012001_moe,b06012002,b06012002_moe,b06012003,b06012003_moe,b06012004,b06012004_moe,b06012005,b06012005_moe,b06012006,b06012006_moe,b06012007,b06012007_moe,b06012008,b06012008_moe,b06012009,b06012009_moe,b06012010,b06012010_moe,b06012011,b06012011_moe,b06012012,b06012012_moe,b06012013,b06012013_moe,b06012014,b06012014_moe,b06012015,b06012015_moe,b06012016,b06012016_moe,b06012017,b06012017_moe,b06012018,b06012018_moe,b06012019,b06012019_moe,b06012020,b06012020_moe
1,Southwest,48627,1056,2991,513,2008,366,43628,1098,23611,1030,1287,325,940,269,21384,1011,20340,900,1164,282,803,210,18373,833,866,217,50,72,16,52,800,206,3810,465,490,187,249,125,3071,419
2,Delridge Neighborhoods,34231,1046,5524,835,2699,674,26008,1115,14316,825,2508,545,1147,380,10661,745,11539,740,1337,278,879,276,9323,681,537,185,97,93,0,38,440,164,7839,769,1582,447,673,313,5584,690
3,Greater Duwamish,46827,1780,8194,1392,5206,893,33427,1693,15209,923,2881,617,1955,445,10373,888,10341,826,1787,445,827,237,7727,642,942,264,177,115,123,107,642,225,20335,1418,3349,779,2301,482,14685,1288
4,Southeast,45345,1462,7039,1092,5478,1212,32828,1529,17317,1154,2738,677,2173,649,12406,1008,14058,858,1577,374,1238,365,11243,765,1109,286,128,97,81,87,900,263,12861,1015,2596,608,1986,622,8279,872
5,Central,29196,1006,3881,678,2298,457,23017,944,10049,816,1067,301,813,296,8169,755,14188,761,1606,291,1092,250,11490,693,559,186,87,109,32,42,440,152,4400,592,1121,415,361,153,2918,442
6,East,47890,1136,7325,736,4017,718,36548,1095,13861,813,2260,408,1056,308,10545,707,25643,1047,3137,427,2013,379,20493,966,1169,251,63,80,90,76,1016,234,7217,733,1865,368,858,423,4494,552
7,Northeast,70251,1671,11903,1164,3390,543,54958,1169,29740,1303,4949,807,1307,356,23484,923,29514,1124,4396,600,1384,290,23734,934,1340,249,253,125,53,102,1034,203,9657,838,2305,460,646,236,6706,646
8,North,39783,1067,5333,695,2619,478,31831,1095,16362,811,2084,409,830,210,13448,744,14419,782,1280,270,853,254,12286,750,706,203,159,138,50,59,497,148,8296,838,1810,409,886,322,5600,736
9,Northwest,69242,1459,7139,905,3740,618,58363,1451,28885,1181,2444,467,1430,344,25011,1086,29333,1159,2634,463,1604,330,25095,1055,1293,261,139,108,30,59,1124,239,9731,823,1922,450,676,236,7133,696
10,Ballard,44327,1015,2973,509,2065,470,39289,963,19462,956,1270,305,997,286,17195,918,19948,874,1150,254,742,211,18056,818,720,186,85,75,33,52,602,171,4197,633,468,209,293,283,3436,502
11,Lake Union,44048,1324,7346,877,2759,552,33943,1025,14934,946,2292,440,1068,360,11574,777,22675,1069,3500,509,1320,298,17855,924,1070,265,194,109,82,90,794,203,5369,679,1360,503,289,145,3720,462
12,Magnolia/Queen Anne,57379,1346,4296,745,2101,414,50982,1282,21456,1162,1485,410,774,250,19197,1055,28153,1088,2069,445,1059,264,25025,1072,1326,269,25,52,90,101,1211,254,6444,659,717,263,178,111,5549,602
13,Downtown,17051,907,4717,764,1433,324,10901,637,3836,516,1167,374,552,188,2117,359,8133,636,1588,374,403,173,6142,509,399,166,105,89,0,29,294,141,4683,560,1857,444,478,198,2348,364
