area_id,area_name,b22005c001,b22005c001_moe,b22005c002,b22005c002_moe,b22005c003,b22005c003_moe
1,Southwest,103,70,14,47,89,69
2,Delridge Neighborhoods,139,89,0,38,139,89
3,Greater Duwamish,122,68,19,49,103,65
4,Southeast,107,72,32,52,75,61
5,Central,94,66,28,42,66,60
6,East,449,166,191,104,258,135
7,Northeast,114,77,15,62,99,74
8,North,177,91,49,59,128,78
9,Northwest,249,108,64,77,185,92
10,Ballard,65,59,14,46,51,56
11,Lake Union,358,165,150,110,208,124
12,Magnolia/Queen Anne,205,116,0,51,205,116
13,Downtown,140,99,80,82,60,62
