area_id,area_name,c25095001,c25095001_moe,c25095002,c25095002_moe,c25095003,c25095003_moe,c25095004,c25095004_moe,c25095005,c25095005_moe,c25095006,c25095006_moe,c25095007,c25095007_moe,c25095008,c25095008_moe,c25095009,c25095009_moe,c25095010,c25095010_moe,c25095011,c25095011_moe,c25095012,c25095012_moe,c25095013,c25095013_moe,c25095014,c25095014_moe,c25095015,c25095015_moe,c25095016,c25095016_moe,c25095017,c25095017_moe,c25095018,c25095018_moe,c25095019,c25095019_moe,c25095020,c25095020_moe,c25095021,c25095021_moe,c25095022,c25095022_moe,c25095023,c25095023_moe,c25095024,c25095024_moe,c25095025,c25095025_moe,c25095026,c25095026_moe,c25095027,c25095027_moe,c25095028,c25095028_moe,c25095029,c25095029_moe
1,Southwest,14808,462,255,102,0,48,155,82,100,71,574,162,57,58,517,157,0,48,1114,225,458,141,656,186,0,48,1056,199,571,149,485,136,0,48,1921,261,834,177,1087,199,0,48,2115,287,1467,235,648,156,0,48,7773,414,6638,418,1135,228,0,48
2,Delridge Neighborhoods,7724,382,135,91,16,43,72,52,47,82,222,83,70,55,152,70,0,38,638,147,288,108,350,117,0,38,762,192,273,106,489,166,0,38,1702,248,661,156,1041,205,0,38,1239,219,894,183,345,132,0,38,3026,292,2703,281,323,128,0,38
3,Greater Duwamish,8359,418,210,93,10,46,151,75,49,63,537,132,230,95,307,101,0,45,728,153,303,102,425,121,0,45,1047,207,452,132,595,157,0,45,1884,268,870,183,1014,203,0,45,1296,220,858,192,438,118,0,45,2657,321,2361,294,296,128,0,45
4,Southeast,10861,427,241,105,0,45,168,88,73,67,422,124,65,55,357,117,0,45,855,191,220,97,635,168,0,45,1024,220,321,100,703,197,0,45,2084,299,851,194,1233,254,0,45,1896,298,1118,238,778,196,0,45,4339,345,3950,340,389,124,0,45
5,Central,6894,359,228,108,0,34,166,96,62,55,292,142,17,34,275,139,0,34,527,141,93,62,434,132,0,34,499,147,173,76,326,128,0,34,926,205,409,124,517,164,0,34,925,208,566,170,359,132,0,34,3497,302,3079,292,418,123,0,34
6,East,8008,453,292,125,47,57,199,110,46,57,99,63,7,47,92,62,0,47,622,177,137,72,485,164,0,47,623,179,239,98,384,153,0,47,1190,227,565,148,625,178,0,47,1043,232,659,196,384,127,0,47,4139,355,3549,345,590,157,0,47
7,Northeast,16806,426,247,97,0,59,189,91,58,67,526,132,79,71,447,125,0,59,800,161,285,96,515,137,0,59,980,165,502,122,478,128,0,59,2058,253,1046,178,1012,194,0,59,2119,286,1335,212,784,194,0,59,10076,420,8989,414,1087,201,0,59
8,North,9074,354,259,102,0,43,230,98,29,46,502,141,99,68,403,130,0,43,704,183,202,88,502,162,0,43,875,176,448,129,427,134,0,43,1508,235,802,180,706,167,0,43,1327,212,815,170,512,141,0,43,3899,309,3461,297,438,128,0,43
9,Northwest,17569,559,474,166,40,61,411,160,23,56,548,143,99,66,449,132,0,54,1267,210,500,132,767,175,0,54,1663,273,676,163,987,216,0,54,2606,305,1315,213,1291,235,0,54,2603,305,1624,246,979,187,0,54,8408,480,7511,467,897,202,0,54
10,Ballard,11602,423,308,127,0,43,227,108,81,75,406,128,94,62,312,115,0,43,599,139,239,92,360,109,0,43,895,192,418,129,477,149,0,43,2040,267,1069,186,971,201,0,43,1908,287,1140,200,768,196,0,43,5446,355,4657,351,789,164,0,43
11,Lake Union,7184,387,142,82,14,45,128,79,0,42,203,79,29,44,174,74,0,42,283,98,94,60,189,82,0,42,361,126,171,96,190,87,0,42,1070,217,399,121,671,184,0,42,1076,194,566,141,510,145,0,42,4049,336,3560,327,489,125,0,42
12,Magnolia/Queen Anne,14092,515,266,123,0,51,153,102,113,84,372,125,13,52,359,124,0,51,806,187,162,86,644,172,0,51,969,208,324,103,645,186,0,51,2129,321,954,200,1175,263,0,51,1725,279,1064,211,661,200,0,51,7825,448,6674,422,1151,219,0,51
13,Downtown,2175,304,59,49,0,29,38,44,21,34,37,40,0,29,37,40,0,29,89,78,15,29,74,78,0,29,150,95,55,76,95,66,0,29,389,186,185,121,204,143,0,29,319,132,187,104,132,80,0,29,1132,208,909,181,223,125,0,29
