area_id,area_name,b07010001,b07010001_moe,b07010002,b07010002_moe,b07010003,b07010003_moe,b07010004,b07010004_moe,b07010005,b07010005_moe,b07010006,b07010006_moe,b07010007,b07010007_moe,b07010008,b07010008_moe,b07010009,b07010009_moe,b07010010,b07010010_moe,b07010011,b07010011_moe,b07010012,b07010012_moe,b07010013,b07010013_moe,b07010014,b07010014_moe,b07010015,b07010015_moe,b07010016,b07010016_moe,b07010017,b07010017_moe,b07010018,b07010018_moe,b07010019,b07010019_moe,b07010020,b07010020_moe,b07010021,b07010021_moe,b07010022,b07010022_moe,b07010023,b07010023_moe,b07010024,b07010024_moe,b07010025,b07010025_moe,b07010026,b07010026_moe,b07010027,b07010027_moe,b07010028,b07010028_moe,b07010029,b07010029_moe,b07010030,b07010030_moe,b07010031,b07010031_moe,b07010032,b07010032_moe,b07010033,b07010033_moe,b07010034,b07010034_moe,b07010035,b07010035_moe,b07010036,b07010036_moe,b07010037,b07010037_moe,b07010038,b07010038_moe,b07010039,b07010039_moe,b07010040,b07010040_moe,b07010041,b07010041_moe,b07010042,b07010042_moe,b07010043,b07010043_moe,b07010044,b07010044_moe,b07010045,b07010045_moe,b07010046,b07010046_moe,b07010047,b07010047_moe,b07010048,b07010048_moe,b07010049,b07010049_moe,b07010050,b07010050_moe,b07010051,b07010051_moe,b07010052,b07010052_moe,b07010053,b07010053_moe,b07010054,b07010054_moe,b07010055,b07010055_moe,b07010056,b07010056_moe,b07010057,b07010057_moe,b07010058,b07010058_moe,b07010059,b07010059_moe,b07010060,b07010060_moe,b07010061,b07010061_moe,b07010062,b07010062_moe,b07010063,b07010063_moe,b07010064,b07010064_moe,b07010065,b07010065_moe,b07010066,b07010066_moe
1,Southwest,41585,892,2727,362,38858,861,4292,437,2247,338,4048,481,4334,429,5974,545,4627,433,2574,372,10762,642,34581,939,2379,339,32202,889,3517,399,1671,282,2994,370,3512,384,5060,484,3964,393,2083,309,9401,599,4621,693,207,126,4414,660,361,117,389,167,627,240,482,152,679,215,525,175,366,187,985,332,808,276,35,57,773,266,48,77,65,68,247,142,175,118,75,64,27,52,50,69,86,77,1221,351,80,66,1141,342,206,139,99,93,149,94,143,90,160,141,111,101,61,65,212,105,354,152,26,54,328,148,160,114,23,56,31,58,22,57,0,48,0,48,14,51,78,67
2,Delridge Neighborhoods,28536,867,2861,363,25675,785,4362,509,2105,378,3658,429,3274,408,3913,480,3213,362,1093,232,4057,428,23619,917,2550,350,21069,790,3390,445,1625,320,2928,380,2657,347,3094,411,2760,335,942,218,3673,408,3216,488,132,76,3084,480,570,205,391,202,417,162,392,174,460,198,393,149,129,73,332,136,457,260,100,146,357,170,72,68,38,67,44,61,126,95,42,62,13,40,13,41,9,38,1037,305,33,53,1004,284,291,154,41,50,249,118,99,67,225,138,47,67,9,38,43,60,207,144,46,64,161,133,39,53,10,40,20,41,0,38,92,123,0,38,0,38,0,38
3,Greater Duwamish,37863,1305,4627,551,33236,1122,7625,645,2983,415,6359,581,5293,545,4645,473,2754,350,721,196,2856,377,31881,1152,3789,454,28092,1036,6366,584,2381,379,5259,526,4550,499,3846,427,2464,336,587,170,2639,361,3784,623,283,138,3501,574,741,245,380,148,785,225,627,227,623,192,127,73,80,69,138,88,422,166,76,90,346,143,110,85,28,51,96,86,20,47,55,76,8,45,11,47,18,47,804,260,22,43,782,260,281,149,124,88,98,86,69,72,48,58,112,92,0,45,50,62,972,458,457,256,515,256,127,88,70,83,121,148,27,53,73,66,43,80,43,79,11,48
4,Southeast,37389,1196,4649,581,32740,1090,6671,621,2523,376,4498,508,4624,594,4549,524,3485,450,1425,259,4965,422,31946,1123,3928,529,28018,972,5583,555,2008,320,3898,444,3866,553,3845,484,3005,400,1211,238,4602,414,3902,702,346,213,3556,637,767,224,339,170,518,213,546,241,574,210,404,205,148,81,260,133,416,209,69,89,347,161,124,91,49,72,25,52,53,92,35,56,18,51,13,47,30,52,753,227,72,89,681,205,168,121,33,53,57,53,144,88,95,95,58,65,53,55,73,59,372,241,234,167,138,122,29,56,94,114,0,45,15,48,0,45,0,45,0,45,0,45
5,Central,25677,831,1811,372,23866,822,3868,471,1959,320,3087,412,2844,417,3273,409,2383,325,1045,212,5407,440,19266,865,1381,310,17885,802,2548,338,1532,293,2112,347,1829,310,2393,356,1878,298,833,193,4760,400,4536,615,293,213,4243,581,861,264,225,107,694,234,877,270,649,216,375,145,108,67,454,176,450,202,12,33,438,202,115,84,117,93,108,72,38,46,36,64,0,34,18,39,6,33,1336,340,106,85,1230,321,333,174,70,58,160,92,96,62,195,97,130,89,86,76,160,91,89,60,19,38,70,55,11,36,15,41,13,34,4,33,0,34,0,34,0,34,27,44
6,East,47883,1104,3294,398,44589,1049,7808,662,3370,434,6333,615,5120,548,6631,679,4027,496,1873,306,9427,662,31927,1126,2047,330,29880,1084,4151,433,2162,344,3751,500,3412,446,4482,598,3022,424,1582,281,7318,580,9852,840,763,206,9089,785,2076,317,818,246,1429,329,1138,249,1312,291,660,197,177,96,1479,359,1231,296,70,62,1161,294,451,175,144,84,165,103,130,92,176,103,51,92,0,47,44,81,4160,579,306,124,3854,559,963,260,228,99,866,245,440,173,531,171,280,142,114,93,432,196,713,245,108,79,605,233,167,116,18,49,122,109,0,47,130,116,14,50,0,47,154,93
7,Northeast,69433,1750,7524,691,61909,1593,17483,1091,4301,575,6999,652,5952,543,5867,497,5110,437,2405,333,13792,597,48288,1389,4150,496,44138,1240,9328,775,2387,399,4692,509,4306,428,4514,399,4356,413,2138,311,12417,563,12185,1094,1303,281,10882,1043,4507,641,1044,272,1643,352,1133,289,777,244,555,165,201,111,1022,224,3413,440,692,186,2721,406,1724,305,436,202,252,113,85,72,168,95,32,63,13,60,11,58,3734,592,520,237,3214,555,1476,326,306,200,318,141,339,149,365,185,152,110,53,62,205,95,1813,474,859,339,954,246,448,166,128,102,94,74,89,94,43,63,15,61,0,59,137,102
8,North,34832,888,3211,440,31621,852,5352,536,2502,359,4589,465,4001,463,5046,491,3322,391,1681,248,5128,402,27828,899,2450,378,25378,836,4069,468,1752,275,3457,389,2974,398,4106,459,2846,343,1597,236,4577,374,4106,626,514,215,3592,538,520,156,409,175,701,236,700,196,614,195,220,95,50,53,378,133,1268,346,35,57,1233,335,415,172,102,97,251,131,170,111,190,137,64,72,34,69,7,41,1215,342,103,84,1112,317,205,102,211,127,160,80,118,107,80,66,186,171,0,43,152,90,415,192,109,73,306,171,143,108,28,48,20,45,39,75,56,56,6,43,0,43,14,44
9,Northwest,60550,1192,4086,540,56464,1070,7665,675,3968,424,7969,638,7512,643,8358,629,6643,555,3131,361,11218,637,48100,1247,3177,410,44923,1184,5949,589,2931,367,6013,561,5698,567,6214,526,5628,506,2652,325,9838,607,8319,858,425,213,7894,801,843,227,589,179,1214,265,1363,297,1719,359,798,240,354,157,1014,248,1673,362,156,127,1517,330,271,112,161,87,361,164,298,124,205,122,73,63,27,61,121,101,1831,397,156,111,1675,383,363,135,237,130,325,166,140,98,163,109,130,83,98,79,219,114,627,240,172,123,455,181,239,154,50,70,56,74,13,56,57,63,14,56,0,54,26,59
10,Ballard,38368,909,2227,330,36141,877,4031,438,2220,370,4237,554,4730,519,5461,546,4907,476,2489,340,8066,501,31132,889,2020,310,29112,827,2974,368,1730,304,2887,359,3642,439,4538,489,4076,421,2082,311,7183,485,4880,741,111,100,4769,749,521,166,262,127,849,384,772,235,691,251,662,224,334,149,678,191,841,316,14,42,827,316,161,74,170,125,137,85,191,157,57,57,40,48,42,71,29,49,1128,263,82,60,1046,256,235,122,18,49,229,148,125,83,131,96,122,103,10,43,176,101,387,171,0,43,387,171,140,96,40,49,135,104,0,43,44,55,7,43,21,45,0,43
