area_id,area_name,b17020e001,b17020e001_moe,b17020e002,b17020e002_moe,b17020e003,b17020e003_moe,b17020e004,b17020e004_moe,b17020e005,b17020e005_moe,b17020e006,b17020e006_moe,b17020e007,b17020e007_moe,b17020e008,b17020e008_moe,b17020e009,b17020e009_moe,b17020e010,b17020e010_moe,b17020e011,b17020e011_moe,b17020e012,b17020e012_moe,b17020e013,b17020e013_moe,b17020e014,b17020e014_moe,b17020e015,b17020e015_moe,b17020e016,b17020e016_moe,b17020e017,b17020e017_moe
1,Southwest,131,126,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,131,126,0,48,0,48,0,48,0,48,131,126,0,48,0,48
2,Delridge Neighborhoods,275,182,35,76,0,38,0,38,12,43,0,38,23,57,0,38,0,38,240,171,0,38,0,38,18,40,27,58,162,147,33,52,0,38
3,Greater Duwamish,497,307,10,47,0,45,0,45,0,45,0,45,10,47,0,45,0,45,487,306,0,45,17,52,38,72,52,81,340,220,9,47,31,68
4,Southeast,353,356,94,134,0,45,0,45,0,45,0,45,42,74,52,82,0,45,259,330,34,94,0,45,24,73,0,45,173,223,28,62,0,45
5,Central,9,36,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,9,36,0,34,0,34,0,34,0,34,9,36,0,34,0,34
6,East,31,57,17,52,0,47,0,47,0,47,0,47,17,52,0,47,0,47,14,52,0,47,0,47,0,47,0,47,14,52,0,47,0,47
7,Northeast,77,79,22,67,0,59,0,59,0,59,0,59,22,67,0,59,0,59,55,72,0,59,0,59,8,59,0,59,28,69,19,62,0,59
8,North,247,191,104,148,0,43,0,43,21,51,25,53,18,47,40,69,0,43,143,127,0,43,0,43,0,43,0,43,143,127,0,43,0,43
9,Northwest,314,178,39,62,0,54,0,54,0,54,0,54,39,62,0,54,0,54,275,162,33,61,0,54,18,58,19,60,205,139,0,54,0,54
10,Ballard,112,135,88,135,0,43,0,43,0,43,23,57,65,101,0,43,0,43,24,45,0,43,0,43,0,43,0,43,24,45,0,43,0,43
11,Lake Union,56,87,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,56,87,0,42,0,42,0,42,0,42,56,87,0,42,0,42
12,Magnolia/Queen Anne,32,60,1,50,0,51,0,51,0,51,0,51,1,50,0,51,0,51,31,61,0,51,0,51,14,53,0,51,17,50,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
