area_id,area_name,b01001i001,b01001i001_moe,b01001i002,b01001i002_moe,b01001i003,b01001i003_moe,b01001i004,b01001i004_moe,b01001i005,b01001i005_moe,b01001i006,b01001i006_moe,b01001i007,b01001i007_moe,b01001i008,b01001i008_moe,b01001i009,b01001i009_moe,b01001i010,b01001i010_moe,b01001i011,b01001i011_moe,b01001i012,b01001i012_moe,b01001i013,b01001i013_moe,b01001i014,b01001i014_moe,b01001i015,b01001i015_moe,b01001i016,b01001i016_moe,b01001i017,b01001i017_moe,b01001i018,b01001i018_moe,b01001i019,b01001i019_moe,b01001i020,b01001i020_moe,b01001i021,b01001i021_moe,b01001i022,b01001i022_moe,b01001i023,b01001i023_moe,b01001i024,b01001i024_moe,b01001i025,b01001i025_moe,b01001i026,b01001i026_moe,b01001i027,b01001i027_moe,b01001i028,b01001i028_moe,b01001i029,b01001i029_moe,b01001i030,b01001i030_moe,b01001i031,b01001i031_moe
1,Southwest,2213,542,1003,290,94,96,44,50,105,91,25,50,21,49,47,58,73,75,63,85,134,84,225,128,172,104,0,48,0,48,0,48,1210,337,95,77,186,137,90,80,21,55,19,49,106,113,107,102,165,117,142,84,168,109,38,53,18,53,0,48,55,63
2,Delridge Neighborhoods,4519,781,2540,462,247,167,209,107,68,74,126,87,109,83,230,163,385,197,330,133,277,129,461,169,65,61,19,46,14,42,0,38,1979,494,205,135,151,112,224,111,38,55,90,126,191,111,256,142,78,69,337,148,222,116,70,58,81,69,36,45,0,38
3,Greater Duwamish,4663,943,2494,654,209,135,189,92,293,192,78,72,7,44,196,123,347,208,373,186,515,280,189,90,46,76,52,64,0,45,0,45,2169,512,311,157,248,151,259,129,67,73,30,52,198,134,377,152,144,97,281,132,111,87,53,54,9,54,70,78,11,49
4,Southeast,3732,867,2107,614,266,144,157,91,240,150,47,61,109,108,131,138,231,144,144,109,379,183,265,167,83,72,0,45,28,47,27,53,1625,436,101,91,85,78,134,119,99,101,34,70,131,131,175,133,173,133,269,142,123,70,221,135,31,61,31,49,18,48
5,Central,1624,402,791,261,57,60,32,48,18,42,32,43,0,34,19,35,119,90,167,97,165,92,137,94,17,39,28,47,0,34,0,34,833,252,82,85,130,78,25,38,11,37,0,34,50,63,130,92,155,83,77,58,149,84,10,35,14,45,0,34,0,34
6,East,3250,593,1879,385,18,52,28,57,58,57,66,77,78,69,243,96,378,229,345,158,171,93,332,163,126,95,8,47,28,62,0,47,1371,349,99,145,23,50,16,51,6,47,117,76,323,152,195,101,201,153,170,97,105,72,96,91,20,54,0,47,0,47
7,Northeast,2773,467,1390,275,68,62,123,79,83,68,0,59,176,105,390,151,42,71,130,97,210,102,108,103,41,61,10,60,9,60,0,59,1383,330,66,71,100,78,30,62,53,68,303,132,244,177,107,85,37,64,189,126,121,70,122,77,0,59,10,60,1,56
8,North,2985,626,1597,393,123,98,88,82,97,62,95,77,62,80,119,125,243,186,213,131,275,119,213,104,48,52,21,52,0,43,0,43,1388,387,127,90,100,97,43,52,25,53,42,60,133,115,213,108,122,77,280,125,179,113,62,63,0,43,0,43,62,100
9,Northwest,4366,801,2470,515,306,182,179,99,151,106,84,71,68,73,153,84,334,178,414,185,374,136,263,178,66,71,50,67,25,57,3,53,1896,420,174,136,91,95,86,69,12,56,51,63,179,112,373,164,237,133,289,131,114,70,131,84,72,75,18,59,69,66
10,Ballard,2190,491,1056,312,73,74,58,52,71,78,84,83,26,49,54,60,189,115,117,79,215,129,105,68,39,56,25,46,0,43,0,43,1134,291,100,85,50,56,17,48,22,54,0,43,57,63,88,67,372,193,234,122,125,98,50,52,19,49,0,43,0,43
11,Lake Union,2189,375,1232,304,166,121,28,44,3,41,0,42,88,95,99,68,193,123,215,105,369,152,16,46,20,50,35,54,0,42,0,42,957,226,27,49,29,46,37,55,84,104,0,42,170,102,192,103,148,81,86,61,55,56,80,67,32,64,17,49,0,42
12,Magnolia/Queen Anne,2633,514,1296,325,137,103,39,58,0,51,15,52,42,61,221,129,305,157,112,80,216,140,58,63,94,102,48,64,9,50,0,51,1337,312,38,63,101,84,49,62,54,77,80,75,185,125,241,113,160,102,184,113,139,87,52,64,54,78,0,51,0,51
13,Downtown,743,244,408,175,8,31,0,29,0,29,0,29,92,126,121,81,17,33,4,28,78,64,40,49,19,42,17,40,0,29,12,34,335,170,0,29,0,29,0,29,0,29,11,29,36,45,6,29,127,106,82,80,0,29,73,74,0,29,0,29,0,29
