area_id,area_name,b18106001,b18106001_moe,b18106002,b18106002_moe,b18106003,b18106003_moe,b18106004,b18106004_moe,b18106005,b18106005_moe,b18106006,b18106006_moe,b18106007,b18106007_moe,b18106008,b18106008_moe,b18106009,b18106009_moe,b18106010,b18106010_moe,b18106011,b18106011_moe,b18106012,b18106012_moe,b18106013,b18106013_moe,b18106014,b18106014_moe,b18106015,b18106015_moe,b18106016,b18106016_moe,b18106017,b18106017_moe,b18106018,b18106018_moe,b18106019,b18106019_moe,b18106020,b18106020_moe,b18106021,b18106021_moe,b18106022,b18106022_moe,b18106023,b18106023_moe,b18106024,b18106024_moe,b18106025,b18106025_moe,b18106026,b18106026_moe,b18106027,b18106027_moe,b18106028,b18106028_moe,b18106029,b18106029_moe,b18106030,b18106030_moe,b18106031,b18106031_moe,b18106032,b18106032_moe,b18106033,b18106033_moe
1,Southwest,45578,988,21081,745,2720,367,0,48,2720,367,4307,468,28,59,4279,466,11405,485,65,58,11340,482,1562,229,24,52,1538,230,1087,189,151,99,936,164,24497,735,3357,369,0,48,3357,369,5215,486,0,48,5215,486,12156,461,129,79,12027,459,1909,246,71,64,1838,245,1860,228,263,103,1597,219
2,Delridge Neighborhoods,31812,962,15782,676,2505,321,34,47,2471,322,4843,515,37,68,4806,515,7119,458,145,101,6974,448,878,162,80,77,798,153,437,127,76,81,361,111,16030,693,2068,341,0,38,2068,341,4655,493,16,44,4639,493,7469,410,188,96,7281,413,1146,196,92,60,1054,190,692,148,93,65,599,135
3,Greater Duwamish,43351,1593,21812,1126,3265,460,0,45,3265,460,6167,608,0,45,6167,608,10124,729,175,92,9949,736,1254,242,68,81,1186,230,1002,177,171,100,831,163,21539,990,3922,607,48,60,3874,601,5795,492,1,43,5794,492,8592,499,172,103,8420,509,1355,228,55,53,1300,227,1875,256,410,131,1465,242
4,Southeast,42463,1392,20360,1025,3702,572,71,73,3631,574,4092,533,3,42,4089,533,10266,575,156,95,10110,574,1375,224,111,94,1264,207,925,166,99,70,826,152,22103,844,3370,405,29,52,3341,403,5044,526,72,63,4972,524,10680,538,324,140,10356,529,1728,250,199,116,1529,224,1281,217,264,115,1017,172
5,Central,27530,928,13123,719,1222,288,30,43,1192,284,4053,556,20,40,4033,556,6482,448,120,88,6362,446,911,170,110,81,801,155,455,129,88,79,367,105,14407,711,1557,274,0,34,1557,274,4822,449,13,38,4809,450,6085,443,226,105,5859,430,1026,211,29,43,997,213,917,167,157,94,760,156
6,East,47882,1154,24500,953,1277,237,3,45,1274,237,11019,849,16,51,11003,849,10028,653,180,130,9848,651,1247,227,27,50,1220,224,929,161,127,74,802,149,23382,859,1095,201,19,48,1076,201,11606,716,16,50,11590,716,7667,544,216,97,7451,536,1596,248,35,47,1561,245,1418,211,281,109,1137,188
7,Northeast,75533,1813,36608,1314,3799,341,34,65,3765,340,16770,1217,23,69,16747,1217,12859,473,69,66,12790,472,1905,207,92,71,1813,201,1275,192,142,81,1133,187,38925,1222,4061,343,14,59,4047,342,17432,1118,55,66,17377,1118,13202,468,28,59,13174,468,2113,231,51,73,2062,227,2117,322,264,239,1853,225
8,North,37788,1026,19001,796,2218,305,0,43,2218,305,6512,627,18,50,6494,627,8314,448,169,99,8145,446,976,200,14,45,962,199,981,186,160,93,821,167,18787,726,1872,280,0,43,1872,280,5506,476,27,48,5479,476,8438,408,159,93,8279,406,1179,194,151,91,1028,177,1792,245,236,99,1556,233
9,Northwest,65301,1345,31583,981,3487,426,18,53,3469,425,10518,738,87,79,10431,738,14425,620,164,85,14261,620,1598,233,105,76,1493,225,1555,236,198,98,1357,220,33718,907,3049,352,44,78,3005,345,11058,729,72,87,10986,728,14788,603,254,114,14534,599,1977,298,145,93,1832,289,2846,294,500,161,2346,275
10,Ballard,41626,972,20515,722,2370,333,0,43,2370,333,6407,601,3,42,6404,600,9820,440,86,63,9734,441,1117,204,27,59,1090,200,801,142,103,66,698,135,21111,700,2113,298,14,49,2099,297,6335,523,0,43,6335,523,10107,436,77,70,10030,432,1271,189,5,39,1266,189,1285,205,204,135,1081,172
11,Lake Union,42508,1289,22122,977,958,166,0,42,958,166,10968,914,92,149,10876,871,8703,544,136,107,8567,539,1046,186,81,88,965,172,447,148,84,117,363,102,20386,958,1272,228,0,42,1272,228,10241,827,43,54,10198,824,7371,459,52,56,7319,463,668,144,13,44,655,142,834,172,142,98,692,142
12,Magnolia/Queen Anne,56146,1337,27000,1070,2639,350,28,55,2611,348,9451,919,32,55,9419,918,12170,597,305,173,11865,564,1533,241,31,57,1502,241,1207,202,138,91,1069,186,29146,1049,2578,370,42,70,2536,371,10729,934,10,55,10719,933,12060,524,95,70,11965,529,1855,247,79,84,1776,245,1924,244,186,95,1738,220
13,Downtown,16567,817,9653,642,219,169,0,29,219,169,3086,463,22,38,3064,460,5031,429,335,143,4696,438,755,183,42,39,713,178,562,160,150,101,412,131,6914,507,270,138,0,29,270,138,2311,363,0,29,2311,363,3114,318,100,57,3014,314,729,186,48,66,681,172,490,121,124,69,366,127
