Rent Asked
----------
Universe: Vacant-for-rent and Rented, Not Occupied Housing Units

B25061001 Total:
B25061002  Less than $100
B25061003  $100 to $149
B25061004  $150 to $199
B25061005  $200 to $249
B25061006  $250 to $299
B25061007  $300 to $349
B25061008  $350 to $399
B25061009  $400 to $449
B25061010  $450 to $499
B25061011  $500 to $549
B25061012  $550 to $599
B25061013  $600 to $649
B25061014  $650 to $699
B25061015  $700 to $749
B25061016  $750 to $799
B25061017  $800 to $899
B25061018  $900 to $999
B25061019  $1,000 to $1,249
B25061020  $1,250 to $1,499
B25061021  $1,500 to $1,999
B25061022  $2,000 or more
