area_id,area_name,b25003a001,b25003a001_moe,b25003a002,b25003a002_moe,b25003a003,b25003a003_moe
1,Southwest,21073,463,13770,469,7303,485
2,Delridge Neighborhoods,10162,408,5972,359,4190,401
3,Greater Duwamish,5929,386,3158,313,2771,308
4,Southeast,8079,420,6033,366,2046,315
5,Central,8846,384,4836,330,4010,373
6,East,23535,663,6786,448,16749,673
7,Northeast,24437,529,14875,422,9562,520
8,North,14501,435,7701,337,6800,457
9,Northwest,27093,554,15227,523,11866,590
10,Ballard,19226,385,10883,413,8343,485
11,Lake Union,19568,589,6321,358,13247,609
12,Magnolia/Queen Anne,25813,585,12775,510,13038,618
13,Downtown,7434,437,1712,249,5722,424
