area_id,area_name,c27001h001,c27001h001_moe,c27001h002,c27001h002_moe,c27001h003,c27001h003_moe,c27001h004,c27001h004_moe,c27001h005,c27001h005_moe,c27001h006,c27001h006_moe,c27001h007,c27001h007_moe,c27001h008,c27001h008_moe,c27001h009,c27001h009_moe,c27001h010,c27001h010_moe
1,Southwest,40827,1063,6690,536,6499,534,191,119,28135,815,25558,825,2577,423,6002,365,6000,365,2,47
2,Delridge Neighborhoods,17625,883,2167,357,2115,350,52,66,13429,710,11519,666,1910,347,2029,269,2029,269,0,38
3,Greater Duwamish,10694,782,1083,294,1046,274,37,72,8598,637,7254,562,1344,266,1013,229,1013,229,0,45
4,Southeast,16232,871,2875,348,2794,341,81,93,11574,698,10516,628,1058,306,1783,294,1767,295,16,56
5,Central,16530,809,1990,305,1990,305,0,34,13055,660,11724,627,1331,311,1485,227,1468,225,17,42
6,East,36416,1232,2302,317,2298,317,4,45,29960,1129,25823,1056,4137,599,4154,349,4108,345,46,62
7,Northeast,59541,1687,8424,497,8361,487,63,86,44647,1551,41224,1500,3423,498,6470,385,6456,385,14,61
8,North,26782,971,3742,402,3606,400,136,99,19080,751,16656,676,2424,418,3960,329,3920,330,40,60
9,Northwest,51488,1355,6740,515,6530,507,210,129,38024,1098,33459,1047,4565,574,6724,457,6717,458,7,52
10,Ballard,37616,968,5557,455,5350,448,207,156,27917,804,25156,732,2761,479,4142,285,4142,285,0,43
11,Lake Union,33662,1207,2710,256,2676,255,34,71,28454,1114,24616,943,3838,632,2498,266,2479,261,19,50
12,Magnolia/Queen Anne,47949,1370,6300,518,6179,506,121,121,35784,1163,32998,1148,2786,453,5865,370,5861,368,4,49
13,Downtown,10085,628,221,74,221,74,0,29,8498,594,7559,546,939,243,1366,248,1366,248,0,29
