area_id,area_name,b01002d001,b01002d001_moe,b01002d002,b01002d002_moe,b01002d003,b01002d003_moe
1,Southwest,319,55,340,70,316,60
2,Delridge Neighborhoods,315,25,310,27,324,29
3,Greater Duwamish,467,26,471,28,449,38
4,Southeast,338,27,337,55,339,32
5,Central,264,23,242,51,269,32
6,East,400,40,423,56,391,61
7,Northeast,548,35,532,48,547,50
8,North,382,31,385,29,373,55
9,Northwest,587,60,620,93,597,58
10,Ballard,332,41,336,66,323,46
11,Lake Union,302,22,299,78,319,38
12,Magnolia/Queen Anne,346,49,371,101,363,65
13,Downtown,241,29,256,47,226,32
