area_id,area_name,b17010c001,b17010c001_moe,b17010c002,b17010c002_moe,b17010c003,b17010c003_moe,b17010c004,b17010c004_moe,b17010c005,b17010c005_moe,b17010c006,b17010c006_moe,b17010c007,b17010c007_moe,b17010c008,b17010c008_moe,b17010c009,b17010c009_moe,b17010c010,b17010c010_moe,b17010c011,b17010c011_moe,b17010c012,b17010c012_moe,b17010c013,b17010c013_moe,b17010c014,b17010c014_moe,b17010c015,b17010c015_moe,b17010c016,b17010c016_moe,b17010c017,b17010c017_moe,b17010c018,b17010c018_moe,b17010c019,b17010c019_moe,b17010c020,b17010c020_moe,b17010c021,b17010c021_moe,b17010c022,b17010c022_moe,b17010c023,b17010c023_moe,b17010c024,b17010c024_moe,b17010c025,b17010c025_moe,b17010c026,b17010c026_moe,b17010c027,b17010c027_moe,b17010c028,b17010c028_moe,b17010c029,b17010c029_moe,b17010c030,b17010c030_moe,b17010c031,b17010c031_moe,b17010c032,b17010c032_moe,b17010c033,b17010c033_moe,b17010c034,b17010c034_moe,b17010c035,b17010c035_moe,b17010c036,b17010c036_moe,b17010c037,b17010c037_moe,b17010c038,b17010c038_moe,b17010c039,b17010c039_moe,b17010c040,b17010c040_moe,b17010c041,b17010c041_moe
1,Southwest,72,63,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,72,63,44,58,23,47,0,48,0,48,23,47,21,53,28,52,0,48,0,48,0,48,0,48,0,48,0,48,28,52,15,51,15,51,0,48,0,48,13,49
2,Delridge Neighborhoods,51,55,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,51,55,33,48,24,49,3,37,0,38,21,50,9,37,18,46,0,38,0,38,0,38,0,38,0,38,0,38,18,46,18,46,0,38,0,38,18,46,0,38
3,Greater Duwamish,81,61,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,81,61,69,59,18,50,0,45,18,50,0,45,51,54,12,49,0,45,0,45,0,45,0,45,0,45,0,45,12,49,12,49,0,45,0,45,12,49,0,45
4,Southeast,27,50,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,27,50,12,47,12,47,0,45,0,45,12,47,0,45,15,48,15,48,0,45,0,45,0,45,0,45,15,48,0,45,0,45,0,45,0,45,0,45,0,45
5,Central,23,37,13,36,0,34,0,34,0,34,0,34,0,34,0,34,13,36,0,34,0,34,0,34,0,34,0,34,0,34,13,36,13,36,13,36,0,34,0,34,0,34,10,35,10,35,0,34,0,34,0,34,0,34,10,35,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,151,86,92,76,0,47,0,47,0,47,0,47,0,47,0,47,92,76,49,60,49,60,49,60,0,47,0,47,0,47,43,63,20,53,0,47,20,53,0,47,23,58,59,60,38,59,0,47,0,47,0,47,0,47,38,59,21,46,0,47,0,47,0,47,0,47,0,47,0,47,21,46,13,46,12,47,0,47,1,45,8,47
7,Northeast,69,70,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,69,70,58,69,36,62,9,59,0,59,27,61,22,66,11,60,0,59,0,59,0,59,0,59,0,59,0,59,11,60,11,60,0,59,0,59,11,60,0,59
8,North,89,75,14,45,0,43,0,43,0,43,0,43,0,43,0,43,14,45,0,43,0,43,0,43,0,43,0,43,0,43,14,45,14,45,14,45,0,43,0,43,0,43,75,70,46,53,31,54,0,43,0,43,31,54,15,43,29,62,0,43,0,43,0,43,0,43,0,43,0,43,29,62,0,43,0,43,0,43,0,43,29,62
9,Northwest,121,81,25,65,0,54,0,54,0,54,0,54,0,54,0,54,25,65,0,54,0,54,0,54,0,54,0,54,0,54,25,65,0,54,0,54,0,54,0,54,25,65,96,72,50,62,17,58,0,54,17,58,0,54,33,58,46,63,5,53,0,54,0,54,0,54,0,54,5,53,41,64,0,54,0,54,0,54,0,54,41,64
10,Ballard,34,53,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,34,53,0,43,0,43,0,43,0,43,0,43,0,43,34,53,20,50,20,50,20,50,0,43,0,43,0,43,14,46,0,43,0,43,0,43,0,43,14,46
