area_id,area_name,b19037g001,b19037g001_moe,b19037g002,b19037g002_moe,b19037g003,b19037g003_moe,b19037g004,b19037g004_moe,b19037g005,b19037g005_moe,b19037g006,b19037g006_moe,b19037g007,b19037g007_moe,b19037g008,b19037g008_moe,b19037g009,b19037g009_moe,b19037g010,b19037g010_moe,b19037g011,b19037g011_moe,b19037g012,b19037g012_moe,b19037g013,b19037g013_moe,b19037g014,b19037g014_moe,b19037g015,b19037g015_moe,b19037g016,b19037g016_moe,b19037g017,b19037g017_moe,b19037g018,b19037g018_moe,b19037g019,b19037g019_moe,b19037g020,b19037g020_moe,b19037g021,b19037g021_moe,b19037g022,b19037g022_moe,b19037g023,b19037g023_moe,b19037g024,b19037g024_moe,b19037g025,b19037g025_moe,b19037g026,b19037g026_moe,b19037g027,b19037g027_moe,b19037g028,b19037g028_moe,b19037g029,b19037g029_moe,b19037g030,b19037g030_moe,b19037g031,b19037g031_moe,b19037g032,b19037g032_moe,b19037g033,b19037g033_moe,b19037g034,b19037g034_moe,b19037g035,b19037g035_moe,b19037g036,b19037g036_moe,b19037g037,b19037g037_moe,b19037g038,b19037g038_moe,b19037g039,b19037g039_moe,b19037g040,b19037g040_moe,b19037g041,b19037g041_moe,b19037g042,b19037g042_moe,b19037g043,b19037g043_moe,b19037g044,b19037g044_moe,b19037g045,b19037g045_moe,b19037g046,b19037g046_moe,b19037g047,b19037g047_moe,b19037g048,b19037g048_moe,b19037g049,b19037g049_moe,b19037g050,b19037g050_moe,b19037g051,b19037g051_moe,b19037g052,b19037g052_moe,b19037g053,b19037g053_moe,b19037g054,b19037g054_moe,b19037g055,b19037g055_moe,b19037g056,b19037g056_moe,b19037g057,b19037g057_moe,b19037g058,b19037g058_moe,b19037g059,b19037g059_moe,b19037g060,b19037g060_moe,b19037g061,b19037g061_moe,b19037g062,b19037g062_moe,b19037g063,b19037g063_moe,b19037g064,b19037g064_moe,b19037g065,b19037g065_moe,b19037g066,b19037g066_moe,b19037g067,b19037g067_moe,b19037g068,b19037g068_moe,b19037g069,b19037g069_moe
1,Southwest,582,163,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,331,127,0,48,0,48,0,48,11,48,0,48,14,51,0,48,17,54,22,57,47,71,31,56,49,59,40,62,19,54,53,66,28,50,205,100,0,48,0,48,0,48,0,48,0,48,0,48,43,64,38,61,0,48,29,48,0,48,0,48,20,55,11,49,0,48,64,68,46,57,0,48,0,48,0,48,0,48,22,56,0,48,0,48,11,49,0,48,0,48,0,48,0,48,0,48,3,46,0,48,10,48
2,Delridge Neighborhoods,663,182,82,71,20,44,13,41,0,38,0,38,0,38,0,38,0,38,0,38,0,38,15,43,0,38,0,38,34,60,0,38,0,38,0,38,366,144,0,38,59,77,39,54,13,41,0,38,11,40,0,38,32,60,0,38,0,38,70,68,84,73,19,41,23,48,16,45,0,38,178,102,39,55,0,38,0,38,0,38,46,77,15,44,0,38,7,38,0,38,24,51,38,47,0,38,0,38,0,38,0,38,9,39,37,47,0,38,15,43,0,38,0,38,0,38,0,38,0,38,8,38,0,38,0,38,0,38,14,42,0,38,0,38,0,38,0,38
3,Greater Duwamish,733,191,77,67,13,47,0,45,13,44,0,45,0,45,15,49,0,45,0,45,0,45,0,45,24,58,0,45,12,47,0,45,0,45,0,45,359,141,0,45,57,78,27,60,65,86,19,53,0,45,0,45,0,45,45,59,22,56,5,44,8,46,81,67,30,53,0,45,0,45,243,116,13,47,0,45,0,45,15,49,20,49,0,45,26,60,12,47,4,44,0,45,9,45,56,71,88,82,0,45,0,45,0,45,54,54,0,45,16,50,4,44,0,45,12,47,0,45,0,45,0,45,0,45,0,45,8,44,14,48,0,45,0,45,0,45,0,45
4,Southeast,801,208,14,43,6,43,0,45,0,45,8,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,425,157,24,47,68,95,0,45,0,45,0,45,0,45,0,45,13,47,0,45,91,94,15,49,35,51,46,50,66,68,19,47,48,60,257,118,17,50,50,70,0,45,0,45,27,49,0,45,55,76,0,45,0,45,0,45,14,47,73,70,12,46,9,45,0,45,0,45,105,70,0,45,0,45,24,56,9,46,0,45,0,45,14,47,0,45,7,45,34,52,0,45,17,49,0,45,0,45,0,45,0,45
5,Central,604,199,68,62,0,34,0,34,0,34,0,34,55,60,0,34,0,34,13,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,347,152,8,35,0,34,17,41,0,34,0,34,0,34,0,34,13,38,16,41,67,73,115,113,53,57,15,36,19,35,9,35,15,40,99,73,12,36,0,34,0,34,0,34,33,55,0,34,0,34,0,34,0,34,0,34,26,51,0,34,14,40,0,34,0,34,14,38,90,86,15,40,0,34,46,78,0,34,0,34,9,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,20,44
6,East,893,228,175,116,34,60,0,47,49,72,0,47,16,52,0,47,46,85,13,50,0,47,0,47,17,52,0,47,0,47,0,47,0,47,0,47,469,165,8,47,13,48,0,47,19,54,70,69,9,47,26,60,22,51,94,81,9,47,35,57,48,56,34,71,0,47,62,88,20,55,233,117,16,50,27,52,32,56,67,98,11,47,0,47,19,47,0,47,7,47,26,50,16,51,0,47,9,46,0,47,0,47,3,44,16,46,0,47,0,47,5,46,0,47,0,47,0,47,11,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,1128,234,408,162,89,76,15,63,33,62,14,60,13,61,83,103,0,59,15,63,14,62,59,93,50,85,23,67,0,59,0,59,0,59,0,59,521,164,60,79,0,59,25,63,0,59,16,62,63,73,16,62,17,59,12,61,25,62,18,60,104,94,51,82,12,61,41,75,61,75,141,75,24,60,0,59,0,59,12,59,0,59,0,59,0,59,0,59,0,59,0,59,25,61,17,60,31,64,5,58,17,62,10,60,58,70,0,59,0,59,11,60,13,60,0,59,0,59,34,68,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,585,169,33,55,0,43,0,43,0,43,0,43,15,47,0,43,0,43,18,52,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,405,153,47,53,0,43,11,43,0,43,0,43,9,44,6,43,38,52,56,88,38,51,63,81,29,52,67,79,28,57,0,43,13,46,101,55,0,43,0,43,0,43,16,48,17,45,8,42,0,43,0,43,0,43,0,43,7,43,16,41,30,45,0,43,7,43,0,43,46,50,16,48,0,43,0,43,0,43,0,43,0,43,0,43,14,47,4,42,0,43,0,43,12,44,0,43,0,43,0,43,0,43
9,Northwest,980,236,95,96,0,54,0,54,0,54,0,54,0,54,20,57,0,54,49,91,0,54,14,56,12,56,0,54,0,54,0,54,0,54,0,54,622,199,15,58,15,58,18,60,49,68,41,69,57,85,0,54,64,90,39,73,38,72,67,80,93,99,31,63,9,54,58,70,28,57,220,104,34,66,0,54,10,54,0,54,0,54,0,54,0,54,0,54,48,85,14,56,0,54,46,61,15,54,19,56,19,55,15,55,43,66,0,54,0,54,0,54,0,54,0,54,14,56,0,54,22,64,0,54,0,54,7,54,0,54,0,54,0,54,0,54,0,54
10,Ballard,616,212,36,50,0,43,0,43,0,43,0,43,5,42,0,43,0,43,0,43,0,43,15,47,0,43,0,43,16,47,0,43,0,43,0,43,463,200,0,43,18,49,0,43,0,43,18,49,139,153,0,43,99,98,17,50,26,58,42,61,16,49,21,45,43,55,9,44,15,47,103,65,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,15,47,18,50,43,52,0,43,0,43,16,48,0,43,11,43,14,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,45,0,43,0,43,0,43,0,43,0,43
