area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
1,Southwest,361,183,201,127,14,50,0,48,42,73,10,48,0,48,0,48,0,48,71,91,0,48,38,52,2,46,24,51,0,48,0,48,160,96,0,48,0,48,0,48,36,64,12,49,0,48,44,65,15,51,0,48,41,56,12,49,0,48,0,48,0,48
2,Delridge Neighborhoods,232,161,110,110,0,38,0,38,22,50,0,38,40,73,0,38,18,46,0,38,21,50,0,38,9,37,0,38,0,38,0,38,122,84,0,38,0,38,23,50,0,38,0,38,8,39,3,37,0,38,42,59,0,38,46,61,0,38,0,38,0,38
3,Greater Duwamish,464,245,216,132,0,45,16,50,34,55,49,69,0,45,0,45,0,45,18,49,42,60,40,52,17,48,0,45,0,45,0,45,248,142,46,62,0,45,14,49,18,54,0,45,1,43,54,80,0,45,19,49,37,52,23,48,13,47,23,49,0,45
4,Southeast,377,184,192,137,0,45,10,45,13,48,35,59,0,45,0,45,33,54,15,48,42,56,30,56,11,46,3,44,0,45,0,45,185,107,53,73,11,45,23,48,0,45,18,50,15,50,0,45,0,45,22,47,15,48,11,47,17,50,0,45,0,45
5,Central,170,111,59,54,0,34,0,34,0,34,0,34,0,34,13,39,0,34,15,40,4,33,23,44,4,33,0,34,0,34,0,34,111,102,42,73,0,34,0,34,0,34,0,34,32,38,0,34,9,36,28,51,0,34,0,34,0,34,0,34,0,34
6,East,772,262,427,158,0,47,22,57,0,47,1,45,60,87,0,47,0,47,123,92,32,54,61,83,97,77,31,50,0,47,0,47,345,159,51,71,0,47,0,47,0,47,17,52,49,61,24,52,46,71,110,89,1,45,47,77,0,47,0,47,0,47
7,Northeast,372,167,236,125,17,60,11,60,19,63,5,58,0,59,27,64,46,90,23,70,34,59,49,70,5,58,0,59,0,59,0,59,136,96,0,59,0,59,10,60,0,59,38,75,15,62,0,59,0,59,24,62,0,59,30,61,19,71,0,59,0,59
8,North,371,230,138,100,15,46,20,52,0,43,0,43,0,43,33,68,0,43,11,44,19,50,28,44,12,42,0,43,0,43,0,43,233,144,22,54,28,50,19,50,2,42,0,43,14,45,27,47,21,54,29,62,15,44,30,51,0,43,11,43,15,46
9,Northwest,595,237,295,166,42,67,17,58,33,63,0,54,0,54,12,56,22,60,54,64,58,71,16,57,30,56,11,52,0,54,0,54,300,141,0,54,0,54,0,54,0,54,0,54,0,54,12,56,38,67,78,89,60,77,67,71,33,65,12,54,0,54
10,Ballard,147,90,88,70,0,43,11,45,0,43,0,43,0,43,14,46,11,46,0,43,15,49,0,43,20,50,0,43,17,44,0,43,59,69,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,14,48,31,62,0,43,14,47,0,43
11,Lake Union,447,175,319,158,0,42,0,42,0,42,0,42,0,42,7,42,113,104,13,40,10,46,124,109,41,64,11,46,0,42,0,42,128,73,0,42,0,42,0,42,0,42,0,42,7,42,0,42,0,42,10,43,36,48,59,58,16,48,0,42,0,42
12,Magnolia/Queen Anne,444,193,180,106,0,51,45,65,0,51,0,51,0,51,15,55,16,56,23,60,22,52,45,63,5,49,0,51,9,51,0,51,264,133,0,51,0,51,14,54,11,52,0,51,51,74,0,51,48,71,72,80,1,50,0,51,54,78,13,53,0,51
13,Downtown,178,108,137,101,0,29,0,29,0,29,0,29,0,29,0,29,30,48,0,29,6,30,20,40,81,85,0,29,0,29,0,29,41,45,0,29,0,29,0,29,0,29,0,29,12,33,0,29,0,29,0,29,0,29,2,27,27,44,0,29,0,29
