area_id,area_name,c24060001,c24060001_moe,c24060002,c24060002_moe,c24060003,c24060003_moe,c24060004,c24060004_moe,c24060005,c24060005_moe,c24060006,c24060006_moe,c24060007,c24060007_moe,c24060008,c24060008_moe,c24060009,c24060009_moe,c24060010,c24060010_moe,c24060011,c24060011_moe,c24060012,c24060012_moe,c24060013,c24060013_moe,c24060014,c24060014_moe,c24060015,c24060015_moe,c24060016,c24060016_moe,c24060017,c24060017_moe,c24060018,c24060018_moe,c24060019,c24060019_moe,c24060020,c24060020_moe,c24060021,c24060021_moe,c24060022,c24060022_moe,c24060023,c24060023_moe,c24060024,c24060024_moe,c24060025,c24060025_moe,c24060026,c24060026_moe,c24060027,c24060027_moe,c24060028,c24060028_moe,c24060029,c24060029_moe,c24060030,c24060030_moe,c24060031,c24060031_moe,c24060032,c24060032_moe,c24060033,c24060033_moe,c24060034,c24060034_moe,c24060035,c24060035_moe,c24060036,c24060036_moe
1,Southwest,28313,837,16610,748,3155,426,5728,538,1252,254,1568,291,17366,770,8938,571,2045,352,4209,472,835,201,1339,280,1675,288,1244,238,154,117,223,113,35,60,19,54,3134,388,2451,353,263,110,328,121,30,54,62,68,4107,436,3011,372,350,119,539,169,110,74,97,65,2031,290,966,188,343,124,429,137,242,122,51,58
2,Delridge Neighborhoods,18869,694,7951,516,3438,488,4126,452,1325,267,2029,349,12950,721,4315,424,2699,428,3223,411,1049,251,1664,319,541,150,287,113,62,60,126,88,66,51,0,38,2030,313,1446,254,219,111,278,98,30,51,57,59,2341,349,1408,251,308,159,324,125,62,59,239,136,1007,212,495,145,150,77,175,96,118,76,69,79
3,Greater Duwamish,23627,1103,6951,599,6457,654,4735,510,1715,333,3769,490,16147,1010,3596,412,4708,602,3345,450,1256,293,3242,468,658,174,336,140,38,51,114,90,113,78,57,76,2171,350,1099,237,475,155,433,158,48,56,116,69,3558,447,1622,304,759,228,755,187,176,110,246,122,1093,244,298,117,477,172,88,69,122,87,108,75
4,Southeast,22555,932,9655,613,4768,563,4416,496,1412,374,2304,380,12522,829,4137,426,2790,433,3016,446,905,328,1674,354,770,191,502,156,80,58,108,69,21,47,59,66,3108,380,2077,303,402,167,479,161,54,63,96,72,4339,512,2025,326,1033,290,663,198,266,169,352,139,1816,346,914,249,463,157,150,83,166,103,123,100
5,Central,17432,741,10261,562,2340,362,3359,365,546,191,926,256,9237,667,4674,442,1393,293,2203,303,323,149,644,195,811,192,579,151,58,54,75,83,44,48,55,68,3125,452,2221,366,299,113,472,190,8,36,125,83,2754,350,1940,305,241,101,436,163,47,51,90,86,1505,265,847,182,349,149,173,94,124,88,12,35
6,East,32966,959,18779,869,5289,597,6941,721,703,243,1254,273,21813,960,10911,763,4033,538,5429,639,447,195,993,248,1050,247,679,196,84,68,231,134,31,59,25,50,4385,524,3431,471,470,189,393,135,24,53,67,71,3640,432,2601,363,277,112,581,200,78,76,103,74,2078,318,1157,221,425,159,307,124,123,99,66,70
7,Northeast,43146,1267,25369,858,6330,707,8984,687,1129,265,1334,278,23450,1154,10835,661,4295,613,6555,622,828,234,937,240,2135,344,1522,284,148,111,389,143,60,75,16,63,5713,524,4391,446,486,159,744,182,43,67,49,65,9192,647,7100,542,882,236,961,216,43,63,206,127,2656,357,1521,240,519,213,335,122,155,92,126,98
8,North,22844,895,11539,676,3556,480,5004,514,1274,373,1471,287,13445,814,5256,460,2125,335,3849,471,1082,366,1133,247,708,189,475,139,97,93,59,52,62,68,15,47,3019,339,1970,266,486,169,480,136,0,43,83,70,4239,400,3171,349,381,138,472,139,13,45,202,123,1433,306,667,177,467,185,144,82,117,75,38,48
9,Northwest,41559,1067,24176,981,5614,578,7639,597,1647,294,2483,377,24761,1013,12352,774,3980,484,5557,526,1009,234,1863,323,1851,302,1093,243,114,84,370,126,219,110,55,60,5355,497,4011,415,383,151,728,192,75,97,158,145,6631,584,5194,536,481,147,620,167,132,79,204,105,2961,385,1526,250,656,204,364,132,212,111,203,112
10,Ballard,27984,886,16184,768,3586,463,5705,584,1159,255,1350,267,17610,916,8622,602,2738,409,4408,489,889,219,953,232,1266,340,759,201,113,86,320,258,8,44,66,60,3186,405,2454,347,181,113,405,143,45,55,101,77,4073,428,3348,378,191,103,336,116,110,101,88,74,1849,282,1001,206,363,137,236,96,107,75,142,82
11,Lake Union,30548,1162,18781,871,3516,516,6049,612,928,262,1274,325,19004,1042,9981,695,2879,490,4653,565,628,190,863,289,990,239,671,174,62,72,174,101,43,53,40,53,3712,437,2771,387,224,102,558,154,81,103,78,96,4862,476,4088,434,115,76,423,130,41,59,195,117,1980,290,1270,216,236,93,241,126,135,93,98,83
12,Magnolia/Queen Anne,37219,1160,22607,943,4822,738,7383,656,987,271,1420,333,24168,1109,13140,807,3551,634,5681,582,715,262,1081,291,1929,290,1260,227,128,85,366,132,81,84,94,100,4705,499,3465,417,430,180,655,167,43,80,112,92,4038,451,3014,398,437,173,391,142,108,102,88,91,2379,336,1728,285,276,111,290,116,40,64,45,57
13,Downtown,9852,601,5990,515,1487,294,1571,281,122,78,682,176,7063,531,4129,435,1033,234,1328,264,59,52,514,147,470,202,383,190,16,35,58,55,0,29,13,35,759,216,433,156,141,98,75,55,24,46,86,88,966,234,629,192,197,109,96,53,0,29,44,47,594,190,416,159,100,96,14,33,39,50,25,36
