area_id,area_name,c23002b001,c23002b001_moe,c23002b002,c23002b002_moe,c23002b003,c23002b003_moe,c23002b004,c23002b004_moe,c23002b005,c23002b005_moe,c23002b006,c23002b006_moe,c23002b007,c23002b007_moe,c23002b008,c23002b008_moe,c23002b009,c23002b009_moe,c23002b010,c23002b010_moe,c23002b011,c23002b011_moe,c23002b012,c23002b012_moe,c23002b013,c23002b013_moe,c23002b014,c23002b014_moe,c23002b015,c23002b015_moe,c23002b016,c23002b016_moe,c23002b017,c23002b017_moe,c23002b018,c23002b018_moe,c23002b019,c23002b019_moe,c23002b020,c23002b020_moe,c23002b021,c23002b021_moe,c23002b022,c23002b022_moe,c23002b023,c23002b023_moe,c23002b024,c23002b024_moe,c23002b025,c23002b025_moe,c23002b026,c23002b026_moe,c23002b027,c23002b027_moe
1,Southwest,846,254,522,185,517,185,410,172,25,62,385,165,351,161,34,57,107,74,5,46,0,48,0,48,0,48,5,46,324,160,314,157,201,112,0,48,201,112,168,105,33,59,113,116,10,45,0,48,0,48,0,48,10,45
2,Delridge Neighborhoods,3226,483,1321,253,1213,246,973,214,0,38,973,214,775,188,198,119,240,120,108,65,14,42,14,42,0,38,94,62,1905,321,1759,319,1242,288,0,38,1242,288,1151,289,91,62,517,145,146,104,13,41,13,41,0,38,133,102
3,Greater Duwamish,5552,675,2641,432,2310,420,1653,375,14,49,1639,374,1342,337,297,141,657,233,331,136,58,60,58,60,0,45,273,131,2911,422,2517,409,1608,337,0,45,1608,337,1469,323,139,115,909,246,394,138,25,48,25,48,0,45,369,136
4,Southeast,9119,855,4486,571,3750,555,2657,466,0,45,2657,466,2247,442,410,194,1093,278,736,169,157,91,157,91,0,45,579,151,4633,558,3773,518,2842,453,11,47,2831,452,2477,418,354,172,931,248,860,197,28,48,28,48,0,45,832,196
5,Central,5448,662,2693,455,2291,440,1611,365,0,34,1611,365,1348,347,263,148,680,224,402,132,77,61,63,55,14,40,325,117,2755,443,1949,452,1351,339,0,34,1351,339,1032,234,319,201,598,222,806,168,140,71,140,71,0,34,666,159
6,East,3165,465,1891,331,1712,314,787,256,28,52,759,249,596,213,163,130,925,186,179,108,58,80,58,80,0,47,121,86,1274,283,1054,267,679,226,0,47,679,226,640,221,39,55,375,142,220,110,7,47,7,47,0,47,213,109
7,Northeast,1480,355,867,266,773,253,612,219,0,59,612,219,483,191,129,105,161,106,94,94,11,60,11,60,0,59,83,93,613,205,514,189,379,172,0,59,379,172,317,156,62,90,135,94,99,86,16,62,16,62,0,59,83,84
8,North,1594,393,945,294,838,282,564,225,0,43,564,225,477,193,87,79,274,152,107,85,20,50,0,43,20,50,87,80,649,215,644,215,497,196,0,43,497,196,475,185,22,47,147,96,5,39,0,43,0,43,0,43,5,39
9,Northwest,2287,479,1200,299,1161,295,891,246,30,70,861,244,822,240,39,62,270,148,39,62,0,54,0,54,0,54,39,62,1087,274,994,273,692,232,0,54,692,232,638,221,54,70,302,145,93,88,0,54,0,54,0,54,93,88
10,Ballard,280,147,138,104,124,103,108,89,18,49,90,86,71,79,19,52,16,49,14,46,0,43,0,43,0,43,14,46,142,108,142,108,105,92,0,43,105,92,105,92,0,43,37,56,0,43,0,43,0,43,0,43,0,43
11,Lake Union,1090,273,660,204,649,202,496,181,0,42,496,181,496,181,0,42,153,87,11,45,0,42,0,42,0,42,11,45,430,174,373,163,309,146,0,42,309,146,285,143,24,50,64,57,57,55,0,42,0,42,0,42,57,55
12,Magnolia/Queen Anne,1338,431,972,362,972,362,806,329,34,63,772,326,628,303,144,130,166,157,0,51,0,51,0,51,0,51,0,51,366,174,316,162,267,124,13,55,254,122,215,115,39,60,49,90,50,52,0,51,0,51,0,51,50,52
13,Downtown,1551,370,1228,345,1167,332,628,205,0,29,628,205,534,195,94,74,539,258,61,54,17,40,17,40,0,29,44,46,323,117,323,117,176,92,0,29,176,92,147,87,29,43,147,81,0,29,0,29,0,29,0,29,0,29
