area_id,area_name,b11002e001,b11002e001_moe,b11002e002,b11002e002_moe,b11002e003,b11002e003_moe,b11002e004,b11002e004_moe,b11002e005,b11002e005_moe,b11002e006,b11002e006_moe,b11002e007,b11002e007_moe,b11002e008,b11002e008_moe,b11002e009,b11002e009_moe,b11002e010,b11002e010_moe,b11002e011,b11002e011_moe,b11002e012,b11002e012_moe
1,Southwest,347,343,347,343,0,48,0,48,0,48,0,48,0,48,0,48,347,343,281,286,66,98,0,48
2,Delridge Neighborhoods,290,221,236,207,132,118,132,118,0,38,69,166,69,166,0,38,35,67,35,67,0,38,54,90
3,Greater Duwamish,492,324,482,323,389,287,389,287,0,45,0,45,0,45,0,45,93,155,93,155,0,45,10,47
4,Southeast,368,359,368,359,229,288,229,288,0,45,0,45,0,45,0,45,139,214,139,214,0,45,0,45
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,31,57,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,31,57
7,Northeast,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59
8,North,211,185,168,180,64,110,64,110,0,43,0,43,0,43,0,43,104,148,104,148,0,43,43,62
9,Northwest,275,181,212,165,104,116,104,116,0,54,0,54,0,54,0,54,108,129,66,90,42,70,63,102
10,Ballard,102,135,67,132,67,132,67,132,0,43,0,43,0,43,0,43,0,43,0,43,0,43,35,53
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
