area_id,area_name,b19001b001,b19001b001_moe,b19001b002,b19001b002_moe,b19001b003,b19001b003_moe,b19001b004,b19001b004_moe,b19001b005,b19001b005_moe,b19001b006,b19001b006_moe,b19001b007,b19001b007_moe,b19001b008,b19001b008_moe,b19001b009,b19001b009_moe,b19001b010,b19001b010_moe,b19001b011,b19001b011_moe,b19001b012,b19001b012_moe,b19001b013,b19001b013_moe,b19001b014,b19001b014_moe,b19001b015,b19001b015_moe,b19001b016,b19001b016_moe,b19001b017,b19001b017_moe
1,Southwest,481,200,75,88,79,107,95,104,42,67,0,48,0,48,43,81,0,48,0,48,14,51,59,69,13,50,49,70,12,51,0,48,0,48
2,Delridge Neighborhoods,1645,271,305,139,96,75,176,137,223,107,23,45,44,61,20,43,94,84,42,61,73,69,162,110,239,141,13,41,112,86,14,42,9,39
3,Greater Duwamish,2729,331,462,164,192,95,146,92,417,206,153,124,171,115,218,124,287,152,133,96,161,81,39,50,108,71,57,64,37,55,105,92,43,63
4,Southeast,4835,425,634,199,230,128,277,128,273,139,465,194,402,167,240,122,242,134,185,114,530,175,416,197,480,171,249,128,64,67,85,71,63,66
5,Central,2944,324,385,142,278,123,163,117,231,121,157,80,169,106,136,99,125,81,174,106,236,97,147,89,369,177,164,92,72,75,48,53,90,69
6,East,1758,326,324,135,219,128,169,132,158,127,183,126,103,84,47,62,111,81,60,64,109,75,139,106,32,58,65,67,9,47,0,47,30,48
7,Northeast,638,196,97,111,53,72,44,68,21,66,29,66,34,66,0,59,14,61,31,66,43,78,13,61,59,68,53,69,16,61,50,77,81,91
8,North,938,266,127,114,80,91,13,45,122,101,115,113,85,88,83,88,0,43,12,46,49,58,56,65,78,75,46,69,38,53,12,46,22,53
9,Northwest,1199,290,286,163,136,116,128,105,71,97,136,123,66,81,0,54,31,62,66,70,37,65,112,113,34,60,41,67,0,54,55,80,0,54
10,Ballard,193,112,14,46,17,49,0,43,22,53,0,43,47,80,18,49,0,43,16,48,3,42,0,43,17,48,39,71,0,43,0,43,0,43
11,Lake Union,672,214,138,96,98,97,87,106,40,70,44,54,18,49,18,49,44,48,0,42,0,42,15,45,81,103,18,50,0,42,51,63,20,51
12,Magnolia/Queen Anne,806,279,0,51,53,86,146,153,45,81,19,57,0,51,59,87,32,70,49,90,108,108,74,92,77,94,44,68,39,75,44,61,17,55
13,Downtown,1073,273,392,186,180,118,64,51,112,69,30,42,53,78,67,80,17,40,0,29,3,29,37,43,60,58,36,64,0,29,12,31,10,31
