area_id,area_name,b19101b001,b19101b001_moe,b19101b002,b19101b002_moe,b19101b003,b19101b003_moe,b19101b004,b19101b004_moe,b19101b005,b19101b005_moe,b19101b006,b19101b006_moe,b19101b007,b19101b007_moe,b19101b008,b19101b008_moe,b19101b009,b19101b009_moe,b19101b010,b19101b010_moe,b19101b011,b19101b011_moe,b19101b012,b19101b012_moe,b19101b013,b19101b013_moe,b19101b014,b19101b014_moe,b19101b015,b19101b015_moe,b19101b016,b19101b016_moe,b19101b017,b19101b017_moe
1,Southwest,78,84,0,48,0,48,41,62,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,25,62,12,51,0,48,0,48
2,Delridge Neighborhoods,1154,227,120,108,54,64,158,133,208,104,0,38,26,56,20,43,84,84,29,59,40,50,82,70,198,129,0,38,112,86,14,42,9,39
3,Greater Duwamish,1748,277,221,122,84,76,98,85,312,181,102,95,98,79,96,87,175,118,133,96,142,80,13,47,61,63,67,66,27,52,105,92,14,49
4,Southeast,2749,344,228,124,66,110,107,87,197,138,267,132,264,125,92,61,197,130,152,109,257,121,320,165,275,125,176,107,48,64,53,65,50,65
5,Central,1515,262,140,98,83,71,79,108,133,95,106,69,70,68,101,93,29,39,104,90,138,75,115,79,191,121,91,79,35,51,26,43,74,63
6,East,484,167,58,70,68,83,101,104,37,72,47,62,41,67,0,47,33,63,9,47,43,60,10,46,0,47,10,48,9,47,0,47,18,47
7,Northeast,239,116,0,59,37,69,20,64,0,59,0,59,0,59,0,59,0,59,31,66,34,78,0,59,13,61,15,59,16,61,50,77,23,63
8,North,350,128,48,74,11,46,0,43,60,69,28,50,0,43,33,67,0,43,12,46,29,51,13,46,18,49,40,70,24,47,12,46,22,53
9,Northwest,503,195,66,97,19,60,46,74,61,97,50,77,32,66,0,54,16,57,67,73,17,59,49,95,24,59,41,67,0,54,15,57,0,54
10,Ballard,145,106,0,43,0,43,0,43,22,53,0,43,47,80,18,49,0,43,16,48,3,42,0,43,0,43,39,71,0,43,0,43,0,43
11,Lake Union,176,107,0,42,11,45,39,73,40,70,16,45,0,42,18,49,0,42,0,42,0,42,0,42,0,42,0,42,0,42,32,53,20,51
12,Magnolia/Queen Anne,217,134,0,51,0,51,0,51,0,51,0,51,0,51,46,86,0,51,49,90,0,51,54,78,0,51,19,58,0,51,32,59,17,55
13,Downtown,140,100,27,44,31,55,0,29,0,29,0,29,7,30,67,80,0,29,0,29,3,29,5,28,0,29,0,29,0,29,0,29,0,29
