area_id,area_name,b19101d001,b19101d001_moe,b19101d002,b19101d002_moe,b19101d003,b19101d003_moe,b19101d004,b19101d004_moe,b19101d005,b19101d005_moe,b19101d006,b19101d006_moe,b19101d007,b19101d007_moe,b19101d008,b19101d008_moe,b19101d009,b19101d009_moe,b19101d010,b19101d010_moe,b19101d011,b19101d011_moe,b19101d012,b19101d012_moe,b19101d013,b19101d013_moe,b19101d014,b19101d014_moe,b19101d015,b19101d015_moe,b19101d016,b19101d016_moe,b19101d017,b19101d017_moe
1,Southwest,361,118,0,48,0,48,8,48,39,61,0,48,19,53,71,82,14,50,10,48,32,51,37,54,0,48,54,59,0,48,22,49,55,60
2,Delridge Neighborhoods,1326,208,96,101,74,65,9,39,14,42,56,61,42,54,40,53,40,47,85,82,140,82,201,94,138,70,88,63,116,75,76,64,111,69
3,Greater Duwamish,4558,329,98,79,247,118,60,64,129,78,92,70,158,100,267,115,300,122,331,134,584,174,662,184,665,159,258,102,385,156,269,128,53,48
4,Southeast,2520,236,215,113,49,55,98,74,167,91,102,81,194,102,67,63,40,47,139,85,192,91,190,84,460,152,271,120,143,78,127,75,66,57
5,Central,418,119,0,34,32,40,8,34,8,34,8,34,8,34,20,41,46,60,4,33,23,38,38,42,7,35,16,38,8,36,93,62,99,61
6,East,688,178,51,55,54,53,75,74,28,48,14,50,56,65,19,49,22,50,0,47,0,47,28,53,64,72,74,76,67,69,46,62,90,76
7,Northeast,1529,218,79,71,51,69,20,65,21,59,25,62,0,59,41,65,19,61,99,82,103,80,103,75,235,119,134,80,226,103,140,74,233,103
8,North,1278,209,73,58,54,50,155,101,34,47,34,50,57,77,99,84,41,49,95,84,52,52,57,53,150,92,146,81,63,57,64,54,104,57
9,Northwest,1478,220,76,80,111,89,32,62,0,54,21,65,83,70,83,97,42,60,29,57,109,89,140,81,185,85,222,103,85,67,158,103,102,68
10,Ballard,467,127,16,47,0,43,17,47,17,48,19,51,0,43,0,43,18,50,15,46,0,43,62,58,110,73,76,55,52,62,50,51,15,49
11,Lake Union,548,190,115,136,14,46,8,42,0,42,0,42,0,42,8,43,15,45,0,42,74,89,6,43,40,48,71,55,88,75,58,54,51,53
12,Magnolia/Queen Anne,711,182,16,55,17,55,0,51,12,52,0,51,0,51,78,94,13,52,74,100,51,70,103,102,32,59,72,65,54,60,106,75,83,62
13,Downtown,775,171,105,76,232,101,55,58,25,41,51,44,0,29,9,31,22,37,24,37,8,30,47,41,19,33,38,43,27,38,25,36,88,79
