area_id,area_name,b16004001,b16004001_moe,b16004002,b16004002_moe,b16004003,b16004003_moe,b16004004,b16004004_moe,b16004005,b16004005_moe,b16004006,b16004006_moe,b16004007,b16004007_moe,b16004008,b16004008_moe,b16004009,b16004009_moe,b16004010,b16004010_moe,b16004011,b16004011_moe,b16004012,b16004012_moe,b16004013,b16004013_moe,b16004014,b16004014_moe,b16004015,b16004015_moe,b16004016,b16004016_moe,b16004017,b16004017_moe,b16004018,b16004018_moe,b16004019,b16004019_moe,b16004020,b16004020_moe,b16004021,b16004021_moe,b16004022,b16004022_moe,b16004023,b16004023_moe,b16004024,b16004024_moe,b16004025,b16004025_moe,b16004026,b16004026_moe,b16004027,b16004027_moe,b16004028,b16004028_moe,b16004029,b16004029_moe,b16004030,b16004030_moe,b16004031,b16004031_moe,b16004032,b16004032_moe,b16004033,b16004033_moe,b16004034,b16004034_moe,b16004035,b16004035_moe,b16004036,b16004036_moe,b16004037,b16004037_moe,b16004038,b16004038_moe,b16004039,b16004039_moe,b16004040,b16004040_moe,b16004041,b16004041_moe,b16004042,b16004042_moe,b16004043,b16004043_moe,b16004044,b16004044_moe,b16004045,b16004045_moe,b16004046,b16004046_moe,b16004047,b16004047_moe,b16004048,b16004048_moe,b16004049,b16004049_moe,b16004050,b16004050_moe,b16004051,b16004051_moe,b16004052,b16004052_moe,b16004053,b16004053_moe,b16004054,b16004054_moe,b16004055,b16004055_moe,b16004056,b16004056_moe,b16004057,b16004057_moe,b16004058,b16004058_moe,b16004059,b16004059_moe,b16004060,b16004060_moe,b16004061,b16004061_moe,b16004062,b16004062_moe,b16004063,b16004063_moe,b16004064,b16004064_moe,b16004065,b16004065_moe,b16004066,b16004066_moe,b16004067,b16004067_moe
1,Southwest,46363,1013,6077,476,5364,477,209,132,156,121,41,68,12,49,0,48,264,137,196,121,0,48,0,48,68,86,187,124,119,106,68,80,0,48,0,48,53,61,53,61,0,48,0,48,0,48,33293,823,29683,882,1035,298,870,279,118,83,47,58,0,48,1308,323,1055,290,241,146,12,49,0,48,1100,257,830,222,187,89,76,84,7,48,167,112,155,110,0,48,5,46,7,47,6993,412,6172,380,79,63,15,46,18,53,28,53,18,54,498,197,308,142,165,131,25,48,0,48,212,99,74,68,79,76,31,50,28,44,32,56,32,56,0,48,0,48,0,48
2,Delridge Neighborhoods,31919,968,4573,495,2793,406,660,257,541,246,72,80,47,67,0,38,70,74,70,74,0,38,0,38,0,38,632,203,510,198,96,98,26,45,0,38,418,168,279,168,131,122,8,39,0,38,24177,828,16941,809,2296,563,897,289,604,187,466,245,329,230,532,234,359,150,135,107,38,55,0,38,3233,489,1706,375,940,239,458,153,129,100,1175,338,699,259,215,149,232,147,29,45,3169,278,2309,258,53,60,0,38,11,39,16,42,26,54,126,77,39,49,73,65,14,42,0,38,613,168,89,69,181,89,227,119,116,83,68,55,50,50,0,38,13,42,5,38
3,Greater Duwamish,43591,1593,7187,777,2414,425,758,277,595,244,123,100,15,51,25,59,14,49,14,49,0,45,0,45,0,45,2361,428,1632,328,443,155,239,108,47,71,1640,572,508,244,897,422,191,129,44,58,30838,1206,13809,869,2525,629,1002,286,442,185,781,356,300,158,406,151,342,136,57,58,7,44,0,45,11754,1008,4182,520,2878,414,3814,596,880,305,2344,493,760,284,900,314,559,227,125,102,5566,375,2065,296,176,114,99,96,25,59,41,63,11,49,168,112,120,94,38,60,10,49,0,45,3015,341,475,216,545,169,1357,254,638,174,142,102,23,48,24,54,65,86,30,52
4,Southeast,42970,1435,7074,742,4368,600,628,259,577,254,51,74,0,45,0,45,137,86,121,92,2,42,14,48,0,45,1377,403,853,308,332,153,192,111,0,45,564,304,349,247,137,159,78,91,0,45,30160,1048,18543,976,2073,545,957,310,282,163,692,340,142,130,629,230,379,149,191,127,42,54,17,50,6428,651,2904,426,1510,323,1720,355,294,154,2487,592,717,230,1135,382,575,282,60,81,5736,457,3857,396,110,74,103,70,7,49,0,45,0,45,156,77,87,60,22,47,31,53,16,50,1461,269,403,148,303,117,409,143,346,127,152,98,14,45,0,45,52,73,86,81
5,Central,27970,929,2787,399,2198,345,163,96,145,88,18,42,0,34,0,34,103,109,103,109,0,34,0,34,0,34,105,70,105,70,0,34,0,34,0,34,218,212,90,83,128,199,0,34,0,34,21554,788,17958,801,916,297,531,194,240,142,132,141,13,33,848,219,718,186,114,88,16,42,0,34,1286,302,929,259,188,110,162,71,7,35,546,244,199,107,202,129,134,105,11,36,3629,311,2842,288,106,69,88,62,0,34,18,38,0,34,54,61,37,46,0,34,0,34,17,42,611,180,107,65,88,67,206,83,210,101,16,42,0,34,16,42,0,34,0,34
6,East,49787,1164,2469,350,2154,332,51,87,48,86,0,47,3,45,0,47,101,76,47,56,10,48,44,66,0,47,112,79,57,67,33,57,22,53,0,47,51,58,35,53,16,51,0,47,0,47,41947,1107,34688,1124,1929,439,1302,296,441,302,118,78,68,87,2342,464,2087,427,191,122,64,57,0,47,2366,437,1328,303,716,263,270,122,52,77,622,269,293,185,184,127,145,125,0,47,5371,399,4304,349,28,48,20,48,8,47,0,47,0,47,484,191,283,141,105,115,89,73,7,46,430,165,102,72,145,88,110,109,73,59,125,83,46,61,18,52,41,64,20,53
7,Northeast,75669,1815,7909,456,6989,447,202,113,192,111,5,58,5,58,0,59,194,103,167,94,27,64,0,59,0,59,492,182,453,177,23,60,16,61,0,59,32,66,32,66,0,59,0,59,0,59,60315,1736,48231,1671,1891,375,1649,354,167,100,75,72,0,59,2846,434,2538,399,263,147,45,64,0,59,6861,863,4210,557,2036,374,585,242,30,64,486,199,349,173,45,67,65,73,27,65,7445,366,6243,367,92,92,86,94,5,58,0,59,1,56,573,184,291,109,131,88,133,125,18,64,511,162,189,116,135,87,116,84,71,74,26,68,26,68,0,59,0,59,0,59
8,North,37939,1028,4094,415,3102,350,330,148,93,83,68,87,106,91,63,75,209,134,172,126,22,46,15,44,0,43,317,128,196,104,78,66,43,54,0,43,136,113,102,94,34,74,0,43,0,43,28847,888,21569,817,1869,442,895,234,361,147,295,149,318,191,1063,269,773,195,165,97,42,58,83,88,3210,521,1688,372,1171,345,327,141,24,51,1136,374,399,209,598,252,123,111,16,49,4998,325,4002,333,62,100,62,100,0,43,0,43,0,43,254,118,88,63,31,53,118,95,17,49,625,171,167,100,105,60,338,138,15,43,55,64,30,52,0,43,25,58,0,43
9,Northwest,65998,1333,6536,546,5206,486,347,167,207,127,96,105,32,61,12,56,402,157,307,136,60,79,35,75,0,54,372,132,290,121,60,68,22,57,0,54,209,200,173,193,16,57,20,64,0,54,50951,1174,42251,1187,2210,478,1454,355,462,193,258,145,36,59,2102,405,1628,340,341,159,133,104,0,54,3422,472,2083,364,954,230,371,117,14,55,966,327,602,258,327,178,37,63,0,54,8511,461,6944,486,179,111,90,89,58,73,19,59,12,56,565,173,403,148,50,65,112,118,0,54,809,185,173,88,324,129,237,114,75,77,14,55,14,55,0,54,0,54,0,54
10,Ballard,41770,983,4483,438,4132,414,139,143,139,143,0,43,0,43,0,43,52,55,36,49,16,47,0,43,0,43,120,88,84,73,36,66,0,43,0,43,40,76,0,43,20,52,20,52,0,43,32760,844,28833,831,1252,351,901,264,177,155,126,122,48,68,1404,424,1156,393,203,110,45,52,0,43,1138,305,850,277,121,93,148,83,19,50,133,98,89,91,25,49,19,50,0,43,4527,286,3831,309,44,54,11,44,0,43,33,54,0,43,403,136,295,126,108,73,0,43,0,43,212,106,66,60,69,60,59,66,18,49,37,57,37,57,0,43,0,43,0,43
11,Lake Union,42697,1291,2230,270,1942,272,82,69,65,65,0,42,17,48,0,42,95,74,95,74,0,42,0,42,0,42,65,67,28,47,37,62,0,42,0,42,46,73,46,73,0,42,0,42,0,42,37414,1242,32128,1229,1148,263,966,245,152,91,13,45,17,48,1743,336,1596,312,113,100,34,59,0,42,2135,378,1400,297,541,202,194,118,0,42,260,144,216,140,30,51,9,43,5,41,3053,297,2656,281,21,48,21,48,0,42,0,42,0,42,126,68,85,59,0,42,21,45,20,49,232,107,39,63,27,44,83,66,83,84,18,49,0,42,0,42,0,42,18,49
12,Magnolia/Queen Anne,56755,1346,5220,474,4605,479,127,83,91,79,26,54,10,51,0,51,360,173,344,168,16,54,0,51,0,51,94,93,46,60,0,51,48,76,0,51,34,59,17,55,17,56,0,51,0,51,44859,1222,39098,1211,1414,367,1098,320,249,137,30,53,37,98,2212,333,1973,317,194,128,34,56,11,54,1701,373,1266,316,272,118,163,104,0,51,434,269,259,145,84,96,48,72,43,77,6676,377,5847,366,68,76,55,73,13,55,0,51,0,51,356,136,213,89,80,88,31,59,32,60,405,210,222,193,67,70,116,100,0,51,0,51,0,51,0,51,0,51,0,51
13,Downtown,16872,820,489,251,102,71,0,29,0,29,0,29,0,29,0,29,21,41,10,31,11,31,0,29,0,29,179,153,108,75,71,101,0,29,0,29,187,215,139,163,19,37,29,52,0,29,13842,717,10475,624,441,180,302,151,75,77,64,79,0,29,910,238,777,213,77,63,46,49,10,31,1634,357,559,178,454,258,353,112,268,105,382,232,148,146,165,149,69,68,0,29,2541,315,1462,264,30,53,30,53,0,29,0,29,0,29,89,74,89,74,0,29,0,29,0,29,943,189,56,53,137,95,272,103,478,123,17,38,17,38,0,29,0,29,0,29
