area_id,area_name,b01001f001,b01001f001_moe,b01001f002,b01001f002_moe,b01001f003,b01001f003_moe,b01001f004,b01001f004_moe,b01001f005,b01001f005_moe,b01001f006,b01001f006_moe,b01001f007,b01001f007_moe,b01001f008,b01001f008_moe,b01001f009,b01001f009_moe,b01001f010,b01001f010_moe,b01001f011,b01001f011_moe,b01001f012,b01001f012_moe,b01001f013,b01001f013_moe,b01001f014,b01001f014_moe,b01001f015,b01001f015_moe,b01001f016,b01001f016_moe,b01001f017,b01001f017_moe,b01001f018,b01001f018_moe,b01001f019,b01001f019_moe,b01001f020,b01001f020_moe,b01001f021,b01001f021_moe,b01001f022,b01001f022_moe,b01001f023,b01001f023_moe,b01001f024,b01001f024_moe,b01001f025,b01001f025_moe,b01001f026,b01001f026_moe,b01001f027,b01001f027_moe,b01001f028,b01001f028_moe,b01001f029,b01001f029_moe,b01001f030,b01001f030_moe,b01001f031,b01001f031_moe
1,Southwest,334,200,157,100,0,48,0,48,12,48,12,48,7,48,22,52,5,46,0,48,29,52,17,52,53,73,0,48,0,48,0,48,177,149,14,50,0,48,54,76,0,48,0,48,15,51,0,48,59,98,2,47,33,52,0,48,0,48,0,48,0,48
2,Delridge Neighborhoods,992,449,675,356,109,121,82,83,10,39,21,48,0,38,84,102,58,94,66,70,93,100,124,112,28,48,0,38,0,38,0,38,317,155,25,47,11,41,21,42,0,38,0,38,0,38,35,60,45,64,32,51,91,97,23,46,34,54,0,38,0,38
3,Greater Duwamish,826,452,527,320,19,52,39,68,14,50,0,45,0,45,55,82,40,60,95,113,141,101,66,64,25,73,33,59,0,45,0,45,299,201,47,58,38,57,47,63,8,45,16,48,7,49,49,61,22,58,32,53,14,49,10,47,9,54,0,45,0,45
4,Southeast,807,558,505,444,14,48,91,94,95,145,49,84,0,45,67,87,16,49,36,71,11,47,63,84,46,59,0,45,17,46,0,45,302,195,0,45,0,45,94,117,0,45,0,45,14,48,18,50,13,48,6,47,91,93,17,50,31,60,18,47,0,45
5,Central,335,170,181,114,25,45,0,34,0,34,12,38,0,34,0,34,16,41,13,39,86,83,29,42,0,34,0,34,0,34,0,34,154,83,35,48,0,34,0,34,0,34,0,34,14,39,34,41,15,40,36,53,20,36,0,34,0,34,0,34,0,34
6,East,654,195,433,160,0,47,0,47,11,47,6,47,28,54,103,73,77,78,71,66,60,73,77,96,0,47,0,47,0,47,0,47,221,115,0,47,12,48,0,47,0,47,22,50,26,53,51,65,30,66,8,47,18,47,54,84,0,47,0,47,0,47
7,Northeast,847,324,377,174,0,59,45,69,11,59,0,59,89,93,94,104,0,59,18,61,57,71,53,99,10,60,0,59,0,59,0,59,470,272,16,63,24,62,0,59,0,59,165,110,133,182,26,62,9,60,83,96,14,58,0,59,0,59,0,59,0,59
8,North,1209,444,816,351,16,49,0,43,41,52,94,78,52,80,17,48,237,185,77,76,167,110,85,84,10,44,0,43,20,46,0,43,393,185,32,61,0,43,28,49,0,43,6,44,35,63,37,49,30,59,187,113,28,49,10,45,0,43,0,43,0,43
9,Northwest,1273,396,688,259,0,54,61,81,0,54,14,58,18,66,44,66,84,104,232,151,149,97,62,112,4,53,20,59,0,54,0,54,585,196,0,54,15,58,21,57,6,54,28,59,45,74,122,98,110,91,117,82,17,57,32,61,35,63,18,59,19,59
10,Ballard,368,202,132,91,0,43,0,43,0,43,0,43,0,43,9,43,45,66,0,43,53,71,11,45,14,45,0,43,0,43,0,43,236,135,29,61,0,43,0,43,0,43,0,43,0,43,29,51,23,47,123,100,0,43,13,45,19,49,0,43,0,43
11,Lake Union,569,259,373,228,66,93,0,42,0,42,0,42,57,89,47,55,58,103,17,44,116,108,0,42,0,42,12,43,0,42,0,42,196,116,0,42,0,42,0,42,0,42,0,42,52,71,55,75,34,56,13,45,0,42,0,42,32,64,10,43,0,42
12,Magnolia/Queen Anne,637,220,295,153,47,87,0,51,29,57,16,55,5,50,58,67,32,62,14,54,37,98,28,56,29,63,0,51,0,51,0,51,342,140,0,51,0,51,19,57,32,72,37,61,41,69,125,96,47,71,0,51,31,64,10,51,0,51,0,51,0,51
13,Downtown,393,163,178,108,0,29,0,29,0,29,0,29,58,73,50,57,9,31,0,29,36,43,25,43,0,29,0,29,0,29,0,29,215,133,0,29,0,29,0,29,0,29,11,29,0,29,6,29,85,94,51,68,0,29,62,73,0,29,0,29,0,29
