area_id,area_name,b14007i001,b14007i001_moe,b14007i002,b14007i002_moe,b14007i003,b14007i003_moe,b14007i004,b14007i004_moe,b14007i005,b14007i005_moe,b14007i006,b14007i006_moe,b14007i007,b14007i007_moe,b14007i008,b14007i008_moe,b14007i009,b14007i009_moe,b14007i010,b14007i010_moe,b14007i011,b14007i011_moe,b14007i012,b14007i012_moe,b14007i013,b14007i013_moe,b14007i014,b14007i014_moe,b14007i015,b14007i015_moe,b14007i016,b14007i016_moe,b14007i017,b14007i017_moe,b14007i018,b14007i018_moe,b14007i019,b14007i019_moe
1,Southwest,2070,512,640,242,44,61,0,48,112,112,0,48,15,51,46,53,23,50,52,65,57,84,41,58,0,48,34,56,0,48,12,48,173,121,31,56,1430,374
2,Delridge Neighborhoods,4278,748,1318,351,68,69,105,74,135,83,51,58,63,70,0,38,22,43,81,88,35,52,66,62,52,56,79,84,114,99,159,140,251,107,37,52,2960,540
3,Greater Duwamish,4328,843,1240,331,53,73,91,87,114,95,123,90,60,68,89,79,74,89,90,80,144,104,85,92,64,66,34,54,69,79,7,44,131,80,12,48,3088,718
4,Southeast,3488,788,1074,339,37,56,54,65,84,75,52,75,38,63,53,91,64,74,26,61,118,118,107,101,43,65,50,82,59,76,31,65,232,163,26,50,2414,561
5,Central,1567,389,454,169,99,88,29,44,116,77,0,34,0,34,19,42,0,34,15,37,9,34,11,37,11,37,0,34,12,38,22,40,75,53,36,47,1113,291
6,East,3133,514,839,230,0,47,0,47,14,56,17,47,0,47,9,47,11,47,28,54,17,51,21,48,35,69,22,51,0,47,49,67,502,174,114,85,2294,433
7,Northeast,2692,456,1634,365,86,75,37,64,41,67,45,68,10,59,83,71,17,61,0,59,30,72,36,61,0,59,27,62,26,65,16,62,1003,301,177,115,1058,235
8,North,2792,575,746,238,55,60,66,78,0,43,39,52,11,44,73,85,31,50,23,48,33,48,14,45,28,52,16,46,25,53,61,80,239,166,32,50,2046,448
9,Northwest,4086,740,1177,316,69,88,84,75,33,60,66,89,45,61,44,60,59,80,32,57,53,69,60,66,18,58,22,56,0,54,119,86,294,148,179,107,2909,571
10,Ballard,2077,470,584,221,39,62,21,45,18,49,29,49,26,48,14,46,7,43,40,49,0,43,41,77,0,43,42,79,34,55,33,56,159,109,81,77,1493,356
11,Lake Union,2088,369,551,180,40,53,25,47,13,41,11,41,8,42,0,42,3,41,26,47,0,42,11,43,20,50,64,100,0,42,31,51,176,99,123,77,1537,315
12,Magnolia/Queen Anne,2528,496,606,188,21,53,57,79,36,57,0,51,13,52,34,60,35,60,0,51,0,51,14,53,55,76,0,51,0,51,27,56,189,98,125,94,1922,424
13,Downtown,743,244,213,157,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,213,157,0,29,530,181
