area_id,area_name,b17007001,b17007001_moe,b17007002,b17007002_moe,b17007003,b17007003_moe,b17007004,b17007004_moe,b17007005,b17007005_moe,b17007006,b17007006_moe,b17007007,b17007007_moe,b17007008,b17007008_moe,b17007009,b17007009_moe,b17007010,b17007010_moe,b17007011,b17007011_moe,b17007012,b17007012_moe,b17007013,b17007013_moe,b17007014,b17007014_moe,b17007015,b17007015_moe,b17007016,b17007016_moe,b17007017,b17007017_moe,b17007018,b17007018_moe,b17007019,b17007019_moe,b17007020,b17007020_moe,b17007021,b17007021_moe,b17007022,b17007022_moe,b17007023,b17007023_moe,b17007024,b17007024_moe,b17007025,b17007025_moe,b17007026,b17007026_moe,b17007027,b17007027_moe,b17007028,b17007028_moe,b17007029,b17007029_moe,b17007030,b17007030_moe,b17007031,b17007031_moe,b17007032,b17007032_moe,b17007033,b17007033_moe,b17007034,b17007034_moe,b17007035,b17007035_moe,b17007036,b17007036_moe,b17007037,b17007037_moe,b17007038,b17007038_moe,b17007039,b17007039_moe,b17007040,b17007040_moe,b17007041,b17007041_moe,b17007042,b17007042_moe,b17007043,b17007043_moe
1,Southwest,16093,898,2173,385,993,274,0,48,56,80,70,59,278,141,90,78,320,157,148,105,0,48,31,55,1180,270,8,47,53,62,234,119,323,169,76,64,129,70,172,120,72,61,113,73,13920,803,6409,563,0,48,23,58,160,91,1682,345,1287,267,1325,233,954,195,593,156,385,133,7511,543,0,48,0,48,281,177,1496,293,1270,241,963,198,1467,240,990,200,1044,188
2,Delridge Neighborhoods,10139,740,2281,423,1167,288,0,38,32,60,206,146,181,112,248,124,146,97,178,86,90,59,86,85,1114,280,0,38,0,38,166,108,275,175,133,99,106,68,152,80,203,129,79,61,7858,595,4107,468,0,38,0,38,282,170,1345,296,1004,258,695,167,502,167,161,85,118,63,3751,370,0,38,0,38,89,60,997,222,747,204,568,154,584,148,381,119,385,114
3,Greater Duwamish,10666,889,3118,447,1801,365,0,45,0,45,232,125,296,167,226,130,434,168,313,214,115,84,185,102,1317,292,0,45,22,47,102,65,318,176,110,85,216,101,107,85,141,73,301,143,7548,688,4613,587,0,45,0,45,371,151,1302,331,959,243,1052,297,450,147,264,121,215,92,2935,353,0,45,0,45,262,127,665,179,521,175,324,121,377,134,334,127,452,132
4,Southeast,10621,841,2728,460,1200,269,0,45,16,50,25,50,167,107,375,200,196,111,255,127,70,64,96,63,1528,347,0,45,0,45,103,89,383,198,210,129,174,92,255,124,212,105,191,116,7893,679,3796,514,0,45,0,45,66,66,662,268,910,266,857,230,839,191,229,95,233,99,4097,459,0,45,0,45,133,108,559,176,983,224,760,231,842,180,524,150,296,107
5,Central,12524,813,2377,387,915,276,0,34,0,34,283,198,134,85,102,96,156,93,109,63,111,87,20,39,1462,264,0,34,0,34,395,150,344,145,107,70,76,54,102,60,130,76,308,94,10147,744,5275,578,0,34,0,34,360,153,1686,369,1137,242,1115,242,438,140,351,117,188,100,4872,458,0,34,0,34,442,172,1609,295,889,219,490,147,646,165,446,176,350,122
6,East,30208,1073,5986,614,2880,402,0,47,0,47,821,223,613,199,309,146,490,184,370,138,135,83,142,94,3106,430,0,47,0,47,1195,255,616,175,167,111,481,214,246,107,196,110,205,97,24222,963,13155,807,0,47,0,47,995,243,5582,669,2894,463,1798,288,1139,244,457,145,290,99,11067,718,0,47,0,47,1306,266,4766,560,1587,294,738,188,996,251,798,208,876,184
7,Northeast,28018,1608,10260,1098,4891,729,0,59,1,57,3310,673,743,218,180,99,280,156,214,102,98,94,65,73,5369,780,0,59,56,69,3978,710,663,199,113,101,141,87,89,71,120,83,209,249,17758,1007,8830,746,0,59,0,59,2095,508,3071,478,1098,242,1043,215,813,165,361,110,349,128,8928,676,0,59,0,59,1441,382,2730,381,956,217,938,182,1116,196,796,174,951,168
8,North,14000,769,3075,435,1598,332,0,43,7,44,411,208,369,172,171,91,204,107,350,147,0,43,86,71,1477,289,15,47,0,43,333,149,286,112,125,111,221,117,191,108,83,66,223,123,10925,671,5625,518,0,43,0,43,579,200,1890,349,1039,231,818,198,629,144,361,141,309,128,5300,460,0,43,0,43,468,182,1232,256,761,193,595,165,944,177,429,126,871,184
9,Northwest,26529,1247,5144,759,2235,472,0,54,22,57,563,221,476,189,142,87,451,176,390,162,88,68,103,79,2909,469,0,54,27,65,658,212,511,173,269,136,397,161,371,155,250,147,426,187,21385,1017,10314,728,0,54,0,54,1028,287,3882,517,1881,304,1301,231,1138,225,584,173,500,143,11071,691,0,54,0,54,1209,330,3620,483,1384,247,1232,248,1456,221,735,194,1435,237
10,Ballard,15729,924,2003,355,923,228,0,43,0,43,108,89,317,144,114,70,131,87,122,74,79,65,52,55,1080,252,0,43,0,43,170,90,283,148,101,77,136,84,116,75,69,60,205,133,13726,889,6788,595,0,43,0,43,533,212,2636,433,1156,233,936,209,875,215,371,144,281,96,6938,588,0,43,0,43,725,313,2174,356,1018,235,976,236,1003,194,477,128,565,135
