area_id,area_name,b13002e001,b13002e001_moe,b13002e002,b13002e002_moe,b13002e003,b13002e003_moe,b13002e004,b13002e004_moe,b13002e005,b13002e005_moe,b13002e006,b13002e006_moe,b13002e007,b13002e007_moe
1,Southwest,109,116,0,48,0,48,0,48,109,116,0,48,109,116
2,Delridge Neighborhoods,50,54,0,38,0,38,0,38,50,54,21,44,29,48
3,Greater Duwamish,102,92,0,45,0,45,0,45,102,92,56,70,46,67
4,Southeast,98,129,13,53,13,53,0,45,85,126,8,46,77,126
5,Central,0,34,0,34,0,34,0,34,0,34,0,34,0,34
6,East,0,47,0,47,0,47,0,47,0,47,0,47,0,47
7,Northeast,61,75,0,59,0,59,0,59,61,75,0,59,61,75
8,North,110,94,0,43,0,43,0,43,110,94,48,71,62,76
9,Northwest,119,108,0,54,0,54,0,54,119,108,20,55,99,109
10,Ballard,54,72,0,43,0,43,0,43,54,72,14,45,40,72
11,Lake Union,0,42,0,42,0,42,0,42,0,42,0,42,0,42
12,Magnolia/Queen Anne,6,49,0,51,0,51,0,51,6,49,0,51,6,49
13,Downtown,0,29,0,29,0,29,0,29,0,29,0,29,0,29
