area_id,area_name,b01001h001,b01001h001_moe,b01001h002,b01001h002_moe,b01001h003,b01001h003_moe,b01001h004,b01001h004_moe,b01001h005,b01001h005_moe,b01001h006,b01001h006_moe,b01001h007,b01001h007_moe,b01001h008,b01001h008_moe,b01001h009,b01001h009_moe,b01001h010,b01001h010_moe,b01001h011,b01001h011_moe,b01001h012,b01001h012_moe,b01001h013,b01001h013_moe,b01001h014,b01001h014_moe,b01001h015,b01001h015_moe,b01001h016,b01001h016_moe,b01001h017,b01001h017_moe,b01001h018,b01001h018_moe,b01001h019,b01001h019_moe,b01001h020,b01001h020_moe,b01001h021,b01001h021_moe,b01001h022,b01001h022_moe,b01001h023,b01001h023_moe,b01001h024,b01001h024_moe,b01001h025,b01001h025_moe,b01001h026,b01001h026_moe,b01001h027,b01001h027_moe,b01001h028,b01001h028_moe,b01001h029,b01001h029_moe,b01001h030,b01001h030_moe,b01001h031,b01001h031_moe
1,Southwest,41446,1088,19361,734,1029,220,659,169,760,193,609,170,92,62,424,126,1490,362,1607,274,3526,339,3730,330,2785,289,1510,230,729,148,411,138,22085,782,1133,276,1373,247,758,174,369,121,225,93,565,218,1414,256,1818,304,3577,324,3376,329,3613,348,1791,240,1135,187,938,206
2,Delridge Neighborhoods,17680,886,8841,584,431,140,264,110,168,81,279,123,115,78,316,205,822,219,1032,225,2097,286,1460,231,1029,205,520,137,277,110,31,44,8839,558,375,123,286,138,217,90,147,93,86,64,303,133,1036,235,902,191,1765,242,1339,201,1166,236,629,141,357,111,231,87
3,Greater Duwamish,10871,784,5938,521,280,132,79,58,82,89,38,56,15,43,480,210,713,189,802,189,1141,198,1159,216,744,190,202,92,157,77,46,58,4933,472,277,130,128,73,118,84,81,83,27,45,245,95,690,178,619,156,957,208,581,148,543,157,235,96,248,110,184,93
4,Southeast,16582,886,7640,516,605,171,387,128,311,105,67,62,75,63,111,70,309,128,537,160,1607,250,1511,251,1187,209,525,135,229,93,179,82,8942,571,456,141,466,137,386,112,197,107,89,70,331,142,432,170,883,213,1732,253,1402,228,1394,222,490,137,349,113,335,134
5,Central,16732,810,8074,490,542,175,237,97,169,90,34,47,92,57,479,193,998,225,792,187,1680,231,1283,218,970,195,569,132,105,59,124,81,8658,587,492,160,269,134,132,60,116,69,71,83,719,190,1175,219,1061,220,1654,255,927,165,1191,193,486,166,236,101,129,84
6,East,37100,1238,18960,904,352,119,337,114,240,103,192,88,277,120,1531,332,3383,472,2874,534,3776,449,2498,315,1765,266,997,193,486,122,252,92,18140,864,470,159,367,104,256,100,118,67,746,257,2134,327,3626,453,2225,335,2305,342,1692,273,1624,265,1252,217,794,191,531,127
7,Northeast,59631,1689,29353,1213,1265,233,1378,223,952,182,596,152,2047,424,4915,940,2848,464,1800,266,3891,335,3435,311,3492,283,1675,200,739,155,320,112,30278,1067,1344,222,1172,186,1023,176,720,166,2376,391,4893,730,2557,375,1715,238,3470,281,3764,311,3474,291,1878,215,1249,201,643,256
8,North,26868,971,13277,639,562,166,511,154,496,160,309,101,128,77,933,258,1241,238,1414,257,2027,276,2075,264,2050,235,672,161,575,155,284,109,13591,625,745,203,553,133,309,99,257,111,140,74,695,203,1151,244,1218,222,2004,257,1880,236,2147,238,910,171,838,157,744,179
9,Northwest,52025,1351,25513,937,1375,243,796,176,865,204,417,145,234,101,1451,343,2789,399,3187,390,4599,379,3784,334,3203,335,1277,221,1011,195,525,143,26512,886,1246,264,1051,212,691,158,299,107,143,94,1646,402,3150,413,2356,313,4303,353,3622,362,3650,327,1653,277,1381,224,1321,214
10,Ballard,37721,971,19107,706,1171,224,699,175,707,181,318,132,189,136,943,251,2263,380,2224,334,3278,317,2809,301,2752,301,982,197,599,129,173,81,18614,704,941,208,769,168,506,154,446,140,145,88,993,314,1979,310,1660,263,3047,297,2854,305,2845,272,1163,178,879,183,387,137
11,Lake Union,33800,1212,17837,862,675,152,473,124,211,93,88,60,290,153,1915,507,3415,458,2331,338,3447,373,2114,260,1539,246,912,175,270,87,157,120,15963,872,450,144,456,118,267,113,90,65,283,180,1924,429,3128,418,2243,306,2795,320,1440,241,1675,218,505,113,428,123,279,106
12,Magnolia/Queen Anne,48398,1378,23561,1011,1149,235,982,219,718,171,368,133,470,133,1900,579,2433,377,2618,355,4101,395,3393,321,2839,300,1436,237,797,175,357,123,24837,1022,1077,233,795,210,928,243,284,120,826,243,2171,650,2916,392,2289,337,3800,368,2988,304,3337,317,1581,219,1122,202,723,161
13,Downtown,10219,627,6213,499,196,60,0,29,0,29,0,29,26,46,448,210,1047,285,610,165,1031,246,1088,219,1051,233,475,138,171,97,70,80,4006,408,5,29,0,29,14,33,6,29,23,35,423,175,726,188,302,128,717,175,739,171,397,141,483,147,133,75,38,62
