area_id,area_name,b23022001,b23022001_moe,b23022002,b23022002_moe,b23022003,b23022003_moe,b23022004,b23022004_moe,b23022005,b23022005_moe,b23022006,b23022006_moe,b23022007,b23022007_moe,b23022008,b23022008_moe,b23022009,b23022009_moe,b23022010,b23022010_moe,b23022011,b23022011_moe,b23022012,b23022012_moe,b23022013,b23022013_moe,b23022014,b23022014_moe,b23022015,b23022015_moe,b23022016,b23022016_moe,b23022017,b23022017_moe,b23022018,b23022018_moe,b23022019,b23022019_moe,b23022020,b23022020_moe,b23022021,b23022021_moe,b23022022,b23022022_moe,b23022023,b23022023_moe,b23022024,b23022024_moe,b23022025,b23022025_moe,b23022026,b23022026_moe,b23022027,b23022027_moe,b23022028,b23022028_moe,b23022029,b23022029_moe,b23022030,b23022030_moe,b23022031,b23022031_moe,b23022032,b23022032_moe,b23022033,b23022033_moe,b23022034,b23022034_moe,b23022035,b23022035_moe,b23022036,b23022036_moe,b23022037,b23022037_moe,b23022038,b23022038_moe,b23022039,b23022039_moe,b23022040,b23022040_moe,b23022041,b23022041_moe,b23022042,b23022042_moe,b23022043,b23022043_moe,b23022044,b23022044_moe,b23022045,b23022045_moe,b23022046,b23022046_moe,b23022047,b23022047_moe,b23022048,b23022048_moe,b23022049,b23022049_moe
1,Southwest,34116,843,16328,614,14178,563,12249,529,10505,528,220,109,498,154,572,163,247,122,207,93,1547,251,601,149,44,55,306,119,230,120,59,59,307,121,382,142,126,107,0,48,0,48,62,64,47,57,147,77,2150,312,17788,595,15017,566,10827,545,9055,513,200,88,352,120,457,154,481,167,282,106,3405,389,1915,286,177,94,433,137,480,156,191,93,209,94,785,168,100,70,0,48,84,71,114,78,69,61,418,135,2771,365
2,Delridge Neighborhoods,25096,844,12562,614,10537,552,8649,534,7065,482,148,75,388,158,395,167,389,134,264,131,1627,276,698,187,7,38,86,61,218,125,273,131,345,133,261,109,84,77,0,38,0,38,19,45,68,57,90,70,2025,343,12534,592,9934,498,6961,468,5634,433,239,114,308,135,436,174,227,138,117,59,2355,310,1309,241,73,57,225,104,284,129,235,107,229,104,618,176,178,106,18,45,73,70,36,45,71,56,242,108,2600,421
3,Greater Duwamish,31687,1249,16808,934,14002,856,11241,752,9057,642,89,82,552,208,775,221,316,139,452,171,2394,384,1030,235,57,59,183,123,422,219,313,127,389,145,367,143,60,54,0,45,87,89,11,46,47,61,162,95,2806,425,14879,691,11463,620,7922,558,6356,517,219,118,494,162,370,138,104,66,379,149,2606,369,1596,288,62,75,168,103,369,141,164,103,247,126,935,239,316,153,46,71,64,64,94,94,115,89,300,124,3416,397
4,Southeast,31126,1069,15061,810,11869,720,9791,674,7934,628,174,89,534,176,611,235,337,180,201,104,1762,317,814,220,36,55,180,92,143,88,267,138,322,157,316,109,30,49,14,48,82,65,89,74,21,46,80,62,3192,440,16065,665,12118,612,8655,536,7053,520,141,114,636,209,264,110,334,125,227,106,2934,386,1596,282,115,103,389,153,252,111,272,107,310,157,529,168,118,80,6,45,39,50,49,52,107,78,210,117,3947,486
5,Central,21977,798,10722,642,9186,587,7796,537,6573,527,157,79,380,165,353,145,189,107,144,134,1017,234,605,184,63,58,71,51,80,69,118,73,80,77,373,147,102,82,0,34,0,34,65,65,35,50,171,102,1536,305,11255,598,9055,516,6411,459,5276,409,167,100,416,140,300,137,143,67,109,68,2252,341,1191,261,146,110,323,115,241,101,223,103,128,67,392,132,108,63,0,34,23,40,70,58,52,54,139,76,2200,404
6,East,42297,1111,22738,917,19508,865,14748,790,11695,746,266,105,882,215,665,191,683,207,557,140,3944,467,2156,382,177,100,563,178,389,126,312,115,347,145,816,251,183,114,0,47,137,156,121,97,128,102,247,108,3230,404,19559,817,16436,785,11090,677,8915,621,341,137,462,144,713,226,327,132,332,123,4186,475,2296,356,86,74,410,140,764,260,248,108,382,130,1160,269,259,129,15,49,136,89,179,84,216,113,355,165,3123,377
7,Northeast,61382,1751,30092,1264,25631,1154,17527,811,13182,616,382,134,996,226,706,205,1000,262,1261,293,5911,643,2316,395,312,143,771,218,599,184,833,197,1080,223,2193,426,365,140,3,57,106,78,280,118,320,146,1119,321,4461,476,31290,1137,25313,1019,13521,695,10315,575,343,129,1114,222,558,170,536,158,655,177,8115,710,3139,420,274,96,853,221,1370,259,1055,287,1424,296,3677,420,838,201,96,80,453,144,577,173,615,169,1098,237,5977,611
8,North,29499,921,15269,722,12884,685,10360,636,8404,577,263,97,606,171,538,176,311,132,238,100,2109,327,964,234,39,59,325,135,337,120,227,121,217,104,415,142,29,42,0,43,27,44,76,61,108,71,175,108,2385,374,14230,581,11529,568,7723,524,6252,513,160,75,424,146,482,172,282,115,123,71,2971,375,1684,300,47,50,402,136,288,120,233,113,317,145,835,177,167,71,51,55,155,95,131,86,143,77,188,76,2701,372
9,Northwest,51682,1200,25419,850,22627,769,18857,733,15576,731,470,153,940,227,678,179,721,190,472,154,2962,391,1377,249,153,87,482,197,423,129,310,124,217,89,808,211,111,77,20,60,44,65,148,104,167,92,318,145,2792,503,26263,803,21698,779,15312,760,12018,660,378,134,1143,246,892,229,427,171,454,155,5322,462,2915,350,252,109,679,174,564,153,456,152,456,153,1064,213,324,135,17,54,228,108,186,88,73,69,236,102,4565,496
10,Ballard,33595,894,16690,646,15155,629,12763,589,10473,562,331,169,778,232,536,200,409,144,236,104,2091,304,818,195,119,85,293,137,359,126,162,83,340,130,301,107,37,48,0,43,41,51,32,53,65,59,126,76,1535,286,16905,606,14603,614,10325,587,8386,563,218,126,476,144,613,174,281,124,351,172,3579,450,2025,370,191,97,502,160,386,131,207,100,268,98,699,167,170,94,57,54,84,64,79,77,54,55,255,92,2302,321
11,Lake Union,37637,1248,19873,954,17789,844,14128,687,11353,656,330,126,940,232,724,208,530,149,251,124,2988,514,1241,313,65,68,450,171,695,220,281,159,256,117,673,188,84,60,40,53,97,84,107,78,95,72,250,107,2084,525,17764,905,15618,874,10690,661,8308,592,309,134,762,187,579,179,274,109,458,171,4044,534,1849,335,148,77,676,166,611,210,318,119,442,181,884,214,218,115,10,43,117,71,212,139,170,86,157,83,2146,335
12,Magnolia/Queen Anne,45353,1231,22284,1014,20063,1018,16576,742,13526,646,473,205,1015,252,703,204,444,167,415,142,2926,561,1414,376,105,81,358,146,381,166,334,173,334,151,561,182,94,71,11,52,83,80,104,97,66,71,203,94,2221,367,23069,968,19809,967,14125,712,11812,681,351,139,700,176,534,151,390,139,338,126,4272,552,2312,487,205,108,482,157,502,168,358,145,413,141,1412,362,283,154,34,53,152,99,134,77,264,108,545,206,3260,370
13,Downtown,13896,717,8444,599,6295,516,5139,469,4085,427,178,112,209,160,160,88,294,101,213,111,820,218,384,163,9,30,88,72,123,68,105,83,111,89,336,170,42,48,0,29,46,59,90,67,13,33,145,135,2149,354,5452,451,4443,441,3201,380,2573,344,142,94,129,73,140,81,64,55,153,109,993,242,410,154,39,41,90,65,137,86,96,96,221,122,249,115,105,78,0,29,0,29,29,41,25,42,90,83,1009,197
