area_id,area_name,b25014b001,b25014b001_moe,b25014b002,b25014b002_moe,b25014b003,b25014b003_moe
1,Southwest,481,200,481,200,0,48
2,Delridge Neighborhoods,1645,271,1468,283,177,101
3,Greater Duwamish,2729,331,2584,335,145,95
4,Southeast,4835,425,4693,438,142,116
5,Central,2944,324,2874,311,70,76
6,East,1758,326,1718,323,40,55
7,Northeast,638,196,584,184,54,82
8,North,938,266,927,266,11,45
9,Northwest,1199,290,1162,287,37,65
10,Ballard,193,112,193,112,0,43
11,Lake Union,672,214,610,211,62,54
12,Magnolia/Queen Anne,806,279,806,279,0,51
13,Downtown,1073,273,987,254,86,87
