area_id,area_name,b07004e001,b07004e001_moe,b07004e002,b07004e002_moe,b07004e003,b07004e003_moe,b07004e004,b07004e004_moe,b07004e005,b07004e005_moe,b07004e006,b07004e006_moe
1,Southwest,131,126,22,70,57,92,0,48,52,86,0,48
2,Delridge Neighborhoods,275,182,198,156,0,38,0,38,65,91,12,41
3,Greater Duwamish,497,307,373,278,124,142,0,45,0,45,0,45
4,Southeast,331,320,279,298,52,82,0,45,0,45,0,45
5,Central,9,36,9,36,0,34,0,34,0,34,0,34
6,East,64,67,43,61,8,48,3,45,10,49,0,47
7,Northeast,105,80,65,70,40,69,0,59,0,59,0,59
8,North,247,191,164,160,64,110,0,43,19,50,0,43
9,Northwest,314,178,199,152,22,59,63,102,19,60,11,54
10,Ballard,121,137,111,119,10,46,0,43,0,43,0,43
11,Lake Union,70,92,0,42,70,92,0,42,0,42,0,42
12,Magnolia/Queen Anne,32,60,31,61,1,50,0,51,0,51,0,51
13,Downtown,18,37,0,29,5,26,13,37,0,29,0,29
