area_id,area_name,b01001a001,b01001a001_moe,b01001a002,b01001a002_moe,b01001a003,b01001a003_moe,b01001a004,b01001a004_moe,b01001a005,b01001a005_moe,b01001a006,b01001a006_moe,b01001a007,b01001a007_moe,b01001a008,b01001a008_moe,b01001a009,b01001a009_moe,b01001a010,b01001a010_moe,b01001a011,b01001a011_moe,b01001a012,b01001a012_moe,b01001a013,b01001a013_moe,b01001a014,b01001a014_moe,b01001a015,b01001a015_moe,b01001a016,b01001a016_moe,b01001a017,b01001a017_moe,b01001a018,b01001a018_moe,b01001a019,b01001a019_moe,b01001a020,b01001a020_moe,b01001a021,b01001a021_moe,b01001a022,b01001a022_moe,b01001a023,b01001a023_moe,b01001a024,b01001a024_moe,b01001a025,b01001a025_moe,b01001a026,b01001a026_moe,b01001a027,b01001a027_moe,b01001a028,b01001a028_moe,b01001a029,b01001a029_moe,b01001a030,b01001a030_moe,b01001a031,b01001a031_moe
1,Southwest,43018,1122,20064,744,1113,232,703,171,837,209,609,170,106,65,437,128,1530,364,1649,280,3631,341,3922,348,2877,290,1510,230,729,148,411,138,22954,820,1198,282,1548,282,764,175,390,123,232,93,637,240,1493,292,1924,311,3703,327,3511,335,3641,348,1809,241,1135,187,969,208
2,Delridge Neighborhoods,20663,1097,10463,676,536,181,377,133,226,104,368,143,179,95,439,244,1122,271,1295,261,2243,300,1765,258,1066,206,539,138,277,110,31,44,10200,680,549,171,410,172,372,134,185,103,176,138,448,163,1227,265,935,193,1991,261,1430,208,1177,237,676,143,393,112,231,87
3,Greater Duwamish,14008,1090,7583,748,457,184,229,99,227,153,101,78,22,45,554,214,1006,269,1080,240,1457,317,1271,226,755,190,221,95,157,77,46,58,6425,637,518,194,308,152,322,147,122,96,41,50,338,116,951,217,741,173,1125,231,642,161,586,160,235,96,312,125,184,93
4,Southeast,18965,1117,9163,758,818,219,439,137,462,149,94,74,184,119,182,130,489,186,630,186,1925,297,1731,306,1238,214,525,135,240,94,206,86,9802,631,504,153,540,152,415,114,197,107,123,88,433,188,480,180,994,235,1924,268,1463,232,1536,247,490,137,362,115,341,135
5,Central,17930,826,8596,527,599,184,252,101,187,93,45,49,92,57,498,193,1082,236,911,206,1792,234,1339,225,973,196,597,134,105,59,124,81,9334,590,574,168,382,150,157,66,116,69,71,83,761,196,1241,228,1201,227,1715,256,1064,187,1201,194,486,166,236,101,129,84
6,East,39283,1314,20099,942,370,127,356,119,274,108,222,94,318,119,1665,338,3717,517,3080,547,3871,455,2651,333,1832,272,1005,193,486,122,252,92,19184,913,569,211,378,106,269,103,124,69,841,263,2387,360,3760,461,2378,364,2441,350,1785,275,1655,268,1272,222,794,191,531,127
7,Northeast,61149,1694,30140,1223,1320,233,1424,226,982,184,596,152,2134,423,5183,954,2890,470,1840,266,4044,339,3463,311,3511,283,1685,200,748,156,320,112,31009,1069,1394,224,1203,190,1053,178,773,171,2496,401,4955,734,2638,375,1728,239,3543,281,3859,315,3586,297,1878,215,1259,201,644,256
8,North,28625,1040,14060,644,650,187,588,165,552,167,309,101,138,79,1035,279,1264,240,1539,263,2147,286,2194,268,2092,235,693,164,575,155,284,109,14565,700,840,216,641,163,324,104,257,111,176,84,793,228,1305,261,1310,229,2135,266,2031,256,2199,241,910,171,838,157,806,194
9,Northwest,54294,1360,26827,932,1505,260,877,184,903,207,487,151,267,104,1518,346,3039,424,3336,396,4774,386,3985,361,3265,339,1307,222,1036,196,528,144,27467,907,1374,283,1117,222,742,165,311,108,159,99,1697,404,3352,430,2451,321,4398,355,3698,368,3738,327,1678,278,1381,224,1371,213
10,Ballard,39076,1013,19831,750,1244,223,734,176,778,192,387,165,205,137,969,253,2357,385,2341,339,3419,332,2861,299,2771,305,993,197,599,129,173,81,19245,715,1012,216,801,172,523,157,446,140,145,88,1027,317,2055,316,1862,280,3112,296,2953,320,2880,273,1163,178,879,183,387,137
11,Lake Union,35178,1218,18537,866,729,163,501,126,214,93,88,60,321,156,1967,511,3531,458,2464,335,3675,385,2114,260,1559,247,947,177,270,87,157,120,16641,887,477,148,485,118,304,122,110,70,283,180,2057,442,3251,424,2357,312,2845,320,1495,241,1748,222,505,113,445,127,279,106
12,Magnolia/Queen Anne,50034,1394,24340,1020,1218,241,988,219,718,171,382,135,507,138,1991,586,2632,386,2716,357,4266,406,3436,321,2839,300,1484,239,806,176,357,123,25694,1030,1115,236,896,219,963,246,306,123,864,237,2222,652,3036,399,2402,339,3956,379,3075,308,3379,317,1635,222,1122,202,723,161
13,Downtown,10491,626,6414,511,196,60,0,29,0,29,0,29,60,72,519,214,1055,285,610,165,1073,254,1103,221,1070,232,475,138,171,97,82,82,4077,410,5,29,0,29,14,33,6,29,23,35,423,175,726,188,344,138,735,178,739,171,408,142,483,147,133,75,38,62
