area_id,area_name,b12002g001,b12002g001_moe,b12002g002,b12002g002_moe,b12002g003,b12002g003_moe,b12002g004,b12002g004_moe,b12002g005,b12002g005_moe,b12002g006,b12002g006_moe,b12002g007,b12002g007_moe,b12002g008,b12002g008_moe,b12002g009,b12002g009_moe,b12002g010,b12002g010_moe,b12002g011,b12002g011_moe,b12002g012,b12002g012_moe,b12002g013,b12002g013_moe
1,Southwest,1155,251,526,153,254,110,243,106,0,48,0,48,29,54,629,181,231,98,254,108,17,54,11,49,116,77
2,Delridge Neighborhoods,1275,282,597,172,483,158,74,53,0,38,0,38,40,51,678,203,333,154,198,109,41,61,25,45,81,70
3,Greater Duwamish,1437,378,714,191,270,110,323,124,22,49,0,45,99,79,723,242,286,156,270,126,0,45,28,51,139,100
4,Southeast,1662,387,592,171,342,134,183,87,5,44,0,45,62,59,1070,304,525,224,304,125,20,45,38,73,183,101
5,Central,1271,379,475,173,249,109,117,71,0,34,0,34,109,108,796,287,511,220,178,91,0,34,13,38,94,97
6,East,1810,328,1009,257,779,236,109,80,7,47,23,48,91,91,801,197,608,165,120,84,0,47,16,46,57,63
7,Northeast,2770,386,1312,255,902,216,342,130,0,59,12,60,56,73,1458,276,992,228,349,139,0,59,11,60,106,86
8,North,1152,278,598,164,339,134,164,75,37,51,0,43,58,59,554,202,412,183,104,72,9,44,14,47,15,43
9,Northwest,2296,454,906,233,513,169,379,150,10,54,0,54,4,53,1390,339,839,230,298,134,8,54,53,65,192,129
10,Ballard,1514,365,647,180,393,132,252,120,0,43,0,43,2,42,867,279,444,206,315,136,0,43,0,43,108,83
11,Lake Union,1713,359,625,204,405,184,200,91,0,42,0,42,20,45,1088,296,585,187,254,126,56,95,43,64,150,92
12,Magnolia/Queen Anne,2086,464,1070,324,758,270,221,135,0,51,12,52,79,70,1016,256,480,178,465,181,0,51,0,51,71,92
13,Downtown,651,199,343,150,190,113,46,57,9,32,0,29,98,80,308,128,132,96,81,67,47,43,0,29,48,41
