area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
1,Southwest,2198,541,660,272,0,48,660,272,1465,371,107,72,1358,357,73,67,31,55,42,62
2,Delridge Neighborhoods,4486,781,1268,372,42,55,1226,375,3068,597,293,195,2775,530,150,89,39,58,111,76
3,Greater Duwamish,4650,943,1654,453,113,91,1541,410,2854,658,153,107,2701,636,142,105,69,68,73,82
4,Southeast,3704,869,1129,400,0,45,1129,400,2459,601,189,112,2270,588,116,86,83,68,33,51
5,Central,1600,403,387,171,0,34,387,171,1191,296,59,50,1132,291,22,47,0,34,22,47
6,East,2991,587,298,187,21,49,277,182,2637,473,200,102,2437,463,56,69,0,47,56,69
7,Northeast,2748,464,512,164,15,59,497,165,2207,399,180,130,2027,377,29,69,0,59,29,69
8,North,2984,626,697,243,48,57,649,237,2204,455,272,130,1932,424,83,104,62,100,21,52
9,Northwest,4360,801,1083,327,11,54,1072,325,3043,536,170,117,2873,523,234,114,82,70,152,105
10,Ballard,2190,491,475,199,15,47,460,198,1671,374,137,108,1534,355,44,54,19,49,25,46
11,Lake Union,2189,375,374,169,0,42,374,169,1731,307,49,57,1682,303,84,79,17,49,67,74
12,Magnolia/Queen Anne,2557,506,432,179,28,55,404,173,2014,429,150,104,1864,410,111,86,9,50,102,87
13,Downtown,682,240,8,31,0,29,8,31,645,237,69,81,576,222,29,43,12,34,17,40
