area_id,area_name,b19001a001,b19001a001_moe,b19001a002,b19001a002_moe,b19001a003,b19001a003_moe,b19001a004,b19001a004_moe,b19001a005,b19001a005_moe,b19001a006,b19001a006_moe,b19001a007,b19001a007_moe,b19001a008,b19001a008_moe,b19001a009,b19001a009_moe,b19001a010,b19001a010_moe,b19001a011,b19001a011_moe,b19001a012,b19001a012_moe,b19001a013,b19001a013_moe,b19001a014,b19001a014_moe,b19001a015,b19001a015_moe,b19001a016,b19001a016_moe,b19001a017,b19001a017_moe
1,Southwest,21073,463,735,210,709,185,539,161,503,179,936,214,847,202,769,190,669,175,883,213,1435,247,1817,296,2923,337,2364,306,1592,261,2026,265,2326,305
2,Delridge Neighborhoods,10162,408,488,151,386,135,383,123,441,150,570,176,385,119,497,173,391,141,278,116,836,184,1311,239,1426,231,963,196,674,159,732,187,401,151
3,Greater Duwamish,5929,386,294,121,217,96,286,116,217,99,351,123,286,116,216,98,286,111,297,127,511,159,730,185,624,143,603,149,497,163,251,119,263,116
4,Southeast,8079,420,457,161,221,105,255,113,291,138,164,97,246,126,163,87,190,92,202,106,590,195,835,179,1225,245,977,183,476,141,846,199,941,199
5,Central,8846,384,365,120,256,115,447,186,267,123,340,168,409,175,301,113,255,96,266,106,549,165,716,178,1169,227,790,188,653,159,902,161,1161,197
6,East,23535,663,1662,293,1094,239,1025,236,1347,297,855,238,1384,289,1146,259,1065,262,819,206,2013,364,2016,297,2666,362,1849,326,1462,322,1307,267,1825,276
7,Northeast,24437,529,1721,296,712,190,669,179,696,181,999,228,592,149,724,182,915,192,729,172,1619,268,2303,310,2563,303,2247,288,1667,244,2222,267,4059,327
8,North,14501,435,1098,258,719,198,629,198,862,200,569,187,664,176,711,224,472,136,598,167,1250,255,1396,237,1701,267,1360,218,819,157,836,156,817,159
9,Northwest,27093,554,1436,305,1067,213,794,179,890,206,1002,215,1107,230,898,198,1075,204,1101,245,1826,276,3024,366,3583,384,3080,370,2011,298,2109,280,2090,265
10,Ballard,19226,385,858,217,435,141,541,148,531,155,648,179,675,191,589,199,785,197,755,199,1444,274,2161,300,2795,365,2578,348,1556,258,1497,254,1378,215
11,Lake Union,19568,589,1226,269,760,183,675,184,593,164,645,174,958,250,699,188,997,255,949,217,1834,320,1953,309,2284,316,2091,289,1147,222,1434,231,1323,225
12,Magnolia/Queen Anne,25813,585,1126,226,646,198,448,140,814,184,874,213,1174,233,868,199,1120,243,844,191,2147,337,2615,357,3544,417,2211,321,1846,283,2170,307,3366,350
13,Downtown,7434,437,969,195,489,171,408,153,150,77,245,120,214,115,258,130,305,131,183,89,402,166,515,160,1110,239,605,153,301,115,402,159,878,216
