area_id,area_name,b19301i001,b19301i001_moe
1,Southwest,313330,64726
2,Delridge Neighborhoods,168327,30631
3,Greater Duwamish,176035,36077
4,Southeast,195953,52959
5,Central,433719,266741
6,East,369939,60688
7,Northeast,391689,68528
8,North,259021,68207
9,Northwest,413571,56558
10,Ballard,332586,86263
11,Lake Union,300789,38729
12,Magnolia/Queen Anne,431427,80721
13,Downtown,93052,29467
