area_id,area_name,b25096001,b25096001_moe,b25096002,b25096002_moe,b25096003,b25096003_moe,b25096004,b25096004_moe,b25096005,b25096005_moe,b25096006,b25096006_moe,b25096007,b25096007_moe,b25096008,b25096008_moe,b25096009,b25096009_moe,b25096010,b25096010_moe,b25096011,b25096011_moe,b25096012,b25096012_moe,b25096013,b25096013_moe,b25096014,b25096014_moe,b25096015,b25096015_moe,b25096016,b25096016_moe,b25096017,b25096017_moe
1,Southwest,14808,462,11140,462,44,59,14,50,46,57,136,66,973,193,5384,423,4543,378,3668,315,47,57,51,93,57,69,34,55,313,109,1829,240,1337,209
2,Delridge Neighborhoods,7724,382,6291,376,89,70,24,43,81,58,382,130,2024,285,3168,300,523,160,1433,204,21,42,80,58,26,45,132,76,354,126,709,152,111,70
3,Greater Duwamish,8359,418,5975,414,101,77,7,45,48,50,285,101,1658,243,3450,375,426,144,2384,262,60,56,45,55,27,53,150,83,754,152,1131,189,217,111
4,Southeast,10861,427,8541,431,99,65,13,48,93,90,433,158,1770,263,4029,382,2104,251,2320,264,63,55,23,49,59,68,50,53,483,122,890,175,752,171
5,Central,6894,359,5511,372,60,48,0,34,45,45,165,103,596,142,2275,264,2370,282,1383,205,0,34,0,34,93,84,15,40,144,68,607,131,524,138
6,East,8008,453,6038,424,87,78,34,53,101,91,351,129,1342,271,1604,295,2519,238,1970,265,14,50,37,73,62,55,0,47,163,84,527,134,1167,204
7,Northeast,16806,426,12154,459,50,74,43,66,72,69,231,96,639,148,3329,307,7790,404,4652,310,82,70,58,66,61,67,57,65,220,101,1555,198,2619,264
8,North,9074,354,6631,384,56,55,36,55,101,66,333,137,878,196,3865,327,1362,186,2443,259,45,54,0,43,29,50,125,75,484,147,1269,209,491,114
9,Northwest,17569,559,13484,559,92,72,123,119,197,112,444,143,1627,272,6727,455,4274,346,4085,342,160,101,15,56,20,56,140,79,345,117,2113,251,1292,199
10,Ballard,11602,423,8536,417,61,56,53,52,30,47,104,88,644,147,3981,375,3663,305,3066,304,58,54,22,46,0,43,14,46,295,112,1400,218,1277,207
11,Lake Union,7184,387,5717,399,0,42,26,48,11,44,139,76,591,165,2126,298,2824,287,1467,192,53,58,0,42,16,45,44,44,155,75,537,141,662,131
12,Magnolia/Queen Anne,14092,515,11037,516,51,66,57,57,96,63,262,99,1363,256,2377,311,6831,418,3055,319,24,53,30,57,40,65,47,61,214,106,776,164,1924,266
13,Downtown,2175,304,1552,277,7,29,11,32,12,32,59,59,249,110,674,162,540,188,623,197,14,35,0,29,8,29,80,86,41,47,280,143,200,84
