area_id,area_name,b17020f001,b17020f001_moe,b17020f002,b17020f002_moe,b17020f003,b17020f003_moe,b17020f004,b17020f004_moe,b17020f005,b17020f005_moe,b17020f006,b17020f006_moe,b17020f007,b17020f007_moe,b17020f008,b17020f008_moe,b17020f009,b17020f009_moe,b17020f010,b17020f010_moe,b17020f011,b17020f011_moe,b17020f012,b17020f012_moe,b17020f013,b17020f013_moe,b17020f014,b17020f014_moe,b17020f015,b17020f015_moe,b17020f016,b17020f016_moe,b17020f017,b17020f017_moe
1,Southwest,325,199,61,97,0,48,0,48,0,48,0,48,61,97,0,48,0,48,264,182,14,50,0,48,51,63,27,52,172,118,0,48,0,48
2,Delridge Neighborhoods,992,449,277,272,86,109,0,38,83,81,0,38,108,111,0,38,0,38,715,340,48,57,0,38,21,48,41,57,571,282,34,54,0,38
3,Greater Duwamish,826,452,237,198,0,45,0,45,44,79,14,49,179,169,0,45,0,45,589,373,66,77,0,45,58,89,30,67,393,212,42,78,0,45
4,Southeast,780,555,95,85,0,45,0,45,0,45,0,45,71,77,24,58,0,45,685,549,14,48,0,45,138,153,191,183,318,237,7,49,17,52
5,Central,335,170,46,70,0,34,0,34,0,34,0,34,46,70,0,34,0,34,289,153,60,77,0,34,0,34,12,38,217,121,0,34,0,34
6,East,511,186,62,58,0,47,0,47,0,47,0,47,62,58,0,47,0,47,449,181,0,47,0,47,23,58,0,47,426,173,0,47,0,47
7,Northeast,633,308,249,257,0,59,0,59,0,59,0,59,249,257,0,59,0,59,384,175,16,63,38,65,42,73,0,59,288,143,0,59,0,59
8,North,1203,444,122,148,16,49,0,43,16,48,15,48,75,77,0,43,0,43,1081,449,32,61,0,43,27,48,105,83,897,379,0,43,20,46
9,Northwest,1273,396,94,78,0,54,0,54,0,54,0,54,76,75,0,54,18,59,1179,383,0,54,31,62,45,65,41,64,988,325,55,81,19,59
10,Ballard,368,202,45,61,0,43,0,43,0,43,0,43,26,57,19,49,0,43,323,177,29,61,0,43,0,43,0,43,294,158,0,43,0,43
11,Lake Union,569,259,173,135,0,42,0,42,0,42,0,42,141,126,32,64,0,42,396,223,66,93,0,42,0,42,0,42,308,164,12,43,10,43
12,Magnolia/Queen Anne,591,216,123,139,0,51,0,51,0,51,0,51,123,139,0,51,0,51,468,169,47,87,0,51,19,57,77,80,325,126,0,51,0,51
13,Downtown,322,159,127,97,0,29,0,29,0,29,0,29,127,97,0,29,0,29,195,129,0,29,0,29,0,29,0,29,195,129,0,29,0,29
