area_id,area_name,b23008001,b23008001_moe,b23008002,b23008002_moe,b23008003,b23008003_moe,b23008004,b23008004_moe,b23008005,b23008005_moe,b23008006,b23008006_moe,b23008007,b23008007_moe,b23008008,b23008008_moe,b23008009,b23008009_moe,b23008010,b23008010_moe,b23008011,b23008011_moe,b23008012,b23008012_moe,b23008013,b23008013_moe,b23008014,b23008014_moe,b23008015,b23008015_moe,b23008016,b23008016_moe,b23008017,b23008017_moe,b23008018,b23008018_moe,b23008019,b23008019_moe,b23008020,b23008020_moe,b23008021,b23008021_moe,b23008022,b23008022_moe,b23008023,b23008023_moe,b23008024,b23008024_moe,b23008025,b23008025_moe,b23008026,b23008026_moe,b23008027,b23008027_moe
1,Southwest,8750,487,3508,461,2819,428,1958,341,794,268,52,62,15,51,689,214,102,78,79,71,23,58,587,203,459,192,128,92,5242,457,4208,435,2949,393,997,293,205,144,57,77,1034,246,184,85,170,83,14,50,850,232,768,216,82,86
2,Delridge Neighborhoods,6851,600,2767,396,2042,346,1472,335,564,213,6,38,0,38,725,213,74,61,42,52,32,49,651,206,491,180,160,124,4084,446,2106,377,1451,383,539,209,116,87,0,38,1978,366,399,166,399,166,0,38,1579,330,1339,311,240,153
3,Greater Duwamish,10157,1035,4020,630,2859,591,1952,541,766,256,22,50,119,122,1161,325,358,190,287,177,71,80,803,273,753,269,50,64,6137,669,3926,637,2990,616,775,279,148,83,13,48,2211,455,388,173,363,170,25,50,1823,427,1640,407,183,132
4,Southeast,9271,761,3376,484,2512,453,1535,335,726,241,228,223,23,54,864,267,107,84,107,84,0,45,757,255,567,230,190,118,5895,657,3031,466,1860,386,789,242,364,214,18,51,2864,574,670,248,545,231,125,106,2194,551,1705,478,489,267
5,Central,4316,458,2028,325,1518,305,941,245,509,219,68,63,0,34,510,208,128,94,115,92,13,39,382,187,335,172,47,76,2288,361,1382,257,921,223,436,163,25,53,0,34,906,312,138,102,138,102,0,34,768,296,753,294,15,41
6,East,3628,414,1736,367,1180,294,557,182,519,224,96,94,8,47,556,244,68,65,15,50,53,62,488,238,398,218,90,105,1892,274,1515,221,1010,224,483,150,7,47,15,49,377,175,65,54,42,50,23,51,312,171,271,162,41,56
7,Northeast,11057,456,4182,389,3752,377,2416,331,1199,241,93,75,44,70,430,139,76,78,76,78,0,59,354,122,346,121,8,59,6875,429,5738,401,3886,374,1567,305,231,107,54,69,1137,267,398,182,359,172,39,83,739,202,679,194,60,78
8,North,5986,478,2557,340,1919,300,1121,243,691,211,75,61,32,51,638,215,9,45,9,45,0,43,629,214,348,142,281,154,3429,388,2330,333,1477,281,697,212,141,96,15,46,1099,275,275,137,258,135,17,46,824,248,709,229,115,107
9,Northwest,10286,683,4540,492,3939,465,2662,393,1175,291,92,96,10,55,601,205,134,79,126,79,8,54,467,193,304,158,163,120,5746,519,4319,428,3135,407,1030,243,144,91,10,55,1427,334,427,188,427,188,0,54,1000,274,971,272,29,55
10,Ballard,7074,469,3095,340,2740,318,1747,264,857,218,75,85,61,81,355,146,145,82,145,82,0,43,210,122,188,117,22,52,3979,438,2884,379,1855,340,907,232,85,87,37,56,1095,306,381,224,371,223,10,44,714,222,684,219,30,54
11,Lake Union,3711,325,1903,266,1532,232,1100,206,418,171,14,44,0,42,371,163,113,101,113,101,0,42,258,135,258,135,0,42,1808,275,1222,233,951,220,217,107,54,62,0,42,586,193,201,108,201,108,0,42,385,168,378,168,7,45
12,Magnolia/Queen Anne,8052,565,3651,459,3306,451,1976,356,1256,335,46,56,28,55,345,176,28,56,28,56,0,51,317,174,278,161,39,79,4401,445,3842,437,2565,395,1103,309,107,77,67,108,559,180,182,109,182,109,0,51,377,149,368,148,9,51
13,Downtown,1003,413,563,229,341,121,225,80,109,95,7,30,0,29,222,198,130,191,123,191,7,29,92,72,92,72,0,29,440,218,154,105,113,91,34,57,7,30,0,29,286,212,123,154,123,154,0,29,163,150,163,150,0,29
