area_id,area_name,b99104001,b99104001_moe,b99104002,b99104002_moe,b99104003,b99104003_moe,b99104004,b99104004_moe,b99104005,b99104005_moe,b99104006,b99104006_moe,b99104007,b99104007_moe
1,Southwest,35009,-1,319,-1,98,-1,31,-1,67,-1,221,-1,34690,-1
2,Delridge Neighborhoods,21233,-1,654,-1,123,-1,34,-1,89,-1,531,-1,20579,-1
3,Greater Duwamish,28295,-1,1713,-1,393,-1,109,-1,284,-1,1320,-1,26582,-1
4,Southeast,29693,-1,1080,-1,393,-1,44,-1,349,-1,687,-1,28613,-1
5,Central,19118,-1,140,-1,22,-1,0,-1,22,-1,118,-1,18978,-1
6,East,30697,-1,143,-1,97,-1,30,-1,67,-1,46,-1,30554,-1
7,Northeast,38297,-1,297,-1,74,-1,0,-1,74,-1,223,-1,38000,-1
8,North,25708,-1,501,-1,78,-1,0,-1,78,-1,423,-1,25207,-1
9,Northwest,45609,-1,622,-1,182,-1,0,-1,182,-1,440,-1,44987,-1
10,Ballard,29491,-1,290,-1,136,-1,0,-1,136,-1,154,-1,29201,-1
11,Lake Union,24947,-1,33,-1,0,-1,0,-1,0,-1,33,-1,24914,-1
12,Magnolia/Queen Anne,37376,-1,251,-1,55,-1,0,-1,55,-1,196,-1,37125,-1
13,Downtown,12454,-1,34,-1,7,-1,7,-1,0,-1,27,-1,12420,-1
