area_id,area_name,b19202c001,b19202c001_moe
2,Delridge Neighborhoods,34688,31797
3,Greater Duwamish,25764,16318
4,Southeast,19529,101910
5,Central,53080,82200
6,East,71566,63067
8,North,48625,77796
9,Northwest,84516,77729
10,Ballard,72768,84234
11,Lake Union,83937,50388
12,Magnolia/Queen Anne,34154,99373
13,Downtown,64708,62825
