area_id,area_name,c27001c001,c27001c001_moe,c27001c002,c27001c002_moe,c27001c003,c27001c003_moe,c27001c004,c27001c004_moe,c27001c005,c27001c005_moe,c27001c006,c27001c006_moe,c27001c007,c27001c007_moe,c27001c008,c27001c008_moe,c27001c009,c27001c009_moe,c27001c010,c27001c010_moe
1,Southwest,357,183,102,109,102,109,0,48,235,122,152,90,83,92,20,54,20,54,0,48
2,Delridge Neighborhoods,232,161,45,59,23,50,22,50,187,125,126,84,61,79,0,38,0,38,0,38
3,Greater Duwamish,464,245,177,146,177,146,0,45,251,131,214,116,37,76,36,51,36,51,0,45
4,Southeast,374,183,145,115,145,115,0,45,212,139,128,90,84,83,17,50,17,50,0,45
5,Central,161,110,42,73,42,73,0,34,119,70,109,70,10,35,0,34,0,34,0,34
6,East,748,261,74,98,74,98,0,47,643,233,470,163,173,156,31,50,31,50,0,47
7,Northeast,360,168,57,72,57,72,0,59,284,138,216,112,68,96,19,71,19,71,0,59
8,North,369,230,104,123,104,123,0,43,239,148,212,144,27,45,26,46,26,46,0,43
9,Northwest,592,237,92,104,92,104,0,54,447,171,291,134,156,114,53,69,53,69,0,54
10,Ballard,147,90,11,45,11,45,0,43,105,80,94,78,11,46,31,49,31,49,0,43
11,Lake Union,447,175,0,42,0,42,0,42,420,172,349,158,71,86,27,52,27,52,0,42
12,Magnolia/Queen Anne,444,193,70,77,43,63,27,66,298,152,235,131,63,87,76,81,76,81,0,51
13,Downtown,178,108,0,29,0,29,0,29,151,101,89,85,62,62,27,44,27,44,0,29
