area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
1,Southwest,1553,379,735,223,735,223,43,58,692,219,0,48,0,48,0,48,818,238,745,231,59,98,686,211,73,67,0,48,73,67
2,Delridge Neighborhoods,3219,600,1858,385,1825,386,38,51,1787,385,33,49,14,42,19,46,1361,357,1244,352,0,38,1244,352,117,76,0,38,117,76
3,Greater Duwamish,3008,680,1724,515,1672,505,23,48,1649,503,52,64,26,56,26,55,1284,302,1194,282,0,45,1194,282,90,85,0,45,90,85
4,Southeast,2603,611,1397,446,1342,443,40,59,1302,441,55,55,34,48,21,52,1206,350,1126,342,14,48,1112,342,80,68,0,45,80,68
5,Central,1237,299,652,240,624,237,0,34,624,237,28,47,22,47,6,34,585,162,571,161,12,36,559,157,14,45,0,34,14,45
6,East,2922,482,1695,360,1659,357,39,57,1620,353,36,62,36,62,0,47,1227,266,1207,263,0,47,1207,263,20,54,0,47,20,54
7,Northeast,2237,402,1103,244,1084,243,88,101,996,225,19,62,19,62,0,59,1134,304,1123,302,0,59,1123,302,11,58,0,59,11,58
8,North,2287,464,1194,327,1173,325,28,46,1145,324,21,52,0,43,21,52,1093,312,1031,297,28,49,1003,296,62,100,0,43,62,100
9,Northwest,3283,563,1750,375,1672,363,169,106,1503,349,78,69,44,64,34,61,1533,333,1374,314,0,54,1374,314,159,87,41,66,118,79
10,Ballard,1715,377,770,227,745,224,11,45,734,223,25,46,0,43,25,46,945,258,926,257,0,43,926,257,19,49,0,43,19,49
11,Lake Union,1815,313,1035,250,1000,246,32,53,968,245,35,54,35,54,0,42,780,185,731,176,0,42,731,176,49,70,0,42,49,70
12,Magnolia/Queen Anne,2125,433,1043,285,986,282,42,85,944,273,57,63,20,58,37,57,1082,257,1028,252,0,51,1028,252,54,78,0,51,54,78
13,Downtown,735,243,400,174,371,171,0,29,371,171,29,43,17,40,12,34,335,170,335,170,0,29,335,170,0,29,0,29,0,29
