area_id,area_name,b17026001,b17026001_moe,b17026002,b17026002_moe,b17026003,b17026003_moe,b17026004,b17026004_moe,b17026005,b17026005_moe,b17026006,b17026006_moe,b17026007,b17026007_moe,b17026008,b17026008_moe,b17026009,b17026009_moe,b17026010,b17026010_moe,b17026011,b17026011_moe,b17026012,b17026012_moe,b17026013,b17026013_moe
1,Southwest,11615,463,148,93,85,69,69,68,44,51,181,99,191,106,150,105,107,72,1101,230,1029,201,1209,201,7301,425
2,Delridge Neighborhoods,7898,410,301,153,302,126,289,131,217,128,399,159,277,138,41,56,164,84,1169,240,932,185,1129,244,2678,287
3,Greater Duwamish,10023,429,448,166,355,150,427,161,506,191,505,166,486,158,99,90,202,96,2224,320,1559,246,808,188,2404,324
4,Southeast,10698,475,557,183,419,185,240,108,684,227,432,175,184,92,133,75,336,124,1374,281,1440,264,1106,230,3793,355
5,Central,5827,366,191,102,141,97,133,115,107,75,123,81,59,47,98,75,231,158,670,165,518,163,588,167,2968,288
6,East,6914,493,195,83,127,89,209,121,131,79,175,162,174,96,119,89,19,48,546,180,590,178,555,149,4074,415
7,Northeast,14739,465,317,127,163,89,120,77,109,77,183,108,214,91,73,68,274,149,939,178,1212,214,1484,225,9651,423
8,North,9165,448,320,116,138,73,297,139,296,120,271,114,255,116,37,53,171,129,1240,248,1136,225,957,186,4047,319
9,Northwest,15452,570,256,146,213,102,291,114,149,96,306,130,324,144,149,112,217,93,1763,299,1898,295,1448,242,8438,490
10,Ballard,10539,437,176,93,76,62,36,54,229,127,93,70,84,61,11,44,108,76,909,231,1251,228,1673,287,5893,418
11,Lake Union,6677,455,200,152,31,50,155,100,154,80,75,76,51,52,51,54,20,43,818,229,598,182,536,159,3988,331
12,Magnolia/Queen Anne,12146,520,133,80,46,59,51,60,88,70,178,96,161,104,65,59,204,118,897,205,1015,239,1091,233,8217,490
13,Downtown,2301,306,175,105,96,66,177,100,91,57,61,47,18,34,30,39,15,32,169,99,163,75,297,129,1009,191
