area_id,area_name,b18101f001,b18101f001_moe,b18101f002,b18101f002_moe,b18101f003,b18101f003_moe,b18101f004,b18101f004_moe,b18101f005,b18101f005_moe,b18101f006,b18101f006_moe,b18101f007,b18101f007_moe,b18101f008,b18101f008_moe,b18101f009,b18101f009_moe,b18101f010,b18101f010_moe
1,Southwest,325,199,92,93,0,48,92,93,233,144,6,43,227,144,0,48,0,48,0,48
2,Delridge Neighborhoods,992,449,279,218,0,38,279,218,679,301,82,102,597,277,34,54,0,38,34,54
3,Greater Duwamish,826,452,212,171,0,45,212,171,572,310,48,64,524,303,42,78,23,56,19,57
4,Southeast,780,555,343,326,0,45,343,326,389,247,23,56,366,244,48,66,8,45,40,61
5,Central,335,170,72,81,0,34,72,81,263,142,20,40,243,140,0,34,0,34,0,34
6,East,529,186,23,58,0,47,23,58,506,178,28,50,478,179,0,47,0,47,0,47
7,Northeast,847,324,96,89,0,59,96,89,751,308,91,104,660,292,0,59,0,59,0,59
8,North,1209,444,211,119,0,43,211,119,978,374,115,76,863,366,20,46,15,46,5,42
9,Northwest,1273,396,117,99,0,54,117,99,1064,334,4,53,1060,334,92,88,19,59,73,84
10,Ballard,368,202,29,61,0,43,29,61,320,173,32,49,288,168,19,49,19,49,0,43
11,Lake Union,569,259,66,93,0,42,66,93,449,203,15,46,434,203,54,67,10,43,44,65
12,Magnolia/Queen Anne,637,220,143,118,0,51,143,118,494,188,44,72,450,181,0,51,0,51,0,51
13,Downtown,344,161,0,29,0,29,0,29,344,161,45,61,299,152,0,29,0,29,0,29
