area_id,area_name,b25014a001,b25014a001_moe,b25014a002,b25014a002_moe,b25014a003,b25014a003_moe
1,Southwest,21073,463,21011,462,62,74
2,Delridge Neighborhoods,10162,408,9972,416,190,110
3,Greater Duwamish,5929,386,5606,380,323,133
4,Southeast,8079,420,7853,425,226,133
5,Central,8846,384,8741,389,105,76
6,East,23535,663,23121,670,414,182
7,Northeast,24437,529,24300,528,137,103
8,North,14501,435,14424,437,77,66
9,Northwest,27093,554,26877,557,216,137
10,Ballard,19226,385,19109,378,117,71
11,Lake Union,19568,589,19130,585,438,183
12,Magnolia/Queen Anne,25813,585,25654,583,159,108
13,Downtown,7434,437,7282,437,152,87
