area_id,area_name,b27015001,b27015001_moe,b27015002,b27015002_moe,b27015003,b27015003_moe,b27015004,b27015004_moe,b27015005,b27015005_moe,b27015006,b27015006_moe,b27015007,b27015007_moe,b27015008,b27015008_moe,b27015009,b27015009_moe,b27015010,b27015010_moe,b27015011,b27015011_moe,b27015012,b27015012_moe,b27015013,b27015013_moe,b27015014,b27015014_moe,b27015015,b27015015_moe,b27015016,b27015016_moe,b27015017,b27015017_moe,b27015018,b27015018_moe,b27015019,b27015019_moe,b27015020,b27015020_moe,b27015021,b27015021_moe,b27015022,b27015022_moe,b27015023,b27015023_moe,b27015024,b27015024_moe,b27015025,b27015025_moe,b27015026,b27015026_moe
1,Southwest,48414,1052,3780,578,3207,534,2254,470,1778,307,573,210,6873,681,5764,586,4970,520,2306,364,1109,314,6812,840,6252,786,5763,726,1409,294,560,222,6352,765,5962,729,5731,709,1228,270,390,182,24597,1258,23524,1221,23069,1203,1744,312,1073,398
2,Delridge Neighborhoods,34186,1046,6236,882,4667,719,1460,301,3932,665,1569,419,5819,895,4742,768,3560,555,1744,501,1077,290,6862,939,5779,802,5147,737,1188,342,1083,414,5099,806,4595,742,4106,667,848,344,504,206,10170,939,9364,867,8817,837,924,261,806,262
3,Greater Duwamish,46080,1744,8212,1331,6722,1224,1722,392,5835,1180,1490,409,10588,1282,7999,1039,4935,736,3895,728,2589,535,8809,1273,6948,1033,5657,840,2133,534,1861,528,5822,960,4986,839,4243,735,1203,331,836,324,12649,1578,11226,1373,10237,1263,1491,377,1423,581
4,Southeast,45175,1447,7424,1103,5408,796,1681,360,4347,710,2016,540,8866,1316,7222,1091,4656,793,3589,770,1644,542,7806,1166,6615,1009,5545,854,1588,405,1191,415,6623,1054,5838,929,4839,788,1517,481,785,319,14456,1304,13425,1206,12605,1116,1962,449,1031,367
5,Central,28807,986,4525,709,3662,612,2018,427,2535,504,863,363,5207,838,4295,674,3461,523,1380,390,912,303,4120,702,3639,614,3182,505,822,340,481,235,3814,761,3332,703,3217,698,369,158,482,281,11141,912,10752,880,10448,848,853,235,389,185
6,East,47301,1109,9563,770,7503,670,4818,542,3762,478,2060,434,9769,939,7538,773,6626,686,1755,429,2231,472,7234,809,6216,718,5746,624,998,349,1018,274,4965,680,4746,644,4659,641,358,137,219,138,15770,1163,15172,1093,14703,1068,1804,349,598,292
7,Northeast,69789,1649,9667,906,8211,836,6926,805,2067,312,1456,392,9315,984,8103,887,7154,765,2101,416,1212,313,9715,1176,8831,1098,8452,1077,1399,253,884,265,7370,1099,6938,1036,6725,1012,974,263,432,247,33722,1660,32873,1583,32323,1574,2783,307,849,235
8,North,39599,1082,7129,773,5496,651,2862,435,3680,563,1633,413,7785,950,6295,800,5205,690,2087,407,1490,386,6803,841,5665,733,5254,688,1174,314,1138,431,4929,742,4378,640,4187,621,588,183,551,217,12953,1004,12426,973,11953,941,1176,312,527,200
9,Northwest,68815,1454,8181,795,6207,649,3953,500,4099,508,1974,430,11649,1203,8988,929,7351,756,3430,559,2661,578,12143,1244,10381,1134,9069,932,2641,589,1762,463,9546,1030,8918,966,8375,909,1428,335,628,206,27296,1443,26321,1395,25887,1377,1468,274,975,260
10,Ballard,44084,1007,3680,538,2856,421,1898,343,1643,279,824,281,6271,726,5000,606,4447,581,1380,274,1271,434,7434,826,6599,758,6412,749,1012,215,835,297,6734,957,6220,872,5938,825,800,304,514,192,19965,1221,19350,1171,18913,1163,1409,422,615,251
11,Lake Union,43297,1313,6805,782,5437,698,4027,657,1935,334,1368,325,8188,951,6600,829,6059,765,1038,337,1588,357,6954,842,6151,732,5985,728,513,155,803,280,5612,1006,4895,704,4627,665,573,212,717,581,15738,1045,14956,1014,14658,1002,1026,204,782,255
12,Magnolia/Queen Anne,56881,1321,4844,597,3855,509,2880,478,1560,266,989,270,8543,923,7197,837,6329,763,2110,450,1346,350,9076,1000,8369,949,7932,917,1478,374,707,253,7297,949,6857,889,6568,849,1445,317,440,184,27121,1495,26664,1447,26216,1433,1974,384,457,234
13,Downtown,15946,832,5496,714,4500,656,1272,330,3618,585,996,296,2522,413,1858,328,1340,253,771,233,664,235,1861,409,1792,394,1734,379,332,196,69,52,1656,343,1534,321,1442,312,157,98,122,75,4411,527,4345,526,4256,526,428,154,66,65
