area_id,area_name,b17020i001,b17020i001_moe,b17020i002,b17020i002_moe,b17020i003,b17020i003_moe,b17020i004,b17020i004_moe,b17020i005,b17020i005_moe,b17020i006,b17020i006_moe,b17020i007,b17020i007_moe,b17020i008,b17020i008_moe,b17020i009,b17020i009_moe,b17020i010,b17020i010_moe,b17020i011,b17020i011_moe,b17020i012,b17020i012_moe,b17020i013,b17020i013_moe,b17020i014,b17020i014_moe,b17020i015,b17020i015_moe,b17020i016,b17020i016_moe,b17020i017,b17020i017_moe
1,Southwest,2154,527,203,125,0,48,0,48,0,48,0,48,154,118,18,53,31,55,1951,518,189,115,52,62,218,113,157,103,1311,358,0,48,24,58
2,Delridge Neighborhoods,4518,781,1284,508,240,140,47,65,189,105,178,171,591,215,19,46,20,40,3234,648,212,111,41,49,141,104,220,106,2509,562,81,69,30,58
3,Greater Duwamish,4650,943,1191,478,130,162,17,50,165,140,184,150,606,256,19,52,70,78,3459,876,390,184,87,84,411,196,270,152,2248,566,42,78,11,49
4,Southeast,3704,869,897,508,96,96,0,45,113,116,77,82,591,313,0,45,20,53,2807,747,271,151,0,45,272,139,300,174,1868,542,31,61,65,69
5,Central,1600,403,102,89,0,34,0,34,0,34,0,34,102,89,0,34,0,34,1498,395,139,114,17,42,154,84,77,62,1089,285,22,47,0,34
6,East,2885,588,556,186,0,47,0,47,0,47,0,47,520,181,8,47,28,62,2329,549,117,148,11,48,50,63,106,91,2025,430,20,54,0,47
7,Northeast,2257,444,557,266,5,58,0,59,0,59,0,59,552,266,0,59,0,59,1700,352,129,81,65,69,178,112,108,84,1191,265,10,60,19,66
8,North,2978,626,715,426,92,92,52,77,112,97,40,57,357,231,0,43,62,100,2263,506,158,102,0,43,105,73,138,86,1841,417,21,52,0,43
9,Northwest,4342,796,746,368,141,123,0,54,91,93,38,66,442,208,0,54,34,58,3596,691,339,197,53,69,226,108,177,95,2601,486,122,101,78,68
10,Ballard,2190,491,288,174,0,43,0,43,18,49,22,54,215,140,33,54,0,43,1902,445,173,109,13,45,111,65,138,144,1456,336,11,44,0,43
11,Lake Union,2180,375,510,202,46,75,0,42,7,45,64,100,326,153,50,68,17,49,1670,327,138,108,9,42,70,56,31,51,1405,269,17,48,0,42
12,Magnolia/Queen Anne,2517,509,268,167,31,70,0,51,0,51,0,51,237,153,0,51,0,51,2249,485,144,104,42,68,147,94,68,78,1737,411,102,87,9,50
13,Downtown,660,238,272,170,0,29,0,29,0,29,0,29,260,167,0,29,12,34,388,167,8,31,0,29,0,29,0,29,363,165,17,40,0,29
