area_id,area_name,c15002d001,c15002d001_moe,c15002d002,c15002d002_moe,c15002d003,c15002d003_moe,c15002d004,c15002d004_moe,c15002d005,c15002d005_moe,c15002d006,c15002d006_moe,c15002d007,c15002d007_moe,c15002d008,c15002d008_moe,c15002d009,c15002d009_moe,c15002d010,c15002d010_moe,c15002d011,c15002d011_moe
1,Southwest,1695,277,528,146,22,51,8,43,84,65,414,133,1167,213,69,78,73,77,296,113,729,163
2,Delridge Neighborhoods,3859,473,1599,254,165,80,495,180,585,158,354,126,2260,295,517,182,326,119,585,163,832,186
3,Greater Duwamish,14687,945,7046,587,2217,348,1729,304,1656,327,1444,277,7641,518,2832,395,1660,286,1358,269,1791,311
4,Southeast,8124,666,3811,363,1011,229,914,196,888,201,998,203,4313,421,1305,259,1098,211,762,184,1148,227
5,Central,2253,309,957,191,61,49,109,68,180,87,607,149,1296,214,278,85,142,66,191,97,685,173
6,East,3415,480,1727,336,192,90,149,90,366,218,1020,254,1688,302,185,106,124,85,137,68,1242,266
7,Northeast,5118,508,2172,304,34,65,106,91,127,86,1905,293,2946,343,121,89,227,112,474,159,2124,285
8,North,4280,490,2097,338,205,115,163,98,425,146,1304,281,2183,295,191,72,227,121,435,154,1330,227
9,Northwest,5282,522,1950,298,116,77,141,79,501,175,1192,241,3332,372,319,122,457,148,616,157,1940,312
10,Ballard,1838,327,590,152,36,53,30,53,90,66,434,131,1248,274,35,49,188,171,248,100,777,205
11,Lake Union,2955,441,1531,328,32,54,106,75,74,62,1319,310,1424,276,104,68,29,48,166,102,1125,263
12,Magnolia/Queen Anne,3360,458,1250,317,14,52,29,56,292,157,915,270,2110,331,29,56,120,109,495,176,1466,281
13,Downtown,3010,353,1450,236,514,145,192,88,217,95,527,183,1560,231,592,126,129,77,270,110,569,150
