area_id,area_name,b17001d001,b17001d001_moe,b17001d002,b17001d002_moe,b17001d003,b17001d003_moe,b17001d004,b17001d004_moe,b17001d005,b17001d005_moe,b17001d006,b17001d006_moe,b17001d007,b17001d007_moe,b17001d008,b17001d008_moe,b17001d009,b17001d009_moe,b17001d010,b17001d010_moe,b17001d011,b17001d011_moe,b17001d012,b17001d012_moe,b17001d013,b17001d013_moe,b17001d014,b17001d014_moe,b17001d015,b17001d015_moe,b17001d016,b17001d016_moe,b17001d017,b17001d017_moe,b17001d018,b17001d018_moe,b17001d019,b17001d019_moe,b17001d020,b17001d020_moe,b17001d021,b17001d021_moe,b17001d022,b17001d022_moe,b17001d023,b17001d023_moe,b17001d024,b17001d024_moe,b17001d025,b17001d025_moe,b17001d026,b17001d026_moe,b17001d027,b17001d027_moe,b17001d028,b17001d028_moe,b17001d029,b17001d029_moe,b17001d030,b17001d030_moe,b17001d031,b17001d031_moe,b17001d032,b17001d032_moe,b17001d033,b17001d033_moe,b17001d034,b17001d034_moe,b17001d035,b17001d035_moe,b17001d036,b17001d036_moe,b17001d037,b17001d037_moe,b17001d038,b17001d038_moe,b17001d039,b17001d039_moe,b17001d040,b17001d040_moe,b17001d041,b17001d041_moe,b17001d042,b17001d042_moe,b17001d043,b17001d043_moe,b17001d044,b17001d044_moe,b17001d045,b17001d045_moe,b17001d046,b17001d046_moe,b17001d047,b17001d047_moe,b17001d048,b17001d048_moe,b17001d049,b17001d049_moe,b17001d050,b17001d050_moe,b17001d051,b17001d051_moe,b17001d052,b17001d052_moe,b17001d053,b17001d053_moe,b17001d054,b17001d054_moe,b17001d055,b17001d055_moe,b17001d056,b17001d056_moe,b17001d057,b17001d057_moe,b17001d058,b17001d058_moe,b17001d059,b17001d059_moe
1,Southwest,2271,363,158,93,44,54,0,48,0,48,0,48,0,48,0,48,0,48,31,52,13,50,0,48,0,48,0,48,0,48,0,48,114,80,0,48,0,48,0,48,0,48,0,48,34,58,63,71,0,48,0,48,4,46,0,48,0,48,13,50,2113,360,683,195,49,64,0,48,14,51,15,51,42,52,23,58,38,61,82,70,139,73,111,99,70,58,54,54,46,49,1430,248,99,92,0,48,85,61,13,51,8,49,0,48,105,72,393,149,307,114,176,79,56,62,110,82,78,61
2,Delridge Neighborhoods,5554,687,833,336,265,149,0,38,0,38,0,38,46,65,0,38,46,63,48,55,0,38,30,58,26,51,12,41,42,62,15,45,568,237,0,38,0,38,56,60,0,38,0,38,26,55,74,75,33,61,107,116,113,76,55,70,83,85,21,41,4721,653,2300,381,149,102,37,50,174,91,113,75,5,37,79,68,269,119,331,151,314,118,293,108,258,95,206,82,72,66,2421,350,202,104,0,38,80,55,84,71,24,43,93,91,90,75,466,146,359,116,436,128,362,117,206,101,19,41
3,Greater Duwamish,20641,1396,2031,495,1019,276,31,50,0,45,64,89,28,53,9,46,0,45,88,95,71,73,105,100,199,127,111,68,97,82,216,103,1012,301,20,48,23,51,39,64,48,72,1,46,34,49,58,79,56,61,163,110,48,58,112,76,200,100,210,107,18610,1334,9030,794,497,185,67,74,507,193,256,103,266,122,201,88,998,241,996,247,1389,290,1313,277,1455,280,665,180,420,114,9580,724,612,217,108,120,535,170,359,131,42,55,244,116,840,212,1272,231,1302,278,1410,236,1254,235,667,180,935,181
4,Southeast,11350,980,1961,599,819,350,96,119,0,45,86,93,24,48,13,47,69,79,87,64,79,102,124,95,89,67,46,63,52,58,54,56,1142,326,61,63,14,49,113,82,47,70,54,61,13,47,145,96,120,92,137,106,114,74,142,105,75,59,107,76,9389,1007,4599,581,239,114,62,82,244,131,64,60,87,90,176,103,373,162,504,169,691,194,819,191,844,204,260,101,236,80,4790,555,205,101,34,53,265,126,156,83,1,43,22,46,507,161,646,195,566,157,818,200,698,163,461,138,411,107
5,Central,2794,417,690,285,235,191,0,34,0,34,0,34,0,34,0,34,0,34,152,180,0,34,2,33,0,34,29,39,11,37,41,42,455,164,0,34,0,34,0,34,21,41,0,34,22,42,61,68,90,74,34,49,22,43,0,34,62,58,143,66,2104,345,1034,230,22,45,0,34,59,53,0,34,0,34,0,34,127,116,268,118,244,88,117,63,92,53,42,40,63,45,1070,213,10,35,5,31,14,37,38,41,15,39,39,51,63,49,221,91,289,109,117,74,91,62,84,63,84,62
6,East,4357,570,1380,325,632,192,21,52,0,47,0,47,0,47,0,47,24,53,207,131,122,83,44,67,45,59,17,49,39,50,113,88,748,220,0,47,22,53,33,57,0,47,0,47,0,47,287,134,138,100,53,58,84,105,62,63,28,48,41,57,2977,501,1613,360,28,62,29,63,32,62,0,47,0,47,0,47,223,113,582,202,362,226,130,81,96,58,65,77,66,56,1364,272,11,48,0,47,22,47,0,47,0,47,0,47,82,61,553,171,206,114,130,87,140,88,172,102,48,58
7,Northeast,8370,808,2244,435,865,229,15,62,0,59,0,59,9,59,0,59,0,59,638,210,155,103,17,62,0,59,14,60,17,61,0,59,1379,345,0,59,0,59,0,59,26,70,0,59,19,64,1079,333,166,108,0,59,8,59,35,67,32,63,14,61,6126,640,2669,406,134,82,6,58,146,92,42,64,0,59,8,60,377,202,804,220,392,121,331,125,190,85,134,78,105,68,3457,398,173,89,36,61,133,76,42,64,0,59,36,63,369,153,870,216,694,167,553,152,276,109,148,85,127,79
8,North,5924,714,988,278,473,183,7,43,6,43,11,45,11,45,7,43,20,52,161,102,135,113,11,45,31,49,42,62,0,43,31,51,515,180,5,43,0,43,7,43,0,43,11,45,11,45,184,119,72,68,89,87,16,44,47,52,29,52,44,55,4936,689,2376,397,19,46,33,68,55,54,97,66,15,43,18,43,292,187,719,262,344,126,280,118,277,102,179,97,48,49,2560,422,110,92,0,43,69,60,80,82,11,44,41,50,367,158,423,140,396,134,283,113,467,126,190,90,123,93
9,Northwest,6778,657,1198,353,317,172,0,54,0,54,35,75,0,54,0,54,26,58,96,101,52,68,36,75,11,55,23,57,30,58,8,54,881,251,0,54,0,54,0,54,0,54,0,54,0,54,249,152,187,116,171,117,36,60,100,79,70,73,68,79,5580,628,2258,345,53,64,17,58,124,76,32,59,12,56,43,57,199,116,549,183,322,115,338,121,270,122,215,96,84,71,3322,415,89,69,49,65,83,82,62,67,33,59,11,55,317,141,976,247,502,149,408,149,445,133,140,81,207,87
10,Ballard,2112,363,245,192,122,109,17,48,0,43,18,48,0,43,0,43,0,43,0,43,19,49,35,52,0,43,0,43,33,52,0,43,123,98,0,43,0,43,0,43,0,43,18,48,0,43,0,43,34,53,17,47,0,43,38,60,16,47,0,43,1867,342,594,159,40,53,0,43,15,45,0,43,0,43,0,43,36,53,93,68,177,103,93,65,33,47,77,63,30,52,1273,283,23,45,0,43,27,48,0,43,0,43,7,44,83,84,466,235,251,108,244,98,99,72,46,56,27,49
