area_id,area_name,b19025g001,b19025g001_moe
1,Southwest,62836800,23027076
2,Delridge Neighborhoods,37876900,12174274
3,Greater Duwamish,43353200,14013147
4,Southeast,64175500,22666003
5,Central,43490800,16830895
6,East,54555400,26110483
7,Northeast,76131300,23276563
8,North,39495700,14496773
9,Northwest,69143900,18693067
10,Ballard,39565000,13770297
11,Lake Union,60337500,18956299
12,Magnolia/Queen Anne,53968500,18020736
13,Downtown,22998500,10356064
