area_id,area_name,b22010001,b22010001_moe,b22010002,b22010002_moe,b22010003,b22010003_moe,b22010004,b22010004_moe,b22010005,b22010005_moe,b22010006,b22010006_moe,b22010007,b22010007_moe
1,Southwest,23226,383,931,245,486,182,445,173,22295,410,2715,292,19580,474
2,Delridge Neighborhoods,14850,356,2342,332,975,218,1367,283,12508,420,1787,270,10721,461
3,Greater Duwamish,16086,331,3302,340,1536,263,1766,298,12784,428,2228,299,10556,458
4,Southeast,17612,387,2852,405,1407,269,1445,322,14760,498,2534,314,12226,519
5,Central,13921,329,1483,256,820,191,663,200,12438,372,1522,265,10916,418
6,East,29701,474,2408,341,970,209,1438,296,27293,554,2637,328,24656,605
7,Northeast,30311,401,1049,244,414,158,635,188,29262,460,3058,346,26204,526
8,North,19461,351,1709,277,742,181,967,225,17752,417,2890,317,14862,489
9,Northwest,33168,437,2258,345,1225,255,1033,240,30910,532,4173,399,26737,613
10,Ballard,21236,330,881,207,226,97,655,191,20355,379,2233,304,18122,460
11,Lake Union,24520,524,1764,316,786,204,978,257,22756,552,1973,314,20783,603
12,Magnolia/Queen Anne,29974,461,1048,230,557,177,491,166,28926,492,3071,365,25855,578
13,Downtown,11410,381,2762,331,1520,226,1242,274,8648,427,877,205,7771,422
