area_id,area_name,b14007c001,b14007c001_moe,b14007c002,b14007c002_moe,b14007c003,b14007c003_moe,b14007c004,b14007c004_moe,b14007c005,b14007c005_moe,b14007c006,b14007c006_moe,b14007c007,b14007c007_moe,b14007c008,b14007c008_moe,b14007c009,b14007c009_moe,b14007c010,b14007c010_moe,b14007c011,b14007c011_moe,b14007c012,b14007c012_moe,b14007c013,b14007c013_moe,b14007c014,b14007c014_moe,b14007c015,b14007c015_moe,b14007c016,b14007c016_moe,b14007c017,b14007c017_moe,b14007c018,b14007c018_moe,b14007c019,b14007c019_moe
1,Southwest,347,177,127,115,0,48,0,48,0,48,0,48,0,48,14,50,0,48,14,50,0,48,14,50,18,51,18,51,10,48,0,48,39,62,0,48,220,120
2,Delridge Neighborhoods,232,161,93,108,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,23,50,22,50,0,38,0,38,0,38,40,73,8,39,0,38,139,89
3,Greater Duwamish,441,226,178,129,23,54,0,45,16,50,0,45,0,45,0,45,0,45,14,49,34,55,0,45,18,54,17,49,15,50,17,49,7,45,17,50,263,130
4,Southeast,361,177,144,107,37,56,11,45,10,45,0,45,0,45,0,45,0,45,13,48,11,45,10,45,12,48,0,45,25,57,0,45,15,50,0,45,217,140
5,Central,128,72,22,38,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,13,36,9,36,106,69
6,East,721,240,150,82,22,57,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,112,69,16,51,571,223
7,Northeast,355,164,110,99,0,59,11,60,0,59,0,59,0,59,0,59,19,63,0,59,0,59,10,60,5,58,0,59,0,59,0,59,65,79,0,59,245,125
8,North,356,221,124,148,41,64,0,43,29,51,0,43,0,43,0,43,19,50,0,43,0,43,0,43,0,43,2,42,0,43,0,43,19,50,14,45,232,131
9,Northwest,553,218,81,83,0,54,17,58,0,54,0,54,0,54,0,54,0,54,16,59,0,54,17,58,0,54,0,54,0,54,0,54,16,57,15,56,472,185
10,Ballard,147,90,11,45,0,43,11,45,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,136,84
11,Lake Union,447,175,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,447,175
12,Magnolia/Queen Anne,444,193,70,77,32,62,0,51,0,51,0,51,13,52,14,54,0,51,0,51,0,51,0,51,0,51,11,52,0,51,0,51,0,51,0,51,374,165
13,Downtown,178,108,20,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,20,40,0,29,158,103
