area_id,area_name,b17010001,b17010001_moe,b17010002,b17010002_moe,b17010003,b17010003_moe,b17010004,b17010004_moe,b17010005,b17010005_moe,b17010006,b17010006_moe,b17010007,b17010007_moe,b17010008,b17010008_moe,b17010009,b17010009_moe,b17010010,b17010010_moe,b17010011,b17010011_moe,b17010012,b17010012_moe,b17010013,b17010013_moe,b17010014,b17010014_moe,b17010015,b17010015_moe,b17010016,b17010016_moe,b17010017,b17010017_moe,b17010018,b17010018_moe,b17010019,b17010019_moe,b17010020,b17010020_moe,b17010021,b17010021_moe,b17010022,b17010022_moe,b17010023,b17010023_moe,b17010024,b17010024_moe,b17010025,b17010025_moe,b17010026,b17010026_moe,b17010027,b17010027_moe,b17010028,b17010028_moe,b17010029,b17010029_moe,b17010030,b17010030_moe,b17010031,b17010031_moe,b17010032,b17010032_moe,b17010033,b17010033_moe,b17010034,b17010034_moe,b17010035,b17010035_moe,b17010036,b17010036_moe,b17010037,b17010037_moe,b17010038,b17010038_moe,b17010039,b17010039_moe,b17010040,b17010040_moe,b17010041,b17010041_moe
1,Southwest,11615,463,302,125,202,91,101,73,8,47,11,48,82,69,101,69,100,92,19,55,19,55,0,48,0,48,19,55,0,48,81,85,62,82,0,48,62,82,0,48,19,54,11313,474,9376,453,4048,269,1131,216,782,192,2135,265,5328,405,1937,304,443,149,182,88,64,72,10,49,108,65,261,125,1494,266,975,221,258,123,104,99,613,177,519,156
2,Delridge Neighborhoods,7898,410,892,207,314,132,239,117,8,39,177,106,54,59,75,75,578,183,46,52,46,52,32,50,0,38,14,41,0,38,532,180,429,167,40,54,30,51,359,158,103,93,7006,410,4892,387,2117,275,826,200,359,119,932,186,2775,322,2114,308,712,203,331,120,12,38,22,49,297,116,381,172,1402,244,930,216,259,140,98,77,573,154,472,128
3,Greater Duwamish,10023,429,1230,254,484,153,337,138,49,85,133,99,155,95,147,79,746,200,130,87,91,80,10,45,0,45,81,79,39,54,616,187,545,178,47,60,203,119,295,144,71,74,8793,432,6141,418,3108,331,917,211,784,207,1407,232,3033,310,2652,366,935,214,406,137,165,93,45,71,196,82,529,172,1717,325,884,241,133,94,232,162,519,179,833,201
4,Southeast,10698,475,1216,275,499,195,227,124,11,47,144,110,72,64,272,152,717,204,211,104,182,102,13,46,14,48,155,100,29,52,506,181,412,164,103,107,36,61,273,128,94,82,9482,490,6531,452,2955,334,884,197,659,198,1412,261,3576,352,2951,390,740,200,297,134,29,47,28,62,240,126,443,153,2211,346,1328,280,256,144,145,115,927,238,883,215
5,Central,5827,366,465,178,202,122,142,117,99,113,11,36,32,43,60,47,263,130,48,65,48,65,14,38,34,63,0,34,0,34,215,115,133,90,39,47,0,34,94,84,82,79,5362,341,4110,315,1723,226,726,174,230,98,767,167,2387,267,1252,248,270,103,109,69,19,40,0,34,90,65,161,100,982,231,591,189,74,71,76,73,441,166,391,134
6,East,6914,493,531,155,126,69,52,59,9,47,21,52,22,55,74,57,405,146,60,63,60,63,49,60,0,47,11,48,0,47,345,146,254,135,161,128,20,53,73,65,91,68,6383,481,5608,459,1580,244,483,207,354,121,743,130,4028,397,775,191,298,124,71,58,15,49,0,47,56,53,227,117,477,160,327,128,131,91,0,47,196,100,150,102
7,Northeast,14739,465,600,151,168,84,112,76,58,66,13,60,41,65,56,66,432,135,191,103,35,61,0,59,0,59,35,61,156,101,241,98,144,77,41,66,40,68,63,70,97,79,14139,454,12143,448,5448,278,1452,219,978,162,3018,264,6695,389,1996,289,527,156,257,113,58,65,0,59,199,106,270,116,1469,244,684,155,175,86,37,80,472,127,785,187
8,North,9165,448,755,196,309,110,128,73,35,51,50,57,43,50,181,91,446,169,94,84,31,47,0,43,0,43,31,47,63,82,352,152,326,150,112,92,117,80,97,85,26,49,8410,426,6499,390,2586,258,888,200,288,98,1410,198,3913,337,1911,293,679,181,207,106,10,45,3,42,194,106,472,155,1232,247,605,189,133,91,61,64,411,162,627,154
9,Northwest,15452,570,760,200,319,136,180,118,55,82,55,82,70,79,139,81,441,154,67,66,27,56,0,54,0,54,27,56,40,63,374,148,265,133,153,119,15,52,97,79,109,83,14692,570,12371,560,5217,337,1940,269,756,182,2521,280,7154,498,2321,297,578,153,335,128,86,72,0,54,249,116,243,97,1743,264,773,183,99,85,19,55,655,168,970,203
10,Ballard,10539,437,288,112,176,88,117,73,17,48,10,45,90,67,59,62,112,75,36,50,36,50,12,44,0,43,24,46,0,43,76,67,45,50,11,43,0,43,34,50,31,62,10251,437,8507,433,3410,280,1393,245,562,127,1455,208,5097,400,1744,291,540,180,326,141,122,82,0,43,204,118,214,114,1204,227,615,166,24,46,69,76,522,144,589,163
